أَمِين	أَمِين	N;HUM;INDF;MASC;SG
أُمَّة	أُمَّة	N;NHUM;INDF;FEM;SG
يَوْم	يَوْم	N;NHUM;INDF;MASC;SG
سَبْت	سَبْت	N;NHUM;INDF;MASC;SG
مُتَمَرِّد	مُتَمَرِّد	N;HUM;INDF;MASC;SG
عَمَلِيَّة	عَمَلِيَّة	N;NHUM;INDF;FEM;SG
مُنَظَّمَة	مُنَظَّمَة	N;NHUM;INDF;FEM;SG
إِطْلاق	إِطْلاق	N;NHUM;INDF;MASC;SG
سَراح	سَراح	N;NHUM;INDF;MASC;SG
جَمِيع	جَمِيع	N;INDF;FEM;PL
جَمِيع	جَمِيع	N;INDF;FEM;SG
جَمِيع	جَمِيع	N;INDF;MASC;PL
جَمِيع	جَمِيع	N;INDF;MASC;SG
جُنْدِيّ	جُنْدِيّ	N;HUM;INDF;MASC;SG
بَيان	بَيان	N;NHUM;INDF;MASC;SG
مُتَحَدِّث	مُتَحَدِّث	N;HUM;INDF;MASC;SG
عام	عام	N;NHUM;INDF;MASC;SG
كَوْن	كَوْن	N;NHUM;INDF;MASC;SG
أَمان	أَمان	N;NHUM;INDF;MASC;SG
عُقْب	عُقْب	N;NHUM;INDF;MASC;SG
بَعْثَة	بَعْثَة	N;NHUM;INDF;FEM;SG
عَوْدَة	عَوْدَة	N;NHUM;INDF;FEM;SG
باقِي	باقِي	N;NHUM;INDF;MASC;SG
عَدَد	عَدَد	N;NHUM;INDF;MASC;SG
وَضْع	وَضْع	N;NHUM;INDF;MASC;SG
عُنْصُر	عُنْصُر	N;NHUM;INDF;MASC;SG
بَعْد	بَعْد	N;NHUM;INDF;MASC;SG
مَسافَة	مَسافَة	N;NHUM;INDF;FEM;SG
مِنْطَقَة	مِنْطَقَة	N;NHUM;INDF;FEM;SG
جَبْهَة	جَبْهَة	N;NHUM;INDF;FEM;SG
قَبْل	قَبْل	N;NHUM;INDF;MASC;SG
وُصُول	وُصُول	N;NHUM;INDF;MASC;SG
قاعِدَة	قاعِدَة	N;NHUM;INDF;FEM;SG
شَرْق	شَرْق	N;NHUM;INDF;MASC;SG
مَصْلَحَة	مَصْلَحَة	N;NHUM;INDF;FEM;SG
عَدَم	عَدَم	N;NHUM;INDF;MASC;SG
جَهْد	جَهْد	N;NHUM;INDF;MASC;SG
أَمَل	أَمَل	N;NHUM;INDF;MASC;SG
تَفادِي	تَفادِي	N;NHUM;INDF;MASC;SG
عَمَل	عَمَل	N;NHUM;INDF;MASC;SG
عُنْف	عُنْف	N;NHUM;INDF;MASC;SG
حَسَب	حَسَب	N;NHUM;INDF;MASC;SG
مَصْدَر	مَصْدَر	N;NHUM;INDF;MASC;SG
تَحْرِير	تَحْرِير	N;NHUM;INDF;MASC;SG
قُوَّة	قُوَّة	N;NHUM;INDF;FEM;SG
شَهْر	شَهْر	N;NHUM;INDF;MASC;SG
قِبَل	قِبَل	N;NHUM;INDF;MASC;SG
نَتِيجَة	نَتِيجَة	N;NHUM;INDF;FEM;SG
تَدَخُّل	تَدَخُّل	N;NHUM;INDF;MASC;SG
جِهاز	جِهاز	N;NHUM;INDF;MASC;SG
إِعْلام	إِعْلام	N;NHUM;INDF;MASC;SG
شَرْقِيّ	شَرْقِيّ	N;HUM;INDF;MASC;SG
بُعْد	بُعْد	N;NHUM;INDF;MASC;SG
كِيلُومِتر	كِيلُومِتر	N;NHUM;INDF;MASC;SG
جَنُوب	جَنُوب	N;NHUM;INDF;MASC;SG
صَحِيفَة	صَحِيفَة	N;NHUM;INDF;FEM;SG
أَحَد	أَحَد	N;NHUM;INDF;MASC;SG
غَد	غَد	N;NHUM;INDF;MASC;SG
مُسْتَشار	مُسْتَشار	N;HUM;INDF;MASC;SG
حُصُول	حُصُول	N;NHUM;INDF;MASC;SG
مَجْمُوعَة	مَجْمُوعَة	N;NHUM;INDF;FEM;SG
رُخْصَة	رُخْصَة	N;NHUM;INDF;FEM;SG
تَصْنِيع	تَصْنِيع	N;NHUM;INDF;MASC;SG
دَبّابَة	دَبّابَة	N;NHUM;INDF;FEM;SG
عَبْر	عَبْر	N;NHUM;INDF;MASC;SG
شِراء	شِراء	N;NHUM;INDF;MASC;SG
سِلاح	سِلاح	N;NHUM;INDF;MASC;SG
دَوْلَة	دَوْلَة	N;NHUM;INDF;FEM;SG
سُوق	سُوق	N;NHUM;INDF;MASC;SG
خَسارَة	خَسارَة	N;NHUM;INDF;FEM;SG
سَنَة	سَنَة	N;NHUM;INDF;FEM;SG
يُورُو	يُورُو	N;NHUM;INDF;MASC;SG
خَطَر	خَطَر	N;NHUM;INDF;MASC;SG
وَزِير	وَزِير	N;HUM;INDF;MASC;SG
دِفاع	دِفاع	N;NHUM;INDF;MASC;SG
تَوَجُّه	تَوَجُّه	N;NHUM;INDF;MASC;SG
وِزارَة	وِزارَة	N;NHUM;INDF;FEM;SG
عَقْد	عَقْد	N;NHUM;INDF;MASC;SG
نِهايَة	نِهايَة	N;NHUM;INDF;FEM;SG
مُنْتِج	مُنْتِج	N;HUM;INDF;MASC;SG
إِنْتاج	إِنْتاج	N;NHUM;INDF;MASC;SG
خِلال	خِلال	N;NHUM;INDF;MASC;SG
بَنْد	بَنْد	N;NHUM;INDF;MASC;SG
حِمايَة	حِمايَة	N;NHUM;INDF;FEM;SG
تِكْنُولُوجِيا	تِكْنُولُوجِيا	N;NHUM;INDF;FEM;SG
حال	حال	N;NHUM;INDF;MASC;SG
شَرِكَة	شَرِكَة	N;NHUM;INDF;FEM;SG
شُرْطَة	شُرْطَة	N;NHUM;INDF;FEM;SG
شَخْص	شَخْص	N;HUM;INDF;MASC;SG
مُواجَهَة	مُواجَهَة	N;NHUM;INDF;FEM;SG
تاجِر	تاجِر	N;HUM;INDF;MASC;SG
زُقاقِيّ	زُقاقِيّ	N;HUM;INDF;MASC;SG
وِكالَة	وِكالَة	N;NHUM;INDF;FEM;SG
خَمِيس	خَمِيس	N;NHUM;INDF;MASC;SG
إِصابَة	إِصابَة	N;NHUM;INDF;FEM;SG
جُرْح	جُرْح	N;NHUM;INDF;MASC;SG
نَهْب	نَهْب	N;NHUM;INDF;MASC;SG
مَحَلّ	مَحَلّ	N;NHUM;INDF;MASC;SG
حُجَّة	حُجَّة	N;NHUM;INDF;FEM;SG
سارِق	سارِق	N;HUM;INDF;MASC;SG
جُمْعَة	جُمْعَة	N;NHUM;INDF;FEM;SG
عِنْد	عِنْد	N;NHUM;INDF;MASC;SG
فَرْض	فَرْض	N;NHUM;INDF;MASC;SG
نِظام	نِظام	N;NHUM;INDF;MASC;SG
أَحَد	أَحَد	N;NHUM;INDF;MASC;SG
وِلايَة	وِلايَة	N;NHUM;INDF;FEM;SG
قُنْبُلَة	قُنْبُلَة	N;NHUM;INDF;FEM;SG
حَرْب	حَرْب	N;NHUM;INDF;MASC;SG
مَجْلِس	مَجْلِس	N;NHUM;INDF;MASC;SG
أَمْن	أَمْن	N;NHUM;INDF;MASC;SG
مَشْرُوع	مَشْرُوع	N;NHUM;INDF;MASC;SG
قَرار	قَرار	N;NHUM;INDF;MASC;SG
سَلام	سَلام	N;NHUM;INDF;MASC;SG
وَقْف	وَقْف	N;NHUM;INDF;MASC;SG
قِتال	قِتال	N;NHUM;INDF;MASC;SG
طائِلَة	طائِلَة	N;NHUM;INDF;FEM;SG
عُقُوبَة	عُقُوبَة	N;NHUM;INDF;FEM;SG
مَلِك	مَلِك	N;HUM;INDF;MASC;SG
عَرْش	عَرْش	N;NHUM;INDF;MASC;SG
حَرَكَة	حَرَكَة	N;NHUM;INDF;FEM;SG
عَزْل	عَزْل	N;NHUM;INDF;MASC;SG
رَئِيس	رَئِيس	N;HUM;INDF;MASC;SG
مَنْفَى	مَنْفَى	N;NHUM;INDF;MASC;SG
قَمَر	قَمَر	N;NHUM;INDF;MASC;SG
مَتْن	مَتْن	N;NHUM;INDF;MASC;SG
صارُوخ	صارُوخ	N;NHUM;INDF;MASC;SG
نائِب	نائِب	N;HUM;INDF;MASC;SG
قِيادَة	قِيادَة	N;NHUM;INDF;FEM;SG
ثَوْرَة	ثَوْرَة	N;NHUM;INDF;FEM;SG
غِياب	غِياب	N;NHUM;INDF;MASC;SG
ساحَة	ساحَة	N;NHUM;INDF;FEM;SG
وَفاة	وَفاة	N;NHUM;INDF;FEM;SG
كاتِب	كاتِب	N;HUM;INDF;MASC;SG
قائِد	قائِد	N;HUM;INDF;MASC;SG
أَمِير	أَمِير	N;HUM;INDF;MASC;SG
تَطْبِيع	تَطْبِيع	N;NHUM;INDF;MASC;SG
عَلاقَة	عَلاقَة	N;NHUM;INDF;FEM;SG
قَطِيعَة	قَطِيعَة	N;NHUM;INDF;FEM;SG
إِقالَة	إِقالَة	N;NHUM;INDF;FEM;SG
مَنْصِب	مَنْصِب	N;NHUM;INDF;MASC;SG
تَكْلِيف	تَكْلِيف	N;NHUM;INDF;MASC;SG
حِزْب	حِزْب	N;NHUM;INDF;MASC;SG
بَعْث	بَعْث	N;NHUM;INDF;MASC;SG
أَمْرِيكِيّ	أَمْرِيكِيّ	N;HUM;INDF;MASC;SG
سِجْن	سِجْن	N;NHUM;INDF;MASC;SG
تُهْمَة	تُهْمَة	N;NHUM;INDF;FEM;SG
عُبُور	عُبُور	N;NHUM;INDF;MASC;SG
حَدّ	حَدّ	N;NHUM;INDF;MASC;SG
طَرِيقَة	طَرِيقَة	N;NHUM;INDF;FEM;SG
غَيْر	غَيْر	N;NHUM;INDF;MASC;SG
مَوْلِد	مَوْلِد	N;NHUM;INDF;MASC;SG
فَيْلَسُوف	فَيْلَسُوف	N;NHUM;INDF;MASC;SG
قَيْصَر	قَيْصَر	N;HUM;INDF;MASC;SG
فَرْد	فَرْد	N;HUM;INDF;MASC;SG
عائِلَة	عائِلَة	N;NHUM;INDF;FEM;SG
مُؤْتَمَر	مُؤْتَمَر	N;NHUM;INDF;MASC;SG
يَد	يَد	N;NHUM;INDF;FEM;SG
عُضْو	عُضْو	N;HUM;INDF;MASC;SG
رَدّ	رَدّ	N;NHUM;INDF;MASC;SG
إِعْدام	إِعْدام	N;NHUM;INDF;MASC;SG
مُؤَسِّس	مُؤَسِّس	N;HUM;INDF;MASC;SG
زَعِيم	زَعِيم	N;HUM;INDF;MASC;SG
سُقُوط	سُقُوط	N;NHUM;INDF;MASC;SG
نِظام	نِظام	N;NHUM;INDF;MASC;SG
طَلَب	طَلَب	N;NHUM;INDF;MASC;SG
جُمْهُورِيَّة	جُمْهُورِيَّة	N;NHUM;INDF;FEM;SG
عاهِل	عاهِل	N;HUM;INDF;MASC;SG
