Aachener;ʔ aː x ə n ɐ
Aak;ʔ aː k
A;ʔ aː
Aasfliege;ʔ aː s f l iː ɡ ə
Aasfresser;ʔ aː s f r ɛ s ɐ
Aasgeier;aː s ɡ aɪ ɐ
Aasvogel;ʔ aː s f oː ɡ ə l
Abalone;ʔ a p a l oː n ə
Abänderung;ʔ a p ʔ ɛ n d ə r ʊ ŋ
Abart;ʔ a p ʔ aː r t
Abartigkeit;ʔ a p ʔ aː r t ɪ ç k aɪ t
Abasie;ʔ a p a z iː
Abaton;ʔ a p a t ə n
Abbau;ʔ a p b aʊ
Abbauort;ʔ a p b aʊ oː r t
Abbé;ʔ a p ʊ eː
Abbild;ʔ a p b ɪ l t
Abbildung;ʔ a p b ɪ l d ʊ ŋ
Abbindebeschleuniger;ʔ a p b ɪ n d ə b ə ʃ l ɔʏ n ɪ ɡ ɐ
Abbitte;ʔ a p b ɪ t ə
Abblaseventil;ʔ a p l aː z e v ɛ n t iː l
Abbruch;ʔ a p b r ʊ x
Abc-Schütze;ʔ ɛ p k ʃ ʏ t s ə
Abdampfen;ʔ a p d a m p f ə n
Abdankung;ʔ a p d a ŋ k ʊ ŋ
Abdeckplatte;ʔ a p d ɛ k p l a t ə
Abdruck;ʔ a p d r ʊ k
Abduktion;ʔ a p d ʊ k ts j oː n
Abduktor;ʔ a p d uː k t ɔ r
Abecedarium;ʔ aː b e ts ɛ d aː r j ʊ m
Abeillekolibri;ʔ aː b aɪ l ə k o l i b r i
Abend;ʔ aː b ə n t
Abenddämmerung;ʔ aː b ə n t d ɛ m ə r ʊ ŋ
Abendessen;ʔ aː b ə n t ʔ ɛ s ə n
Abendkasse;ʔ aː b ə n t k a s ə
Abendmahl;ʔ aː b ə n t m aː l
Abendmahlsfeier;ʔ aː b ə n t m aː l s f aɪ ɐ
Abenteuer;ʔ aː b ə n t ɔʏ ɐ
Abenteuerin;ʔ aː b ə n t ɔʏ ə r ɪ n
Abenteuerlichkeit;ʔ aː b ə n t ɔʏ ɐ l ɪ ç k aɪ t
Abenteurer;ʔ aː b ə n t øː r ɐ
Abenteurerin;ʔ aː b ə n t øː r ə r ɪ n
Aberglaube;ʔ aː b ɐ ɡ l aʊ b ə
Aberration;ʔ aː b ɐ r a ts j oː n
Abfahrtsliste;ʔ a p f aː r t s l ɪ s t ə
Abfall;ʔ a p f a l
Abfalleimer;ʔ a p f a l ʔ aɪ m ɐ
Abfallprodukt;ʔ a p f a l p r o d ʊ k t
Abfallstoff;ʔ a p f a l ʃ t ɔ f
Abfertigung;ʔ a p f ɛɐ t ɪ ɡ ʊ ŋ
Abfertigungsgebäude;ʔ a p f ɐ t ɪ ɡ ʊ ŋ s ɡ ə b ɔʏ d ə
Abfertigungsschalter;ʔ a p f ɐ t ɪ ɡ ʊ ŋ s ʃ a l t ɐ
Abfindung;ʔ a p f ɪ n d ʊ ŋ
Abflug;ʔ a p f l uː k
Abflugzeit;ʔ a p f l uː k ts aɪ t
Abfluss;ʔ a p f l ʊ s
Abfolge;ʔ a p f ɔ l ɡ ə
Abfrage;ʔ a p f r aː ɡ ə
Abführmittel;ʔ a p f yː r m ɪ t ə l
Abgabe;ʔ a p ɡ aː b ə
Abgabeleistung;ʔ a p ɡ aː b ə l aɪ s t ʊ ŋ
Abgang;ʔ a p ɡ a ŋ
Abgas;ʔ a p ɡ aː s
Abgaskatalysator;ʔ a p ɡ a s k ə t a l y z a t ɔ r
Abgasklappe;ʔ a p ɡ a s k l a p ə
Abgasturbine;ʔ a p ɡ aː s t ʊɐ b iː n ə
Abgeordnetenhaus;ʔ a p ɡ ə ʔ ɔɐ d n ə t ə n h aʊ s
Abgott;ʔ a p ɡ ɔ t
Abgrenzung;ʔ a p ɡ r ɛ n ts ʊ ŋ
Abhandlung;ʔ a p h a n d l ʊ ŋ
Abhang;ʔ a p h a ŋ
Abhängigkeit;ʔ a p h ɛ ŋ ɪ ç k aɪ t
Abhilfe;ʔ a p h ɪ l f ə
Abholzung;ʔ a p h ɔ l ts ʊ ŋ
Abhörverbrecher;ʔ a p h øː r v ɐ b r ɛ ç ɐ
Abitur;ʔ a b i t uːɐ
Abiturient;ʔ a b i t uː r j ɛ n t
Abklärung;ʔ a p k l ɛː r ʊ ŋ
Abklatsch;ʔ a p k l a t ʃ
Abkömmling;ʔ a p k œ m l ɪ ŋ
Abkühlen;ʔ a p k yː l ə n
Abkühlung;ʔ a p k yː l ʊ ŋ
