175er	175er	N;NOM;SG;MASC
4-Aminobutansäure	4-Aminobutansäure	N;NOM;SG;FEM
4-Hydroxybutansäure	4-Hydroxybutansäure	N;NOM;SG;FEM
5-Hydroxytryptamin	5-Hydroxytryptamin	N;NOM;SG;NEUT
a	a	N;NOM;SG;NEUT
a	a	N;NOM;SG;NEUT
A	A	N;NOM;SG;NEUT
A	A	N;NOM;SG;NEUT
ä	ä	N;NOM;SG;NEUT
ä	ä	N;NOM;SG;NEUT
Ä	Ä	N;NOM;SG;NEUT
Ä	Ä	N;NOM;SG;NEUT
a-Schwa	a-Schwa	N;NOM;SG;NEUT
Aa	Aa	N;NOM;SG;FEM
Aa	Aa	N;NOM;SG;FEM
Aa-Wurst	Aa-Wurst	N;NOM;SG;FEM
Aachener	Aachener	N;NOM;SG;MASC
Aachenerin	Aachenerin	N;NOM;SG;FEM
Aak	Aak	N;NOM;SG;NEUT
Aake	Aake	N;NOM;SG;FEM
Aakerbeere	Aakerbeere	N;NOM;SG;FEM
Aal	Aal	N;NOM;SG;MASC
Aalauge	Aalauge	N;NOM;SG;MASC
Aalbeere	Aalbeere	N;NOM;SG;FEM
Aalen	Aalen	N;NOM;SG;NEUT
Aalfang	Aalfang	N;NOM;SG;MASC
Aalfett	Aalfett	N;NOM;SG;NEUT
Aalfischer	Aalfischer	N;NOM;SG;MASC
Aalhaut	Aalhaut	N;NOM;SG;FEM
Aalkorb	Aalkorb	N;NOM;SG;MASC
Aalleiter	Aalleiter	N;NOM;SG;FEM
Aalmolch	Aalmolch	N;NOM;SG;MASC
Aalquappe	Aalquappe	N;NOM;SG;FEM
Aalräucherei	Aalräucherei	N;NOM;SG;FEM
Aalraupe	Aalraupe	N;NOM;SG;FEM
Aalreuse	Aalreuse	N;NOM;SG;FEM
Aalschwanz	Aalschwanz	N;NOM;SG;MASC
Aalspeer	Aalspeer	N;NOM;SG;MASC
Aalstechen	Aalstechen	N;NOM;SG;NEUT
Aalstrich	Aalstrich	N;NOM;SG;MASC
Aalsuppe	Aalsuppe	N;NOM;SG;FEM
Aaltierchen	Aaltierchen	N;NOM;SG;NEUT
Aar	Aar	N;NOM;SG;MASC
Aar	Aar	N;NOM;SG;MASC
Aas	Aas	N;NOM;SG;NEUT
Aas	Aas	N;NOM;SG;NEUT
Aasblume	Aasblume	N;NOM;SG;FEM
Aasen	Aasen	N;NOM;SG;NEUT
Aaser	Aaser	N;NOM;SG;MASC
Aasfliege	Aasfliege	N;NOM;SG;FEM
Aasfresser	Aasfresser	N;NOM;SG;MASC
Aasgeier	Aasgeier	N;NOM;SG;MASC
Aasgeruch	Aasgeruch	N;NOM;SG;MASC
Aasinsekt	Aasinsekt	N;NOM;SG;NEUT
Aasjäger	Aasjäger	N;NOM;SG;MASC
Aasjägerei	Aasjägerei	N;NOM;SG;FEM
Aaskäfer	Aaskäfer	N;NOM;SG;MASC
Aaskrähe	Aaskrähe	N;NOM;SG;FEM
Aaß	Aaß	N;NOM;SG;NEUT
Aasseite	Aasseite	N;NOM;SG;FEM
