əkəbə~dhə	əkbəndʰə
əkəɖavu~	əkɖavu~
əkərməkə	əkərmək
əkəsiirə	əksir
əkəsmatə	əkəsmat
əkəsmate	əkəsmate
əkəɭaməɳə	əkɭaməɳ
əkəɭavu~	əkɭavu~
/	əkkəɖ
əkkərəmii	əkkərmi
əkkələ	əkkəl
əkʃətə	əkʃətə
əkʃəjə	əkʃəjə
əkʃərə	əkʃərə
əkʃərəʃəhə	əkʃərəʃəhə
əkʃa~sə	əkʃa~ʃə
əkhə~ɖə	əkʰəɳɖə
əkhə~ɖitə	əkʰəɳɖit
əkhətəro	əkʰətro
əkhəbarə	əkʰbar
əkhado	əkʰaɖo
əkhatə	əkʰat
əgəɳitə	əgəɳit
əgəɳotətə	əgəɳotər
əgəɳjaʃii	əgəɳjaʃi
əgətjə	əgətjə
əgətjəta	əgətjəta
əgəməcetii	əgəmceti
əgəvaɳii	əgəmvaɳi
əgəmjə	əgəmjə
əgərəbəttii	əgərbətti
əgəvəɖə	əgvəɖ
əgau	əgau~
əgaunii	əgau~ni
əgauthii	əgautʰi
əgasii	əgasi
əgijarə	əgijar
əgijarəmu~	əgijarmu~
əgijarəsə	əgijarəs
əgijarii	əgijari
əgocərə	əgocər
əgni	əgni
əgnidahə	əgnidah
əghəru~	əgʰəru~
əcə~bo	əcəmbo
əcanəkə	əcanək
əcuukə	əcuk
əchətə	əcʰət
əchətu~	əcʰətu~
əchəbəɖa	əcʰəbɖa
əchutə	əcʰut
əchoɖo	əcʰoɖo
əɟəgərə	əɟgər
əɟəbə	əɟəb
əɟəmavəvu~	əɟmavvu~
əɟəmo	əɟmo
əɟəvaɭəvu~	əɟvaɭvu~
əɟəvaɭiiju~	əɟvaɭiɟu~
əɟəvaɭu~	əɟvaɭu~
əɟə~po	əɟəmpo
əɟaɳə	əɟaɳ
əɟaɳju~	əɟaɳyu~
əɟajəbii	əɟajəbi
əɟiirɳə	əɟirɳə
əɟejə	əɟej
əɟoɖə	əɟoɖ
əgnanə	əgnanə
əgnanii	əgnani
əʈəkə	əʈək
əʈəkəvu~	əʈəkvu~
əʈəkəɭə	əʈkəɭ
əʈəpəʈu~	əʈpəʈu~
əʈəvavu~	əʈvavu~
əʈhəvaɖikə	əʈʰvaɖik
əʈhəvaɖiju~	əʈʰvaɖiju~
əʈhə~gə	əʈʰə˜gə
əʈhʈhai	əʈʰʈʰai
əʈhʈhaɳu~	əʈʰʈʰaɳu~
əʈhʈhavənə	əʈʰʈʰavən
əʈhjotərə	əʈʰjotər
əʈhjasii	əʈʰjasi
əɖəkəvu~	əɖəkvu~
əɖəgə	əɖəg
əɖəcəɳə	əɖcəɳ
əɖətaliisə	əɖtalis
	əɖəd
əɖədhu~	əɖdʰu~
əɖəpəlu~	əɖəplu~
əɖəvu~	əɖvu~
əɖəsəʈhə	əɖsəʈʰ
əɖoəɖə	əɖoəɖ
əɖɖo	əɖɖo
əɖəɭəkə	əɖʰəɭək
əɖharə	əɖʰar
əɖhii	əɖʰi
əɳəgəmo	əɳgəmo
əɳəghəɖə	əɳgʰəɖ
əɳədharju~	əɳdʰarju~
əɳəmaniitu~	əɳmanitu~
əɳəvərə	əɳvər
əɳi	əɳi
ətithi	ətitʰi
ətirekə	ətirek
ətiitə	ətit
ətuʈə	ətuʈ
	əʈʈər
ətjə~tə	ətjəntə
ətjacarə	ətjacar
ətjare	ətjare
ətrə	ətrə
əthɖavu~	ətʰɖavu~
əthaɳu~	ətʰaɳu~
əda	əda
ədalətə	ədalət
ədavətə	ədavət
ədrəʃjə	ədrəʃjə
ədekhai	ədekʰai
ədekhu~	ədekʰu~
ədəbhutə	ədbʰut
ədhəkəcəru~	ədʰkəcru~
ədhəmə	ədʰəm
ədhəmuu	ədʰmuu~
ədhərmə	ədʰərmə
ədhəvəcə	ədʰvəc
ədhikarə	ədʰikar
ədhiiru~	ədʰiru~
ədhuru~	ədʰuru~
ədhdhərə	ədʰdʰər
ənərthə	ənərtʰə
ənə~tə	ənəntə
	ənaɟ
ənathə	ənatʰ
ənadərə	ənadər
ənamətə	ənamət
ənamii	ənami
ənijəmitə	ənijmit
əniʃcitə	əniʃcit
əniiti	əniti
ənukərəɳə	ənukərəɳ
ənukuuɭə	ənukuɭ
ənukrəmə	ənukrəm
ənubhəvə	ənubʰəv
ənubhəvii	ənubʰəvi
ənumanə	ənuman
ənuvadə	ənuvad
ənusərəvu~	ənusərvu~
ənusnatəkə	ənusnatək
ənusvarə	ənusvar
əne	əne
ənekə	ənek
ənjajə	ənjaj
əpəco	əpəco
əpəɟəʃə	əpɟəʃ
əpəmanə	əpman
əpəvadə	əpvad
əpəvitrə	əpəvitrə
əpəʃəbdə	əpʃəbdə
əpəʃukənə	əpʃukən
əpə~gə	əpə˜gə
əpasəro	əpasəro
əpuuɟə	əpuɟ
əpekʃa	əpekʃa
əprəgəʈə	g4 
əprəgəʈə	əprəgəʈ
əprijə	y 
əprijə	əprijə
əphəva	əpʰva
əphəsosə	əpʰsos
əbəɟə	əbəɟ
əbəɟopətii	əbəɟopəti
əbhəɳə	əbʰəɳ
əbhavə	əbʰav
əbhineta	əbʰineta
əbhiprajə	ay 
əbhiprajə	əbʰiprajə
əbhimanə	əbʰiman
əbhimanii	əbʰimani
əbhjasə	əbʰjasə
əmərə	əmər
əmaru~	əmaru~
əmasə	əmas
əmukə	əmuk
əmuuljə	əmuljə
əme	əme
əjogjə	əjogjə
əriiso	əriso
əre	əre
ərthə	ərtʰə
ələgə	ələg
əlii	əli
əlopə	əlop
ələukiikə	ələukik
əvədəʃa	əvdəʃa
əvənəvu~	əvnəvu~
əvəjəvə	əvəjəv
əvərodhə	əvrodʰ
əvəlokənə	əvlokən
əvəʃjə	əvʃjə
