अ,ə
अंक,ə ~ k
अंकक,ə ~ k ə k
अँकड़ना,ə ~ k ə ɽ n ɑː
अँकड़ा,ə ~ k ɽ ɑː
अँकड़ाना,ə ~ k ɽ ɑː n ɑː
अँकड़ाहट,ə ~ k ɽ ɑː ɦ ə ʈ
अँकड़ी,ə ~ k ɽ iː
अंकन,ə ~ k ə n
अँकना,ə ~ k n ɑː
अंकनीय,ə ~ k ə n iː j ə
अँकरी,ə ~ k ɾ iː
अँकरौरी,ə ~ k ɾ ɔː ɾ iː
अँकवाना,ə ~ k ʋ ɑː n ɑː
अँकवार,ə ~ k ʋ ɑː ɾ
अँकवैया,ə ~ k ʋ ɛː j ɑː
अँकाई,ə ~ k ɑː iː
अँकाना,ə ~ k ɑː n ɑː
अँकाव,ə ~ k ɑː ʋ
अंकित,ə ~ k ɪ t̪
अँकुड़ा,ə ~ k ʊ ɽ ɑː
अंकुर,ə ~ k ʊ ɾ
अंकुरक,ə ~ k ʊ ɾ ə k
अंकुरण,ə ~ k ʊ ɾ ə n
अँकुरना,ə ~ k ʊ ɾ n ɑː
अंकुरित,ə ~ k ʊ ɾ ɪ t̪
अंकुश,ə ~ k ʊ ʃ
अँकुसी,ə ~ k ʊ s iː
अंकेक्षक,ə ~ k eː k ʃ ə k
अंकेक्षण,ə ~ k eː k ʃ ə n
अँकोड़ा,ə ~ k oː ɽ ɑː
अँकोर,ə ~ k oː ɾ
अँकोरना,ə ~ k oː ɾ n ɑː
अँकोरना,ə ~ k oː ɾ n ɑː
अँकोरी,ə ~ k oː ɾ iː
अँकौर,ə ~ k ɔː ɾ
अँखिया,ə ~ kʰ ɪ j ɑː
अँखुआ,ə ~ kʰ ʊ ɑː
अंग,ə ŋ g
अंगड़-खंगड़,ə ŋ g ə ɽ - kʰ ə ŋ g ə ɽ
अँगड़ाई,ə ŋ g ɽ ɑː iː
अँगड़ाना,ə ŋ g ɽ ɑː n ɑː
अंगद,ə ŋ g ə d̪
अँगनई,ə ŋ g ə n ə iː
अंगना,ə ŋ g ə n ɑː
अँगरखा,ə ŋ g ə ɾ kʰ ɑː
अँगरी,ə ŋ g ɾ iː
अंगलेट,ə ŋ g l eː ʈ
अंगा,ə ŋ g ɑː
अंगा,ə ŋ g ɑː
अंगाकड़ी,ə ŋ g ɑː k ɽ iː
अँगाकरि,ə ŋ g ɑː k ɾ ɪ
अंगार,ə ŋ g ɑː ɾ
अंगारा,ə ŋ g ɑː ɾ ɑː
अंगारी,ə ŋ g ɑː ɾ iː
अंगारी,ə ŋ g ɑː ɾ iː
अँगिया,ə ŋ g ɪ j ɑː
अंगी,ə ŋ g iː
अंगीकरण,ə ŋ g iː k ə ɾ ə n
अंगीकार,ə ŋ g iː k ɑː ɾ
अंगीकृत,ə ŋ g iː k ɾ ɪ t̪
अंगीकृति,ə ŋ g iː k ɾ ɪ t̪ ɪ
अँगीठा,ə ŋ g iː ʈʰ ɑː
अँगीठी,ə ŋ g iː ʈʰ iː
अंगुल,ə ŋ g ʊ l
अंगुलि,ə ŋ g ʊ l ɪ
अँगुली,ə ŋ g ʊ l iː
अंगुश्त,ə ŋ g ʊ ʃ t̪
अंगुश्ताना,ə ŋ g ʊ ʃ t̪ ɑː n ɑː
अंगुष्ठ,ə ŋ g ʊ ʃ ʈʰ
अँगूठा,ə ŋ g uː ʈʰ ɑː
अँगूठी,ə ŋ g uː ʈʰ iː
अंगूर,ə ŋ g uː ɾ
अँगूर,ə ŋ g uː ɾ
अँगूरी,ə ŋ g uː ɾ iː
अँगेट,ə ŋ g eː ʈ
अँगोछना,ə ŋ g oː t͡ʃʰ n ɑː
अँगोछा,ə ŋ g oː t͡ʃʰ ɑː
अँगोछी,ə ŋ g oː t͡ʃʰ iː
अँगोट,ə ŋ g oː ʈ
अँगोरा,ə ŋ g oː ɾ ɑː
अँगोरना,ə ŋ g oː ɾ n ɑː
अँगौंगा,ə ŋ g ɔː ŋ g ɑː
अँगौरिया,ə ŋ g ɔː ɾ ɪ j ɑː
अँग्रेज़,ə ŋ g ɾ eː z
अँग्रेज़िन,ə ŋ g ɾ eː z ɪ n
अँग्रेज़ियत,ə ŋ g ɾ eː z ɪ j ə t̪
अँग्रेज़ी,ə ŋ g ɾ eː z iː
अँघड़ा,ə ŋ gʱ ɽ ɑː
अंघ्रि,ə ŋ gʱ ɾ ɪ
अंचकैं,ə n t͡ʃ k ɛː ~
अंचल,ə n t͡ʃ ə l
अँचव-,ə n t͡ʃ ə ʋ -
अँचवा-,ə n t͡ʃ ʋ ɑː -
अंछर,ə n t͡ʃʰ ə ɾ
अँज-,ə n d͡ʒ -
अंजन,ə n ə n
अंजन,ə n ə n
अंजन,ə n ə n
अंजना,ə n ə n ɑː
अंजना,ə n ə n ɑː
अंजना,ə n ə n ɑː
अंजनी,ə n ə n iː
अंजनी,ə n ə n iː
अंजनी,ə n ə n iː
अंजनी,ə n ə n iː
अंजबार,ə n b ɑː ɾ
अंजर-पंजर,ə n ə ɾ - p ə n ə ɾ
अंजरा,ə n ə ɾ ɑː
अंजल,ə n ə l
अंजलि,ə n ə l ɪ
अंजली,ə n ə l iː
अंजाम,ə n ɑː m
अंजीर,ə n iː ɾ
अंजुमन,ə n ʊ m ə n
अंजुल,ə n ʊ l
अंजू,ə n uː
अँजोरा,ə n d͡ʒ oː ɾ ɑː
अंझा,ə n d͡ʒʱ ɑː
अंट,ə n ʈ
अँटना,ə n ʈ n ɑː
अँटवाना,ə n ʈ ʋ ɑː n ɑː
अंटा,ə n ʈ ɑː
अँटाना,ə n ʈ ɑː n ɑː
अँटिया,ə n ʈ ɪ j ɑː
अँटियाना,ə n ʈ ɪ j ɑː n ɑː
अंटी,ə n ʈ iː
अँठई,ə n ʈʰ ə iː
अँठलाना,ə n ʈʰ l ɑː n ɑː
अँठलाना,ə n ʈʰ l ɑː n ɑː
अँठली,ə n ʈʰ l iː
अंड,ə n ɖ
अंड,ə n ɖ
अंड-बंड,ə n ɖ - b ə n ɖ
अंडा,ə n ɖ ɑː
अँड़ियाना,ə ~ ɽ ɪ j ɑː n ɑː
अंडी,ə n ɖ iː
अंडी,ə n ɖ iː
अँड़ैल,ə ~ ɽ ɛː l
अंत-,ə n t̪ ə ɦ -
अंत,ə n t̪
अँतड़ी,ə n t̪ ɽ iː
अंतर्-,ə n t̪ ə ɾ -
अंतर,ə n t̪ ə ɾ
अंतरण,ə n t̪ ə ɾ ə n
अंतरा,ə n t̪ ə ɾ ɑː
अँतरा,ə n t̪ ɾ ɑː
अंतराल,ə n t̪ ə ɾ ɑː l
अंतरिक,ə n t̪ ə ɾ ɪ k
अंतरिक्ष,ə n t̪ ə ɾ ɪ k ʃ
अंतरित,ə n t̪ ə ɾ ɪ t̪
अंतरिम,ə n t̪ ə ɾ ɪ m
अँतरिया,ə n t̪ ɾ ɪ j ɑː
अंतरीय,ə n t̪ ə ɾ iː j ə
अँतरौटा,ə n t̪ ɾ ɔː ʈ ɑː
अंतश्-,ə n t̪ ə ʃ -
अंतस्-,ə n t̪ ə s -
अंतस्थ,ə n t̪ ə s t̪ʰ
अंताराष्ट्रीय,ə n t̪ ɑː ɾ ɑː ʃ ʈ ɾ iː j ə
अंतिक,ə n t̪ ɪ k
अंतिम,ə n t̪ ɪ m
अंते,ə n t̪ eː
अंतेवासी,ə n t̪ eː ʋ ɑː s iː
अंत्य,ə n t̪ j ə
अंत्र,ə n t̪ ɾ ə
अंदर,ə n d̪ ə ɾ
अंदरसा,ə n d̪ ə ɾ s ɑː
अंदरून,ə n d̪ ə ɾ uː n
अंदरुनी,ə n d̪ ə ɾ uː n iː
अ़ंदाज़,ə n d̪ ɑː z
अंदाज़न,ə n d̪ ɑː z ə n
अंदाज़ा,ə n d̪ ɑː z ɑː
अंदेशा,ə n d̪ eː ʃ ɑː
अंदोह,ə n d̪ oː ɦ
अंध,ə n d̪ʱ
अंधकार,ə n d̪ʱ ə k ɑː ɾ
अंधड़,ə n d̪ʱ ə ɽ
अंधता,ə n d̪ʱ ə t̪ ɑː
अँधला,ə n d̪ʱ l ɑː
अंधा,ə n d̪ʱ ɑː
अंधापन,ə n d̪ʱ ɑː p ə n
अँधियार,ə n d̪ʱ ɪ j ɑː ɾ
अँधियारा,ə n d̪ʱ ɪ j ɑː ɾ ɑː
अँधियारी,ə n d̪ʱ ɪ j ɑː ɾ iː
अँधियाला,ə n d̪ʱ ɪ j ɑː l ɑː
अँधियाव,ə n d̪ʱ ɪ j ɑː ʋ
अँधेर,ə n d̪ʱ eː ɾ
अँधेरा,ə n d̪ʱ eː ɾ ɑː
अँधेरी,ə n d̪ʱ eː ɾ iː
अँधौरी,ə n d̪ʱ ɔː ɾ iː
अंब,ə m b
अंबक,ə m b ə k
अँबती,ə m b ə t̪ iː
अंबर,ə m b ə ɾ
अंबर,ə m b ə ɾ
अंबर,ə m b ə ɾ
अँबराई,ə m b ə ɾ ɑː iː
अंबरी,ə m b ə ɾ iː
अंबल,ə m b ə l
अंबा,ə m b ɑː
अंबाड़ा,ə m b ɑː ɽ ɑː
अंबार,ə m b ɑː ɾ
अंबारी,ə m b ɑː ɾ iː
अंबालिका,ə m b ɑː l ɪ k ɑː
अँबासना,ə m b ɑː s n ɑː
अंबिका,ə m b ɪ k ɑː
अँबिया,ə m b ɪ j ɑː
अंबु,ə m b ʊ
अँबोती,ə m b oː t̪ iː
अंबोह,ə m b oː ɦ
अंभ,ə m bʱ
अँभौरी,ə m bʱ ɔː ɾ iː
अंश,ə n ʃ
अंशक,ə n ʃ ə k
अंशी,ə n ʃ iː
अंशुमान,ə n ʃ ʊ m ɑː n
अंशुमाली,ə n ʃ ʊ m ɑː l iː
अंस,ə n s
अ-,ə -
अऊत,ə uː t̪
अकंटक,ə - k ə n ʈ ə k
अकंपन,ə - k ə m p ə n
अकंपित,ə - k ə m p ɪ t̪
-अक,- ə k
अकज-,ə k ə d͡ʒ -
अकड़,ə k ə ɽ
अकड़ना,ə k ə ɽ n ɑː
अकड़ाना,ə k ɽ ɑː n ɑː
अकड़ू,ə k ɽ uː
अकड़ैत,ə k ɽ ɛː t̪
अकती,ə k t̪ iː
अकथ,ə - k ə t̪ʰ
अकथनीय,ə - k ə t̪ʰ ə n iː j ə
अकथित,ə - k ə t̪ʰ ɪ t̪
अकथ्य,ə - k ə t̪ʰ j ə
अकधक,ə k d̪ʱ ə k
अकन-,ə k ə n -
अकबक,ə k b ə k
अकबकाना,ə k b ə k ɑː n ɑː
अकबत,ə k ə b ə t̪
अकबरी,ə k b ə ɾ iː
अकर,ə - k ə ɾ
अकर,ə - k ə ɾ
अकरण,ə - k ə ɾ ə n
अकरणीय,ə - k ə ɾ ə n iː j ə
अकरा,ə k ɾ ɑː
अकरा,ə k ɾ ɑː
अकरी,ə k ɾ iː
अकर्म,ə - k ə ɾ m
अकर्मक,ə - k ə ɾ m ə k
अकर्मण्य,ə - k ə ɾ m ə n j ə
अकर्मण्यता,ə - k ə ɾ m ə n j ə t̪ ɑː
अकर्मा,ə - k ə ɾ m ɑː
अकर्मी,ə - k ə ɾ m iː
अक़ल,ə q l
अकलंक,ə - k ə l ə ~ k
अकलंकता,ə - k ə l ə ~ k ə t̪ ɑː
अकलंकित,ə - k ə l ə ~ k ɪ t̪
अकलंकी,ə - k ə l ə ~ k iː
अकल-,ə k ə l -
अकल्पनीय,ə - k ə l p ə n iː j ə
अकल्पित,ə - k ə l p ɪ t̪
