रसायन	रसायन	N;DIR;SG;MASC
भोजनतंतु	भोजनतंतु	N;DIR;SG;MASC
कथन	कथन	N;DIR;SG;MASC
अहंकार	अहंकार	N;DIR;SG;MASC
अतिसार	अतिसार	N;DIR;SG;MASC
सुनाई	सुनाई	N;DIR;SG;FEM
उपदान	उपदान	N;DIR;SG;MASC
लग्न	लग्न	N;DIR;SG;MASC
जोधपुर	जोधपुर	N;DIR;SG;MASC
साफल्य	साफल्य	N;DIR;SG;MASC
इतालवी	इतालवी	N;DIR;SG;FEM
चक्र	चक्र	N;DIR;SG;MASC
नरेंद्र	नरेंद्र	N;DIR;SG;MASC
रोगिणी	रोगिणी	N;DIR;SG;FEM
अनपच	अनपच	N;DIR;SG;MASC
खतौनी	खतौनी	N;DIR;SG;MASC
क़यामत	क़यामत	N;DIR;SG;FEM
हाल-चाल	हाल-चाल	N;DIR;SG;MASC
दोस्ती	दोस्ती	N;DIR;SG;FEM
तकलीफ़	तकलीफ़	N;DIR;SG;FEM
अज़ीज़	अज़ीज़	N;DIR;SG;MASC
अज़ीज़	अज़ीज़	N;DIR;SG;FEM
पवन	पवन	N;DIR;SG;MASC
नल्ला	नल्ला	N;DIR;SG;MASC
भात	भात	N;DIR;SG;MASC
एवज़	एवज़	N;DIR;SG;MASC
मिस्त्री	मिस्त्री	N;DIR;SG;MASC
ख़ुशहाली	ख़ुशहाली	N;DIR;SG;FEM
त्रिशंकु सभा	त्रिशंकु सभा	N;DIR;SG;FEM
लडकी	लडकी	N;DIR;SG;FEM
ओदन	ओदन	N;DIR;SG;MASC
कुमार	कुमार	N;DIR;SG;MASC
कुमार	कुमार	N;DIR;SG;MASC
ऐलान	ऐलान	N;DIR;SG;MASC
मेहमाननवाज़ी	मेहमाननवाज़ी	N;DIR;SG;FEM
खुबानी	खुबानी	N;DIR;SG;FEM
योगिनी	योगिनी	N;DIR;SG;FEM
छल	छल	N;DIR;SG;MASC
मजमा	मजमा	N;DIR;SG;MASC
वेतन	वेतन	N;DIR;SG;MASC
मुहाक़	मुहाक़	N;DIR;SG;MASC
अस्थिरता	अस्थिरता	N;DIR;SG;FEM
गरम मसाला	गरम मसाला	N;DIR;SG;MASC
साज़	साज़	N;DIR;SG;MASC
गुलाल	गुलाल	N;DIR;SG;MASC
खिलौना	खिलौना	N;DIR;SG;MASC
संप्रभुता	संप्रभुता	N;DIR;SG;FEM
स्तंभन	स्तंभन	N;DIR;SG;MASC
मंत्र	मंत्र	N;DIR;SG;MASC
टांकण	टांकण	N;DIR;SG;MASC
अंगारा	अंगारा	N;DIR;SG;FEM
दुष्ट	दुष्ट	N;DIR;SG;MASC
चाशनी	चाशनी	N;DIR;SG;FEM
तिजारत	तिजारत	N;DIR;SG;FEM
ट्राइटियम	ट्राइटियम	N;DIR;SG;MASC
कवक	कवक	N;DIR;SG;MASC
हिंदी	हिंदी	N;DIR;SG;FEM
हिंदी	हिंदी	N;DIR;SG;MASC
हिंदी	हिंदी	N;DIR;SG;FEM
बख़्त	बख़्त	N;DIR;SG;MASC
सखी	सखी	N;DIR;SG;FEM
झमेला	झमेला	N;DIR;SG;MASC
आतंक	आतंक	N;DIR;SG;MASC
झक्कड़	झक्कड़	N;DIR;SG;MASC
सॉकर	सॉकर	N;DIR;SG;MASC
हड़ताल	हड़ताल	N;DIR;SG;FEM
संकल्पना	संकल्पना	N;DIR;SG;FEM
कॅटलोनिया	कॅटलोनिया	N;DIR;SG;MASC
एकता	एकता	N;DIR;SG;FEM
एकता	एकता	N;DIR;SG;FEM
नाटक	नाटक	N;DIR;SG;MASC
पर्व	पर्व	N;DIR;SG;MASC
सौगन्द	सौगन्द	N;DIR;SG;FEM
पायदान	पायदान	N;DIR;SG;MASC
पनस	पनस	N;DIR;SG;MASC
गिनी-बिसाऊ	गिनी-बिसाऊ	N;DIR;SG;MASC
चिड़िया	चिड़िया	N;DIR;SG;FEM
सच्चाई	सच्चाई	N;DIR;SG;FEM
दीपिका	दीपिका	N;DIR;SG;FEM
दीपिका	दीपिका	N;DIR;SG;FEM
स्वराज्य	स्वराज्य	N;DIR;SG;MASC
कॉफी	कॉफी	N;DIR;SG;FEM
हौसला	हौसला	N;DIR;SG;MASC
कपूर	कपूर	N;DIR;SG;MASC
कपूर	कपूर	N;DIR;SG;MASC
कपूर	कपूर	N;DIR;SG;FEM
उस्मानी साम्राज्य	उस्मानी साम्राज्य	N;DIR;SG;MASC
रहस्य	रहस्य	N;DIR;SG;MASC
अज्ञान	अज्ञान	N;DIR;SG;MASC
दासप्रथा	दासप्रथा	N;DIR;SG;FEM
लौह	लौह	N;DIR;SG;MASC
केन्या	केन्या	N;DIR;SG;MASC
गांव	गांव	N;DIR;SG;MASC
पाक रूह	पाक रूह	N;DIR;SG;FEM
खंबा	खंबा	N;DIR;SG;MASC
समयादेश	समयादेश	N;DIR;SG;MASC
काबीना	काबीना	N;DIR;SG;FEM
संकोच	संकोच	N;DIR;SG;MASC
राजभाषा	राजभाषा	N;DIR;SG;FEM
विद्यावान	विद्यावान	N;DIR;SG;MASC
संयोग	संयोग	N;DIR;SG;MASC
अरंडी	अरंडी	N;DIR;SG;FEM
बजट	बजट	N;DIR;SG;MASC
इंतज़ार	इंतज़ार	N;DIR;SG;MASC
अड्डा	अड्डा	N;DIR;SG;MASC
हलदी	हलदी	N;DIR;SG;FEM
ढम-ढम	ढम-ढम	N;DIR;SG;MASC
पुनर्जन्म	पुनर्जन्म	N;DIR;SG;MASC
अभिभावक	अभिभावक	N;DIR;SG;MASC
अंजाम	अंजाम	N;DIR;SG;MASC
नस्तालीक़	नस्तालीक़	N;DIR;SG;MASC
अजमेर	अजमेर	N;DIR;SG;MASC
गणतन्त्र	गणतन्त्र	N;DIR;SG;MASC
फिटकरी	फिटकरी	N;DIR;SG;FEM
अभ्रक	अभ्रक	N;DIR;SG;MASC
झगड़ा	झगड़ा	N;DIR;SG;MASC
रसोईया	रसोईया	N;DIR;SG;MASC
चिक	चिक	N;DIR;SG;FEM
संवेग	संवेग	N;DIR;SG;MASC
तुक	तुक	N;DIR;SG;FEM
तंत्र	तंत्र	N;DIR;SG;MASC
कड़छी	कड़छी	N;DIR;SG;FEM
आकार	आकार	N;DIR;SG;MASC
फूंक	फूंक	N;DIR;SG;FEM
दिल्ली	दिल्ली	N;DIR;SG;FEM
नारी	नारी	N;DIR;SG;FEM
टकराव	टकराव	N;DIR;SG;MASC
निजीकरण	निजीकरण	N;DIR;SG;MASC
उक़ाब	उक़ाब	N;DIR;SG;MASC
वार्ता	वार्ता	N;DIR;SG;FEM
शादी	शादी	N;DIR;SG;FEM
कहनी	कहनी	N;DIR;SG;FEM
पत्नी	पत्नी	N;DIR;SG;FEM
जुर्माना	जुर्माना	N;DIR;SG;MASC
ग़ाज़ियाबाद	ग़ाज़ियाबाद	N;DIR;SG;MASC
बुंदेली	बुंदेली	N;DIR;SG;FEM
पुट्ठा	पुट्ठा	N;DIR;SG;MASC
तरक्की	तरक्की	N;DIR;SG;FEM
बयानबाज़ी	बयानबाज़ी	N;DIR;SG;FEM
शृंग	शृंग	N;DIR;SG;MASC
गढ़	गढ़	N;DIR;SG;MASC
पुरोहित	पुरोहित	N;DIR;SG;MASC
महताब	महताब	N;DIR;SG;MASC
अचरज	अचरज	N;DIR;SG;MASC
चेचेन	चेचेन	N;DIR;SG;FEM
रसोई	रसोई	N;DIR;SG;FEM
धूल	धूल	N;DIR;SG;FEM
गर्भाशय	गर्भाशय	N;DIR;SG;MASC
रगड़न	रगड़न	N;DIR;SG;MASC
टुकड़ा	टुकड़ा	N;DIR;SG;MASC
अड़ंगा	अड़ंगा	N;DIR;SG;MASC
कोंपल	कोंपल	N;DIR;SG;FEM
खटमल	खटमल	N;DIR;SG;MASC
मुद्रिका	मुद्रिका	N;DIR;SG;FEM
अल्टीमेटम	अल्टीमेटम	N;DIR;SG;MASC
विवेचन	विवेचन	N;DIR;SG;MASC
प्राकृतिक विज्ञान	प्राकृतिक विज्ञान	N;DIR;SG;MASC
चादर	चादर	N;DIR;SG;FEM
फुड़िया	फुड़िया	N;DIR;SG;FEM
उपालंभ	उपालंभ	N;DIR;SG;MASC
बिजलीकरण	बिजलीकरण	N;DIR;SG;MASC
लहू	लहू	N;DIR;SG;MASC
मालदीव	मालदीव	N;DIR;SG;MASC
यूपी	यूपी	N;DIR;SG;MASC
भाजन	भाजन	N;DIR;SG;MASC
नाभिरज्जु	नाभिरज्जु	N;DIR;SG;MASC
स्त्री	स्त्री	N;DIR;SG;FEM
गिरफ़्त	गिरफ़्त	N;DIR;SG;FEM
प्रांत	प्रांत	N;DIR;SG;MASC
पुत्री	पुत्री	N;DIR;SG;FEM
इस्तांबुल	इस्तांबुल	N;DIR;SG;MASC
ट्रक	ट्रक	N;DIR;SG;MASC
ज़िम्मेदारी	ज़िम्मेदारी	N;DIR;SG;FEM
व्यापार	व्यापार	N;DIR;SG;MASC
प्राक्कथन	प्राक्कथन	N;DIR;SG;MASC
मूत्रमार्ग	मूत्रमार्ग	N;DIR;SG;MASC
हर्फ़	हर्फ़	N;DIR;SG;MASC
अशोकीय प्राकृत	अशोकीय प्राकृत	N;DIR;SG;FEM
उपेक्षा	उपेक्षा	N;DIR;SG;FEM
विमान-पत्तन	विमान-पत्तन	N;DIR;SG;MASC
प्रश्नोत्तर	प्रश्नोत्तर	N;DIR;SG;MASC
सबक़	सबक़	N;DIR;SG;MASC
डी	डी	N;DIR;SG;MASC+FEM
सोणिया	सोणिया	N;DIR;SG;MASC
रईस	रईस	N;DIR;SG;MASC
रनवास	रनवास	N;DIR;SG;MASC
राज्य	राज्य	N;DIR;SG;MASC
जलनिकासी	जलनिकासी	N;DIR;SG;FEM
बंबई	बंबई	N;DIR;SG;FEM
इमोशन	इमोशन	N;DIR;SG;MASC
दौलत	दौलत	N;DIR;SG;MASC
सूडान	सूडान	N;DIR;SG;MASC
मृतोत्थान	मृतोत्थान	N;DIR;SG;MASC
संजाल	संजाल	N;DIR;SG;MASC
अंतःक्षेप	अंतःक्षेप	N;DIR;SG;MASC
पाहन	पाहन	N;DIR;SG;MASC
किलोग्राम	किलोग्राम	N;DIR;SG;MASC
अधिकार	अधिकार	N;DIR;SG;MASC
टेढ़ापन	टेढ़ापन	N;DIR;SG;MASC
निर्घोष	निर्घोष	N;DIR;SG;MASC
कृदंत	कृदंत	N;DIR;SG;MASC
आकर्षण	आकर्षण	N;DIR;SG;MASC
त्रिवेदी	त्रिवेदी	N;DIR;SG;MASC
त्रिवेदी	त्रिवेदी	N;DIR;SG;FEM
घमासान	घमासान	N;DIR;SG;MASC
गांभीर्य	गांभीर्य	N;DIR;SG;MASC
दुकान	दुकान	N;DIR;SG;FEM
बड़प्पन	बड़प्पन	N;DIR;SG;MASC
अंश	अंश	N;DIR;SG;MASC
अँग्रेज़	अँग्रेज़	N;DIR;SG;MASC
अँग्रेज़	अँग्रेज़	N;DIR;SG;FEM
असमर्थता	असमर्थता	N;DIR;SG;FEM
बोध	बोध	N;DIR;SG;MASC
च्युप	च्युप	N;DIR;SG;MASC
हलंत	हलंत	N;DIR;SG;MASC
बेड़ा	बेड़ा	N;DIR;SG;MASC
अंतड़ी	अंतड़ी	N;DIR;SG;FEM
बेरोज़गार	बेरोज़गार	N;DIR;SG;MASC
बर्ताव	बर्ताव	N;DIR;SG;MASC
फूलदान	फूलदान	N;DIR;SG;MASC
बरतन	बरतन	N;DIR;SG;MASC
युद्ध कला	युद्ध कला	N;DIR;SG;FEM
अष्टभुज	अष्टभुज	N;DIR;SG;MASC
गणित	गणित	N;DIR;SG;MASC
महामारी	महामारी	N;DIR;SG;FEM
फ़ील्मी गीत	फ़ील्मी गीत	N;DIR;SG;MASC
परिवार	परिवार	N;DIR;SG;MASC
गोद	गोद	N;DIR;SG;FEM
व्हिस्की	व्हिस्की	N;DIR;SG;FEM
चूतर	चूतर	N;DIR;SG;MASC
स्वदेश	स्वदेश	N;DIR;SG;MASC
इत्तिहाद	इत्तिहाद	N;DIR;SG;MASC
ईद	ईद	N;DIR;SG;FEM
चिरस्थायित्व	चिरस्थायित्व	N;DIR;SG;MASC
शरीफ़	शरीफ़	N;DIR;SG;MASC
कला	कला	N;DIR;SG;FEM
एकवचन	एकवचन	N;DIR;SG;MASC
मस्तिष्क-स्तम्भ	मस्तिष्क-स्तम्भ	N;DIR;SG;MASC
मुर्ती	मुर्ती	N;DIR;SG;FEM
सुग्गा	सुग्गा	N;DIR;SG;MASC
दोआब	दोआब	N;DIR;SG;MASC
नीयत	नीयत	N;DIR;SG;FEM
अकर्मण्यता	अकर्मण्यता	N;DIR;SG;FEM
सिकंदराबाद	सिकंदराबाद	N;DIR;SG;MASC
सारंगी	सारंगी	N;DIR;SG;FEM
अभियांत्रिकी	अभियांत्रिकी	N;DIR;SG;FEM
कांग्रेसी	कांग्रेसी	N;DIR;SG;MASC
कांग्रेसी	कांग्रेसी	N;DIR;SG;FEM
