src	greedy	beam_1	beam_2	beam_3	beam_4	beam_5	entropy
Schläuten	Schläuten	Schläuten	Schläutenven	SchläutenS	Schläutene	Schläutenve	4.120807647705078
Hauft	Haufte	Haufte	Häufte	Hauften	HauftenHäufte	Haufter	3.6408193111419678
Stinstion	Stinstionen	Stinstionen	StinstionenS	StinstionenÜ	StinstionenT	Stinstionwen	4.842935085296631
Anspeil	Anspeile	Anspeile	Anspeils	Anspeilen	Anspeiler	AnspeileQ	3.9196360111236572
Schlichker	Schlichker	Schlichker	Schlichkern	SchlichkerS	SchlichkerU	Schlichkeke	4.296604633331299
Strindungsgeifar	Strindungsgeifare	Strindungsgeifare	Strindungsgeifäre	Strindungsgeifar	Strindungsgeifire	Strindungsgeifaren	7.445237636566162
Hrichenstamm	Hrichenstämme	Hrichenstämme	Hrichenstamme	Hrichenstäme	Hrichenstämmen	Hrichenstämmer	5.751107215881348
Gestriefen	Gestriefen	Gestriefen	Gestriefene	GestriefenVe	Gestriefenr	GestriefenG	4.911473751068115
Blosem	Bloseme	Bloseme	Blöseme	Blosems	Blösems	Blosemen	4.192107200622559
Prodotanikition	Prodotanikitionen	Prodotanikitionen	ProdotanikitionenT	ProdotanikitionenÜ	ProdotanikitionenG	Prorotanikitionen	7.022197723388672
Puld	Pulde	Pulde	Pulder	Pulden	Pülder	PulderPulde	3.0279340744018555
Elernasarant	Elernasaranten	Elernasaranten	Elernasarante	ElernasarantenEn	Elernasarantenß	ElernasaranteEn	5.797593593597412
Bluggelei	Bluggeleien	Bluggeleien	Bluggeleier	BluggeleienQgeleien	BluggeleieZn	BluggeleienB	5.058672904968262
Hälkan	Hälkane	Hälkane	Hälkanen	Hälkannen	Hälkäne	Hälkans	2.6379594802856445
Spromatormer	Spromatormer	Spromatormer	Spromatormern	Spromatormere	SpromatormerS	SpromatormerU	4.895721435546875
Arkonersinger	Arkonersinger	Arkonersinger	Arkonersingern	ArkonersingerU	ArkonersingerA	ArkonersingeAr	5.706748962402344
Kreitenkander	Kreitenkander	Kreitenkander	Kreitenkandern	KreitenkanderÄen	KreitenkanderKe	Kreitenkaniere	5.534430503845215
Särnerien	Särnerien	Särnerien	Särneriene	Särnerienen	Särneriennen	Särnerienäe	4.693170547485352
Eckbnurd	Eckbnurde	Eckbnurde	Eckbnürder	Eckbnurden	Eckbnurder	EckbnurdeE	3.833906888961792
Puchereit	Puchereiten	Puchereiten	Puchereite	PuchereitenÜ	PuchereitenÖ	PuchereitenG	4.702999114990234
Mormwürmen	Mormwürmen	Mormwürmen	Mormwürmente	Mormwürmene	Mormwüärmen	Mormwürmenr	4.277615547180176
Serkinne	Serkinnen	Serkinnen	SerkinnenS	Serkàinnen	SerkinnenT	Serkinnenk	4.098392009735107
Kralbaten	Kralbaten	Kralbaten	Kralbatene	Kralbäten	Kralbatenve	Kralbatten	4.175712585449219
Mosse	Mossen	Mossen	Mossens	MossenM	Mossten	MossRen	2.4632375240325928
Akertre	Akertren	Akertren	Akertres	Akertrenven	Akertreen	AkertrenT	3.655952215194702
Kopfturm	Kopftürme	Kopftürme	Kopftürmer	Kopfturme	KopftürmeX	KopftürmeQ	3.6609346866607666
Geworg	Gewörge	Gewörge	Gewörger	GewörgeG	Gewörgen	Gewörgek	3.642592430114746
Körmer	Körmer	Körmer	Körmern	KörmerÄen	KörmerKö	Körmerr	2.8185794353485107
Bemeise	Bemeisen	Bemeisen	Bemeises	Bemeisten	BemeisenB	BKemeisen	3.66083025932312
Ertid	Ertide	Ertide	Ertiden	Ertider	Ertides	ErtideE	2.7567574977874756
Abkrasser	Abkrasser	Abkrasser	Abkrassern	Abkrassere	Abkrassers	AbkrasserA	4.201634883880615
Hortelständlicht	Hortelständlichten	Hortelständlichten	Hortelständlichter	Hortelständlichte	HortelständlichtenÖlichter	HortelständlichteG	8.43887710571289
Pinorit	Pinorite	Pinorite	Pinoriten	Pinorites	PinoriteP	PinoriteÖ	3.6254591941833496
Hinserin	Hinserinnen	Hinserinnen	HinserinnenÜin	HinserinnenÖin	HTinserinnen	HinserinnenT	4.8563432693481445
Humaltations	Humaltationsse	Humaltationsse	Humaltationse	Humaltations	Humaltationsnen	Humaltationten	6.120146751403809
Beinen	Beinen	Beinen	Beinene	BeinenBe	Beinens	Beinäne	2.6740477085113525
Partropfe	Partropfen	Partropfen	Partropften	PartropfenM	PartropfenP	PartropfenÖ	4.663641929626465
Spichtel	Spichtel	Spichtel	Spichteln	Spichtelr	SpichtelS	Spichtels	4.076349258422852
Ardere	Arderen	Arderen	Ardereen	Ärderen	ArderenA	ArderenT	3.322279453277588
Apfermacker	Apfermacker	Apfermacker	Apfermäcker	Apfermackern	ApfermackerÄen	Apfermackeker	4.62932825088501
Einfeumer	Einfeumer	Einfeumer	Einfeumern	Einfeumere	Einfeumers	EinfeumerE	4.047342300415039
Schwärfar	Schwärfare	Schwärfare	Schwärfäre	Schwärfaren	SchwärfareS	Schwärfareb	4.196980953216553
Brechtspert	Brechtsperte	Brechtsperte	Brechtsperten	Brechtsperts	Brechtsperter	Brechtsperteä	5.185027599334717
Blassesten	Blassesten	Blassesten	Blassestene	BlassestenBe	Blässesten	Blassestenn	4.412306308746338
