src	greedy	beam_1	beam_2	beam_3	beam_4	beam_5	entropy
Schläuten	Schläuten	Schläuten	Schläutenz	Schläutenx	SchläutenB	Schläutenv	4.101475715637207
Hauft	Hauft	Hauft	Hauften	Hauftn	HauftN	HauftC	2.2124364376068115
Stinstion	Stinstion	Stinstion	Stinstions	StinstionH	Stinstioné	StinstionC	4.195436000823975
Anspeil	Anspeil	Anspeil	Anspeilen	Anspeilo	AnspeilS	AnspeilA	2.8901524543762207
Schlichker	Schlichker	Schlichker	Schlichkern	SchlichkerM	Schlichkerè	SchlichkerY	4.646724224090576
Strindungsgeifar	Strindungsgeifar	Strindungsgeifar	Strindungsgeifär	Strindungsgeifarz	Strindungsgeifarn	Strindungsgeifard	6.44394588470459
Hrichenstamm	Hrichenstamm	Hrichenstamm	HrichenstammÄ	HrichenstammC	Hrichenstammo	Hrichenstammq	5.144430160522461
Gestriefen	Gestriefen	Gestriefen	Gestrèiefen	Gestriefenz	Gestriefenv	Gestriefenq	4.183250427246094
Blosem	Blosem	Blosem	Blosemen	Blosmem	BlosBem	Blösem	2.832397699356079
Prodotanikition	Prodotanikition	Prodotanikition	Prodotanikitionen	Prodotanikhition	Prodotanikitions	Prodotanikitionz	6.417232513427734
Puld	Puld	Puld	Pulden	PuldenJulden	PuldenTuld	PuldenJuld	2.224440097808838
Elernasarant	Elernasaranten	Elernasaranten	Elernasarant	Elernasarantenß	ElernasarantenM	Elernasarantenz	5.147669792175293
Bluggelei	Bluggelei	Bluggelei	BluggeleIi	BluggeleiE	BluggeleiD	Bluggeleix	4.210971355438232
Hälkan	Hälkan	Hälkan	Hälkannen	Hälkanen	HälkanFen	HälkanHen	2.6232833862304688
Spromatormer	Spromatormer	Spromatormer	Spromatormern	Spromatormery	Spromatormerx	Spromatormerè	4.93950891494751
Arkonersinger	Arkonersinger	Arkonersinger	Arkonersingern	Arkonersingery	Arkonersingerz	Arkonersingerx	5.191540241241455
Kreitenkander	Kreitenkander	Kreitenkander	Kreitenkandern	Kreitenkanderè	Kreitenkandery	Kreitenkanderx	5.549084186553955
Särnerien	Särnerien	Särnerien	SärnerienG	Särnerienz	Särnerienx	Särnerienq	3.958216428756714
Eckbnurd	Eckbnurd	Eckbnurd	Eckbnurden	Eckbnurdn	Eckbnurdß	EckbnurdP	3.420456647872925
Puchereit	Puchereit	Puchereit	Puchereiten	PuchereitN	PuchereitC	PuchereitM	3.9852497577667236
Mormwürmen	Mormwürmen	Mormwürmen	Mormwüärmen	Mormwürmenx	MormwürmenJ	MormwürmenM	4.378072261810303
Serkinne	Serkinne	Serkinne	Serkinnen	Serkàinne	Serkinnße	SerkinneÜ	3.2578928470611572
Kralbaten	Kralbaten	Kralbaten	Kralbatten	Kralbatyen	KKralbaten	Kralbatecn	3.9798121452331543
Mosse	Mosse	Mosse	Mossen	MosseM	Mossey	MosseD	2.613917589187622
Akertre	Akertre	Akertre	Akertren	Akertree	AkertreP	Akertrev	3.2507028579711914
Kopfturm	Kopfturm	Kopfturm	Kopfturmen	KopfturmUn	KopfturmY	KopfturmX	3.3067562580108643
Geworg	Geworg	Geworg	Geworgen	Geworgr	GeworgY	GeworgI	2.791515588760376
Körmer	Körmer	Körmer	Körmern	KörmRer	Körmery	Körmerx	2.4667809009552
Bemeise	Bemeise	Bemeise	Bemeisen	Bemeisten	Bemeisee	BKemeise	3.440338134765625
Ertid	Ertid	Ertid	Ertiden	Ertdid	ELrtid	ErtidEn	2.4974679946899414
Abkrasser	Abkrasser	Abkrasser	Abkrasserè	Abkrasserk	AbkrasserQ	AbkrasserM	4.407265663146973
Hortelständlicht	Hortelständlicht	Hortelständlicht	Hortelständlichten	Hortelständlicqht	Hortelständlickt	Hortelstänilicht	6.5100626945495605
Pinorit	Pinorit	Pinorit	Pinoriten	PinoritP	PinoritÖ	PinoritY	3.4241275787353516
Hinserin	Hinserin	Hinserin	Hinserinnen	HinserinEn	HIinserin	HÜinserin	3.5429370403289795
Humaltations	Humaltations	Humaltations	Humaltationso	HumaltationsY	HumaltationsQ	HumaltationsS	5.024117469787598
Beinen	Beinen	Beinen	BeinenBen	Beinenx	Beinenm	Beinenz	2.7769815921783447
Partropfe	Partropfe	Partropfe	Partropfen	PartropfRe	PartropfeM	PartropfeP	3.9397552013397217
Spichtel	Spichtel	Spichtel	Spichteln	SpichtelM	SpichtelÄ	SpichtelD	3.79089093208313
Ardere	Ardere	Ardere	Arderen	Arderee	ArdereA	ArdereP	2.991844892501831
Apfermacker	Apfermacker	Apfermacker	Apfermackern	Apfermackeru	Apfermackery	Apfermackerx	4.625777721405029
Einfeumer	Einfeumer	Einfeumer	Einfeumern	EinfeumerEn	EIinfeumer	EEinfeumer	3.9088613986968994
Schwärfar	Schwärfar	Schwärfar	Schwärfaar	Schwärfarn	Schwärfarz	SchwärfarW	3.884002923965454
Brechtspert	Brechtspert	Brechtspert	Brechtsperten	BrechtspertW	BrechtspertY	BrechtspertC	4.562399864196777
Blassesten	Blassesten	Blassesten	Blassßesten	Blassvesten	Blässesten	Blassestecn	4.154426097869873
Absprach	Absprach	Absprach	Absprachen	Äbsprach	Absprachm	AbsprachP	3.788224935531616
Moschel	Moschel	Moschel	Moschelen	Moscheln	MoschelM	Moschelm	3.283494710922241
Balttahe	Balttahe	Balttahe	Balttahen	BalttahRe	Balttahxe	Balttahje	3.797044515609741
Alkos	Alkos	Alkos	Alkosen	AlkosÄ	Alkosm	AlkosA	2.0815558433532715
Klagsenmentasphotion	Klagsenmentasphotion	Klagsenmentasphotion	KlagsenmentaspAhotion	Klagsenmentasphotions	Klagsenwentasphotion	Klagsenmentaspfotion	8.101633071899414
Schlauf	Schlauf	Schlauf	Schlaufes	Schlauff	Schlaufn	SchlaufS	3.241511106491089
Mändbeirt	Mändbeirt	Mändbeirt	Mändbeirten	Mändbeirtn	MändbeirtM	MändbeirtN	4.309930801391602
Schwirzkall	Schwirzkall	Schwirzkall	SchwirzkallD	SchwirzkallÄ	SchwirzkallT	Schwirzkallk	4.863029479980469
Prom	Prom	Prom	Promen	PromenJrom	Pkrom	PProm	2.201744556427002
Blügen	Blügen	Blügen	BlügenBlügen	BlügenBlügenBlügen	Blügenx	Blügenz	2.7024734020233154
Hirtungskortionsten	Hirtungskortionsten	Hirtungskortionsten	Hirtungskortionstenz	Hirtungskortionstenw	Hirtungskortionstenx	Hirtunoskortionsten	7.624788284301758
Mallissen	Mallissen	Mallissen	MRallissen	Mällissen	Mallissenk	Mallissenv	3.6564719676971436
Matztersint	Matztersinten	Matztersinten	Matztersint	MatztersintenMatzt	MRatztersinten	MatztersintenÜ	4.927036285400391
Frutt	Frutt	Frutt	Frutten	Fkrutt	Fruttn	FruttC	2.273300886154175
Keltikoffin	Keltikoffin	Keltikoffin	Keltikofffin	Keltikofftin	KeltikoffinC	Keltikoffinx	4.1217122077941895
Kingschittiut	Kingschittiut	Kingschittiut	Kingschittiuten	Kingschittieut	KingschittiutC	KingschittiutS	5.752744197845459
Spoststrot	Spoststrot	Spoststrot	Spoststroten	SpoststrotK	SpoststrotM	SpoststrotF	4.028691291809082
Merschlitt	Merschlitt	Merschlitt	Merschlitten	MerscMhlitt	MerschlittC	Merschlittn	4.667282581329346
Hongestrappe	Hongestrappe	Hongestrappe	Hongestrappen	Hongestrappte	HongestrappeJ	HongestrappeN	5.018523216247559
Hauf	Hauf	Hauf	Haufen	Haufes	Hauff	Haufn	1.7052196264266968
Abschleine	Abschleine	Abschleine	Abschleinen	AbschleineA	AbschleineS	AbschleineÜ	4.674347877502441
Mormullent	Mormullenten	Mormullenten	Mormullent	MormullentenMormulen	Mormulltenten	MormullentenMormul	4.6789774894714355
Atoberentrosk	Atoberentrosk	Atoberentrosk	Atoberentrosken	Atoberentrosko	otoberentrosk	Ötoberentrosk	5.16060209274292
Silben	Silben	Silben	SSilben	Silbenx	SilbenS	SilbenO	2.723740816116333
Sompfe	Sompfe	Sompfe	Sompfen	Sompfey	Sompfez	Sompfee	3.0254085063934326
Mach	Mach	Mach	Machen	MachW	MachM	Machä	2.252903938293457
Angätzen	Angätzen	Angätzen	Angätzenz	Angätzenx	Angätzenk	Angätzenven	3.5470645427703857
Sarginiungsmeiten	Sarginiungsmeiten	Sarginiungsmeiten	Sarginiungsmeitenz	Sarginiungsmeitenv	Sarginiungsmeitenk	SarginiungsmeitenG	7.371372699737549
Einführer	Einführer	Einführer	EinführerEn	Einführern	Einfühkrer	Einführerz	4.082770824432373
Baster	Baster	Baster	Bastern	BastCer	BasterB	Basterè	2.5888750553131104
Staufang	Staufang	Staufang	Staufangen	Staufangn	Staufangq	StaufangS	3.2709035873413086
Grand	Grand	Grand	Granden	GrandKran	Grand-G	GrandKra	2.3316104412078857
Heien	Heien	Heien	Heienen	HeienHen	Heienn	Heienx	2.359638214111328
Elz	Elz	Elz	Elzen	ElzEn	ELlz	ElzD	1.6456090211868286
Gelet	Gelet	Gelet	Geleten	Gelet-G	GKelet	Geletn	2.557847499847412
Absterz	Absterz	Absterz	Absterzen	Absterzo	Absterzn	AbsterzP	3.54226016998291
Gahllug	Gahllug	Gahllug	Gahllugen	GahllugI	Gahllugq	Gahllugä	3.192620277404785
Spong	Spong	Spong	Spongen	SpongÄ	SpongY	SpongM	2.342916965484619
Mahlen	Mahlen	Mahlen	Mahlenen	MahlenMen	Mahlenx	Mahlenz	3.0790822505950928
Freiste	Freiste	Freiste	Freisten	Fkreiste	Freistye	Freistey	3.5082921981811523
