src	greedy	beam_1	beam_2	beam_3	beam_4	beam_5	entropy
Schläuten	Schläuten	Schläuten	SchläutenÖen	Schläutenven	SchläutenS	Schläutern	4.145073413848877
Hauft	Hauften	Hauften	Häuften	HauftenHäuften	HauftenBäuften	HauftenHauften	3.9123854637145996
Stinstion	Stinstionen	Stinstionen	StinstionenS	StinstionenÖ	StinstionenT	StinstionenF	4.012022018432617
Anspeil	Anspeilen	Anspeilen	AnspeilenAn	AnspeilenQn	Anspeils	Anspeilern	3.884674072265625
Schlichker	Schlichkern	Schlichkern	SchlichkernMchken	Schlichker	Schlichkernon	SchlichkernS	4.938518524169922
Strindungsgeifar	Strindungsgeifaren	Strindungsgeifaren	Strindungsgeifären	Strindungsgeifarn	Strindungsgeifiren	StrindungsgeifarenÖifen	7.810589790344238
Hrichenstamm	Hrichenstämmen	Hrichenstämmen	Hrichenstämmenxen	Hrichenstammen	Hrichenstämmten	Hrichenstämmern	6.217307090759277
Gestriefen	Gestriefen	Gestriefen	Gestriefenen	Gestriefenten	GestriefenVen	Gestriefenrn	5.010952949523926
Blosem	Blosemen	Blosemen	Blösemen	Blosems	Blösems	Blüsemen	4.393689155578613
Prodotanikition	Prodotanikitionen	Prodotanikitionen	ProdotanikitionenT	ProdotanikitionenS	ProdotanikitionenF	Prorotanikitionen	7.236070156097412
Puld	Pulden	Pulden	Puldern	PuldenPulden	PuldenFulden	Püldern	3.525526523590088
Elernasarant	Elernasaranten	Elernasaranten	Elernasarantenß	ElernasarantenÖ	Elernasarantern	ElernasarantenÜ	5.343132019042969
Bluggelei	Bluggeleien	Bluggeleien	Bluggeleiern	BluggeleienQgeleien	BluggeleienBlugen	Bluggeleier	4.862703323364258
Hälkan	Hälkanen	Hälkanen	Hälkannen	Hälkänen	HälkanenS	HälkanenF	3.35868501663208
Spromatormer	Spromatormern	Spromatormern	Spromatormer	Spromatormeren	SpromatormernMa	SpromatormernS	5.602555751800537
Arkonersinger	Arkonersingern	Arkonersingern	Arkonersinger	ArkonersingernUn	ArkonersingernLn	ArkonersingernB	5.806473255157471
Kreitenkander	Kreitenkandern	Kreitenkandern	Kreitenkander	Kreitenkandernen	KreitenkandernUn	KreitenkandernLn	6.15252161026001
Särnerien	Särnerien	Särnerien	Särnerienen	Särnerienänen	Särneriennen	Särnerienwen	4.4268903732299805
Eckbnurd	Eckbnurden	Eckbnurden	Eckbnürdern	EckbnurdenEn	EckbnurdenQn	Eckbnurdern	4.570916175842285
Puchereit	Puchereiten	Puchereiten	Puchereitern	PuchereitenÖ	PuchereitenÜ	PuchereitenS	4.801060676574707
Mormwürmen	Mormwürmen	Mormwürmen	Mormwürmenten	Mormwürmenen	Mormwürmern	Mormwürmenn	4.354331970214844
Serkinne	Serkinnen	Serkinnen	SerkinnenS	SerkinnenT	SerkinnenF	SerkinnenÖ	4.089488983154297
Kralbaten	Kralbaten	Kralbaten	Kralbatenen	Kralbäten	Kralbatenven	Kralbatten	4.226971626281738
Mosse	Mossen	Mossen	Mossens	Mossten	MossenM	MossRen	2.891119956970215
Akertre	Akertren	Akertren	Akertres	AkertrenQken	Akertrenven	Akertreen	3.702188730239868
Kopfturm	Kopftürmen	Kopftürmen	KopftürmenÖturmen	KopftürmenÖtürmen	Kopftürmern	KopftürmenLn	4.117199420928955
Geworg	Gewörgen	Gewörgen	Gewörgern	Gewörgenrn	GewörgenÖn	Geworgen	3.4889681339263916
Körmer	Körmern	Körmern	KörmernPörn	Körmer	Körmeren	Körmernon	2.861985921859741
Bemeise	Bemeisen	Bemeisen	Bemeises	Bemeisten	BemeisenB	BKemeisen	3.8313052654266357
Ertid	Ertiden	Ertiden	ErtidenÖen	Ertidenèen	ErtidenEn	Ertidern	3.087630033493042
Abkrasser	Abkrassern	Abkrassern	Abkrasser	Abkrasseren	Abkrassernon	AbkrassernAn	3.8988394737243652
Hortelständlicht	Hortelständlichten	Hortelständlichten	Hortelständlichtern	HortelständlichtenÖlichtern	HortelständlichtenQlichten	HortelständlichtenQlichtern	7.566964149475098
Pinorit	Pinoriten	Pinoriten	PPinoriten	Pfinoriten	PEinoriten	PinoritenÖ	4.199738025665283
Hinserin	Hinserinnen	Hinserinnen	HinserinnenÖin	HinserinnenQen	HTinserinnen	HinserinnenT	4.730536460876465
Humaltations	Humaltationsen	Humaltationsen	Humaltationssen	Humaltations	Humaltationsnen	Humaltationten	6.494171619415283
Beinen	Beinen	Beinen	Beinenen	BeinenBen	Beinänen	Beinens	2.8307955265045166
Partropfe	Partropfen	Partropfen	Partropften	PartropfRen	PartropfenÖ	PartropfenP	4.401427745819092
Spichtel	Spichteln	Spichteln	Spichtel	SpichtelnS	SpichtelnB	SpichtelnM	3.7549710273742676
Ardere	Arderen	Arderen	Ärderen	Ardereen	Arderes	ArderenT	3.806635856628418
