src	greedy	beam_1	beam_2	beam_3	beam_4	beam_5	entropy
Schläuten	Schläuten	Schläuten	Schläutenz	Schläutenk	Schläutenx	SchläutenB	4.072728157043457
Hauft	Hauft	Hauft	Hauften	Hauftn	HauftN	HauftC	2.204838752746582
Stinstion	Stinstion	Stinstion	Stinstions	StinstionH	Stinstioné	StinstionK	4.200461387634277
Anspeil	Anspeil	Anspeil	Anspeilen	Anspeilo	AnspeilA	AnspeilS	2.93133807182312
Schlichker	Schlichker	Schlichker	Schlichkern	SchlichkerM	Schlichkerè	SchlichkerY	4.622220039367676
Strindungsgeifar	Strindungsgeifar	Strindungsgeifar	Strindungsgeifär	Strindungsgeifarn	Strindungsgeifir	Strindungsgeifarz	6.456701278686523
Hrichenstamm	Hrichenstamm	Hrichenstamm	HrichenstammÄ	HrichenstammC	Hrichenstammq	Hrichenstammo	5.149693489074707
Gestriefen	Gestriefen	Gestriefen	Gestrèiefen	GKestriefen	Gestriefenz	Gestriefenv	4.162576675415039
Blosem	Blosem	Blosem	Blosemen	Blosmem	Blösem	BlosBem	2.655939817428589
Prodotanikition	Prodotanikition	Prodotanikition	Prodotanikitionen	Prodotanikhition	Prodotanikitions	Prodotanikitionz	6.609513282775879
Puld	Puld	Puld	Pulden	PuldenMen	PuldenPen	PuldO	2.012701988220215
Elernasarant	Elernasaranten	Elernasaranten	Elernasarant	ElernasarantenM	Elernasarantenß	ElernasarantenÖ	5.226832389831543
Bluggelei	Bluggelei	Bluggelei	BluggeleIi	BluggeleiE	BluggeleiD	Bluggeleix	4.019253253936768
Hälkan	Hälkan	Hälkan	Hälkannen	Hälkanen	HälkanHen	Hälkanken	2.7890164852142334
Spromatormer	Spromatormer	Spromatormer	Spromatormern	Spromatormery	Spromatormerx	Spromatormerè	4.910202503204346
Arkonersinger	Arkonersinger	Arkonersinger	Arkonersingern	Arkonersingery	Arkonersingerz	Arkonersingerx	5.194649696350098
Kreitenkander	Kreitenkander	Kreitenkander	Kreitenkandern	Kreitenkanderè	Kreitenkanderx	Kreitenkandery	5.554933071136475
Särnerien	Särnerien	Särnerien	SärnerienUn	Särnerienk	Särnerienz	Särnerienq	4.282288074493408
Eckbnurd	Eckbnurd	Eckbnurd	Eckbnurden	Eckbnurdn	Eckbnurdß	Exkbnurd	3.8932583332061768
Puchereit	Puchereit	Puchereit	Puchereiten	PuchereitN	PuchereitC	PuchereitM	3.665882110595703
Mormwürmen	Mormwürmen	Mormwürmen	Mormwüärmen	MormwürmenJ	Mormwürment	Mormwürmenx	4.245445251464844
Serkinne	Serkinne	Serkinne	Serkinnen	Serkàinne	Serkinnße	SerkinneÜ	3.2925596237182617
Kralbaten	Kralbaten	Kralbaten	Kralbatten	Kralbatyen	KKralbaten	Kralbatecn	3.681593894958496
Mosse	Mosse	Mosse	Mossen	MosseM	Mossey	MosseD	2.4959025382995605
Akertre	Akertre	Akertre	Akertren	Akertree	AkertreP	Akertrev	3.2871134281158447
Kopfturm	Kopfturm	Kopfturm	Kopfturmen	KopfturmUn	KopfturmY	KopfturmP	3.7376232147216797
Geworg	Geworg	Geworg	Geworgen	GeworgÄ	GeworgY	GeworgI	2.4382236003875732
Körmer	Körmer	Körmer	Körmerèn	Körmern	KörmRer	Körmerx	2.3455898761749268
Bemeise	Bemeise	Bemeise	Bemeisen	Bemeisten	Bemeisee	Bemeiseh	3.4104702472686768
Ertid	Ertid	Ertid	Ertiden	ErtidEn	Ertdid	ELrtid	2.1927297115325928
Abkrasser	Abkrasser	Abkrasser	Abkrasserè	AbkrasserQ	Abkrasserx	AbkrasserM	4.218461036682129
Hortelständlicht	Hortelständlicht	Hortelständlicht	Hortelständlichten	Hortelständlicqht	Hortelständlickt	HortelständlicZt	6.059242248535156
Pinorit	Pinorit	Pinorit	Pinoriten	PinoritP	PinoritÖ	PinoritY	3.5945987701416016
Hinserin	Hinserin	Hinserin	Hinserinnen	HinserinEn	HIinserin	HÜinserin	3.494572401046753
Humaltations	Humaltations	Humaltations	Humaltationso	HIumaltations	HumaltationsY	HumaltationsQ	4.9791693687438965
Beinen	Beinen	Beinen	BeinenBen	Beinten	Beinenx	Beinenz	2.804579973220825
Partropfe	Partropfe	Partropfe	Partropfen	PartropfRe	PartropfeP	PartropfeM	3.935468912124634
Spichtel	Spichtel	Spichtel	Spichttel	SpichtelÄ	SpichtelM	SpichtelJ	3.800300359725952
Ardere	Ardere	Ardere	Arderen	Arderee	ArdereA	ArdereP	2.9822468757629395
Apfermacker	Apfermacker	Apfermacker	Apfermackern	Apfermackerx	Apfermackeru	Apfermackerè	4.661139011383057
Einfeumer	Einfeumer	Einfeumer	EinfeumerEn	EinfeumerUn	Einfeumern	EIinfeumer	3.908069610595703
Schwärfar	Schwärfar	Schwärfar	Schwärfaar	Schwärfarn	Schwärfarèn	SchwärfarY	3.90179443359375
Brechtspert	Brechtspert	Brechtspert	Brechtsperten	BrechtspertW	BrechtspertY	BrechtspertA	4.564661502838135
Blassesten	Blassesten	Blassesten	Blassßesten	Blässesten	Blassvesten	Blassestecn	4.177974224090576
Absprach	Absprach	Absprach	Absprachen	Äbsprach	Absprachm	AbsprachL	3.924180269241333
Moschel	Moschel	Moschel	Moscheln	MoschelM	Moschely	MoschelI	3.263465404510498
Balttahe	Balttahe	Balttahe	Balttahen	Balttaöhe	BalttahRe	Balttahje	3.861192464828491
Alkos	Alkos	Alkos	Alkosen	AlkosÄ	Alkosm	AlkosA	2.0678882598876953
Klagsenmentasphotion	Klagsenmentasphotion	Klagsenmentasphotion	KlagsenmentaspAhotion	Klagsenmentasphotions	Klagsenwentasphotion	Klagsenmentaspfotion	8.135565757751465
Schlauf	Schlauf	Schlauf	Schlaufen	Schlauff	Schlaufn	SchlaufS	3.2896602153778076
Mändbeirt	Mändbeirt	Mändbeirt	Mändbeirten	Mändbeirtn	MändbeirtN	MändbeirtM	4.259322166442871
Schwirzkall	Schwirzkall	Schwirzkall	Schwirzkallk	SchwirzkallT	SchwirzkallÄ	SchwirzkallY	5.043361186981201
Prom	Prom	Prom	Promen	PromenJrom	Pkrom	PProm	2.08201265335083
Blügen	Blügen	Blügen	BlügenBlügen	BlügenBlügenBlügen	BlügenBlügenMlügen	Blügenz	2.6401596069335938
Hirtungskortionsten	Hirtungskortionsten	Hirtungskortionsten	Hirtungskortionstenqi	Hirtungskortionstenz	Hirtungskortionstens	Hirtungskortionstenw	7.796102046966553
Mallissen	Mallissen	Mallissen	MRallissen	Mällissen	Mallissenk	Mallissenz	4.037745952606201
Matztersint	Matztersinten	Matztersinten	Matztersint	MatztersintenMatzt	MRatztersinten	Matztersintenß	5.20564603805542
Frutt	Frutt	Frutt	Frutten	Fkrutt	Fruttn	FruttC	2.5060105323791504
Keltikoffin	Keltikoffin	Keltikoffin	Keltikofffin	Keltikofftin	KeltikoffinC	Keltikoffinx	5.050838947296143
Kingschittiut	Kingschittiut	Kingschittiut	Kingschittiuten	Kingschittieut	KingschittiutC	KingschittiutS	5.88718843460083
Spoststrot	Spoststrot	Spoststrot	Spoststroten	Spoststkrot	SpoststrotM	SpoststrotK	4.330275058746338
Merschlitt	Merschlitt	Merschlitt	Merschlitten	MerscMhlitt	MerschlittC	Merschlittn	4.629416465759277
Hongestrappe	Hongestrappe	Hongestrappe	Hongestrappen	Hongestrappte	HongestrappeJ	HongestrappeN	4.688658237457275
Hauf	Hauf	Hauf	Haufen	HHauf	Haufn	Hauff	2.2756216526031494
Abschleine	Abschleine	Abschleine	Abschleinen	AbschleineA	AbschleineM	AbschleineS	4.8975090980529785
Mormullent	Mormullenten	Mormullenten	Mormullent	MormullentenMormul	MormullentenMormulen	Mormulltenten	4.6619954109191895
Atoberentrosk	Atoberentrosk	Atoberentrosk	Atoberentrosken	otoberentrosk	Atoberentrosko	Ötoberentrosk	5.260526657104492
Silben	Silben	Silben	SSilben	SilbenS	Silbenx	Silbenz	2.7744319438934326
Sompfe	Sompfe	Sompfe	Sompfen	Sompfey	Sompfez	Sompfee	3.242131471633911
Mach	Mach	Mach	Machen	MachW	Machä	MachM	2.0023951530456543
Angätzen	Angätzen	Angätzen	Angätzenven	Angätzenz	Angätzenk	AngätzenB	3.6239864826202393
Sarginiungsmeiten	Sarginiungsmeiten	Sarginiungsmeiten	Sarginiungsmeitenz	Sarginiungsmeitenk	Sarginiungsmeitenv	SarginiungsmeitenJ	7.498568534851074
Einführer	Einführer	Einführer	Einführern	EinführerUn	EinführerEn	EEinführer	4.240728855133057
Baster	Baster	Baster	Bastern	BastCer	BasterB	Basterèn	2.835371732711792
Staufang	Staufang	Staufang	Staufangen	Staufangn	Staufangq	StaufangÄ	3.0702247619628906
Grand	Grand	Grand	Granden	GrandKran	Grand-G	GrandKra	2.4842095375061035
Heien	Heien	Heien	Heienen	Heienn	Heienx	HeienHen	2.1268250942230225
Elz	Elz	Elz	Elzen	ElzEn	ELlz	ElzD	1.4733383655548096
Gelet	Gelet	Gelet	Geleten	GKelet	Geletn	GeletW	2.318378448486328
Absterz	Absterz	Absterz	Absterzen	Absterzo	AbsterzP	Absterzn	3.3408889770507812
Gahllug	Gahllug	Gahllug	Gahllugen	Gahllugq	Gahllugä	GahllugI	3.1465694904327393
Spong	Spong	Spong	Spongen	SpongÄ	SpongM	SpongY	2.4046616554260254
Mahlen	Mahlen	Mahlen	MahlenMen	Mahlenen	Mahlten	Mahlenz	2.6459546089172363
Freiste	Freiste	Freiste	Freisten	Fkreiste	Freistye	Freister	3.3952202796936035
Sittrose	Sittrose	Sittrose	Sittrosen	SittroseM	Sittrosey	SittroseÜ	4.192607879638672
Bendroder	Bendroder	Bendroder	Bendroderèn	Bendrodern	BBendroder	BendroderB	4.088129043579102
Assenker	Assenker	Assenker	Assenkerèn	Assenkern	Assenkerx	Assenkerz	3.99273943901062
Spliedigung	Spliedigung	Spliedigung	SpliedigungM	SpliedigungS	SpliedigungC	SpliedigungE	4.828412055969238
Bruchschlister	Bruchschlister	Bruchschlister	Bruchschlistern	BruchschlisterB	Bruchschlisterè	Bruchschlisterd	6.050641059875488
Heusten	Heusten	Heusten	Heustßen	Heustyen	Heustenz	HeustenJ	3.5755906105041504
Benerser	Benerser	Benerser	Benersern	BenerserB	BenerserQ	Benerserè	4.140553951263428
Erzost	Erzost	Erzost	Erzosten	ErzostEn	ELrzost	EHrzost	2.319343328475952
Hattspreche	Hattspreche	Hattspreche	Hattsprechen	Hattsprecheè	HattsprecheU	HattsprecheD	4.7366862297058105
Beitreg	Beitreg	Beitreg	Beitregen	BeitregÄ	Beitregx	Beitregß	3.3614745140075684
Gehründe	Gehründe	Gehründe	Gehründen	Gehründec	GehründeD	Gehründeu	4.23461389541626
Froskelekiker	Froskelekiker	Froskelekiker	Fkroskelekiker	Froskàelekiker	Froskelekikern	Froskelekikery	6.069176197052002
Sprürze	Sprürze	Sprürze	Sprürzen	SprürzeM	SprürzeP	SprürzeÜ	3.0018482208251953
Gebrühe	Gebrühe	Gebrühe	Gebrühen	Gebrüche	GebrüheY	GebrüheD	3.176752805709839
Abschwieg	Abschwieg	Abschwieg	AbschwiegM	AbschwiegC	AbschwiegY	Abschwiegq	3.9791483879089355
Schurkel	Schurkel	Schurkel	Schurkeln	Schurkely	SchurkelI	SchurkelU	3.8361358642578125
Mermalt	Mermalt	Mermalt	Mermalten	MermaltM	MermaltN	MermaltY	3.1402223110198975
Gestett	Gestett	Gestett	Gestetten	GestettC	Gestettr	Gestetto	3.0664148330688477
Kanat	Kanat	Kanat	Kanaten	KanatQt	KKanat	KanatK	2.138474941253662
Hellfalgstrode	Hellfalgstrode	Hellfalgstrode	Hellfalgstroden	HellfalgstrodeN	Hellfalgstrodex	Hellfalgstrodep	6.000711441040039
Aline	Aline	Aline	Alinen	Alinee	AlineA	AlineÄ	2.3111259937286377
Bildienbräuf	Bildienbräuf	Bildienbräuf	Bildienbräuff	Bildienbräufj	Bildienbräufq	BildienbräufT	5.161605358123779
Bericht	Bericht	Bericht	Berichten	BericDht	BerichtC	Berichtr	3.054874897003174
Krabsetat	Krabsetat	Krabsetat	Krabsetaten	KrabsetatUn	Kkrabsetat	Krabsetaat	3.6830601692199707
