src	greedy	beam_1	beam_2	beam_3	beam_4	beam_5	entropy
Schläuten	Schläuten	Schläuten	Schläutenhen	Schläutenven	SchläutenS	Schläutene	4.0361504554748535
Hauft	Haufte	Haufte	Häufte	Hauften	HauftenHäufte	Haufter	3.1806700229644775
Stinstion	Stinstionen	Stinstionen	StinstionenÖtion	StinstionenS	StinstionenT	StinstionenÜ	4.703648567199707
Anspeil	Anspeile	Anspeile	Anspeils	Anspeilen	Anspeiler	AnspeileQ	3.837583065032959
Schlichker	Schlichker	Schlichker	Schlichkern	SchlichkerS	Schlichkeke	SchlichkerU	5.1390767097473145
Strindungsgeifar	Strindungsgeifare	Strindungsgeifare	Strindungsgeifäre	Strindungsgeifar	Strindungsgeifire	Strindungsgeifaren	7.486324787139893
Hrichenstamm	Hrichenstämme	Hrichenstämme	Hrichenstamme	Hrichenstäme	Hrichenstämmer	Hrichenstämmen	5.25321102142334
Gestriefen	Gestriefen	Gestriefen	Gestriefene	Gestriefente	Gestriefenr	GestriefenG	5.020754337310791
Blosem	Bloseme	Bloseme	Blöseme	Blosems	Blösems	Blosemen	4.360548973083496
Prodotanikition	Prodotanikitionen	Prodotanikitionen	ProdotanikitionenT	ProdotanikitionenÜ	ProdotanikitionenG	Prorotanikitionen	6.883450984954834
Puld	Pulde	Pulde	Pulder	Pulden	Pülder	PulderPulde	3.4742050170898438
Elernasarant	Elernasaranten	Elernasaranten	Elernasarante	ElernasarantenEn	Elernasarantenß	ElernasarantenÜ	5.332766532897949
Bluggelei	Bluggeleien	Bluggeleien	Bluggeleier	BluggeleienQgeleien	BluggeleieZn	BluggeleienG	4.485406398773193
Hälkan	Hälkane	Hälkane	Hälkanen	Hälkannen	Hälkäne	Hälkans	2.8117740154266357
Spromatormer	Spromatormer	Spromatormer	Spromatormern	Spromatormere	SpromatormerS	SpromatormerU	4.863351821899414
Arkonersinger	Arkonersinger	Arkonersinger	Arkonersingerve	Arkonersingern	ArkonersingerU	ArkonersingerA	5.8760762214660645
Kreitenkander	Kreitenkander	Kreitenkander	Kreitenkandern	KreitenkanderÄen	KreitenkanderKe	Kreitenkaniere	5.934268474578857
Särnerien	Särnerien	Särnerien	Särneriene	Särnerienen	Särneriennen	Särnerienäe	4.555062294006348
Eckbnurd	Eckbnurde	Eckbnurde	Eckbnürder	Eckbnurden	Eckbnurder	EckbnurdeE	4.172023296356201
Puchereit	Puchereiten	Puchereiten	Puchereite	PuchereitenÜ	PuchereitenÖ	PuchereitenG	4.4236741065979
Mormwürmen	Mormwürmen	Mormwürmen	Mormwürmente	Mormwürmene	Mormwüärmen	Mormwürmenr	4.190949440002441
Serkinne	Serkinnen	Serkinnen	SerkinnenS	Serkàinnen	SerkinnenT	Serkinnenk	3.9794349670410156
Kralbaten	Kralbaten	Kralbaten	Kralbatene	Kralbäten	Kralbatenve	Kralbatten	4.389799118041992
Mosse	Mossen	Mossen	Mossens	MossenM	Mossten	MossRen	2.512369394302368
Akertre	Akertren	Akertren	Akertres	Akertrenven	Akertreen	AkertrenT	3.7405481338500977
Kopfturm	Kopftürme	Kopftürme	Kopftürmer	Kopfturme	KopftürmeX	KopftürmeQ	3.4064688682556152
Geworg	Gewörge	Gewörge	Gewörger	GewörgeG	Gewörgen	Gewörgek	3.168841600418091
Körmer	Körmer	Körmer	Körmern	KörmerÄen	KörmerKö	Körmerr	2.750943183898926
Bemeise	Bemeisen	Bemeisen	Bemeises	Bemeisten	BemeisenB	BKemeisen	3.523317337036133
Ertid	Ertide	Ertide	Ertiden	Ertider	Ertides	ErtideE	2.616115093231201
Abkrasser	Abkrasser	Abkrasser	Abkrassern	Abkrassere	Abkrassers	AbkrasserA	4.306524753570557
Hortelständlicht	Hortelständlichten	Hortelständlichten	Hortelständlichter	Hortelständlichte	HortelständlichtenÖlichter	HortelständlichteG	7.3879475593566895
Pinorit	Pinorite	Pinorite	Pinoriten	Pinorites	PinoriteÖ	PinoriteP	3.7070255279541016
Hinserin	Hinserinnen	Hinserinnen	HinserinnenÜin	HinserinnenÖin	HTinserinnen	HinserinnenT	5.054043769836426
Humaltations	Humaltationse	Humaltationse	Humaltationsse	Humaltations	Humaltationsnen	Humaltationten	6.612369060516357
Beinen	Beinen	Beinen	Beinene	BeinenBe	Beinens	Beinäne	2.9767792224884033
Partropfe	Partropfen	Partropfen	Partropften	PartropfenP	PartropfenM	PartropfenÖ	4.2560505867004395
Spichtel	Spichtel	Spichtel	Spichteln	Spichtelr	SpichtelS	Spichtels	4.078845977783203
Ardere	Arderen	Arderen	Ardereen	Ärderen	ArderenA	ArderenT	3.5174293518066406
Apfermacker	Apfermacker	Apfermacker	Apfermäcker	ApfermackerÄen	Apfermackern	Apfermackeker	4.822341442108154
Einfeumer	Einfeumer	Einfeumer	Einfeumern	Einfeumere	Einfeumers	EinfeumerE	4.286910057067871
Schwärfar	Schwärfare	Schwärfare	Schwärfäre	Schwärfaren	SchwärfareS	Schwärfareb	4.349223613739014
Brechtspert	Brechtsperte	Brechtsperte	Brechtsperten	Brechtsperts	Brechtsperter	Brechtsperteä	4.809683799743652
Blassesten	Blassesten	Blassesten	Blassestene	BlassestenBe	Blässesten	Blassestäne	4.466222763061523
Absprach	Absprache	Absprache	Abspräche	Absprachen	Absprächer	Absprüche	4.806461334228516
Moschel	Moscheln	Moscheln	Moschel	Moschelien	Moschele	MoschelnT	3.556532144546509
Balttahe	Balttahen	Balttahen	BalttahRen	BalttahenB	BalttahenT	Balttahten	3.609365701675415
Alkos	Alkosse	Alkosse	Alkose	Alkos	Älkosse	Alkossen	3.5107691287994385
Klagsenmentasphotion	Klagsenmentasphotionen	Klagsenmentasphotionen	KlagsenmentaspAhotionen	KlagsenmentasphotionenÜ	Klagsenmentasphötionen	KlagsenmentasphotionenÖ	8.847976684570312
Schlauf	Schläufe	Schläufe	Schläufer	Schläufte	Schläufeü	SchläufeV	3.4483706951141357
Mändbeirt	Mändbeirte	Mändbeirte	Mändbeirten	Mändbeirter	MändbeirteG	MändbeirteA	4.322310924530029
Schwirzkall	Schwirzkalle	Schwirzkalle	Schwirzkallen	Schwirzkälle	Schwirzkaller	SchwirzkalleW	5.3548150062561035
Prom	Pröme	Pröme	Prome	Promen	Prömer	Prömen	3.6152641773223877
Blügen	Blügen	Blügen	BlügenBlüge	Blügene	Blügeche	Blügenr	3.096750020980835
Hirtungskortionsten	Hirtungskortionsten	Hirtungskortionsten	Hirtungskortionstene	HirtungskortionstenAe	Hirtungskortionstens	Hirtungskörtionsten	7.664325714111328
Mallissen	Mallissene	Mallissene	Mallissen	Mallissenen	Mallissenle	Mallissenxe	4.37027645111084
Matztersint	Matztersinten	Matztersinten	Matztersinte	MatztersintenÜ	Matztersintenß	MatztersintenÖ	4.945962905883789
Frutt	Frütte	Frütte	Frütten	Frutte	Frütter	Frütts	2.7765822410583496
Keltikoffin	Keltikoffinnen	Keltikoffinnen	Keltikoffine	KeltikoffinnenKen	Keltikofffinnen	KeltikoffinnenÖ	5.640958786010742
