src	greedy	beam_1	beam_2	beam_3	beam_4	beam_5	entropy
Schläuten	Schläuten	Schläuten	Schläutenven	SchläutenS	Schläutene	Schläutenve	4.130503177642822
Hauft	Haufte	Haufte	Häufte	Hauften	HauftenHäufte	Haufter	3.6275670528411865
Stinstion	Stinstionen	Stinstionen	StinstionenÖtion	StinstionenS	StinstionenT	StinstionenÜ	4.841310024261475
Anspeil	Anspeile	Anspeile	Anspeils	Anspeilen	Anspeiler	AnspeileQ	3.9173364639282227
Schlichker	Schlichker	Schlichker	Schlichkern	SchlichkerS	Schlichkeke	SchlichkerU	4.257043361663818
Strindungsgeifar	Strindungsgeifare	Strindungsgeifare	Strindungsgeifäre	Strindungsgeifar	Strindungsgeifire	Strindungsgeifaren	7.4446916580200195
Hrichenstamm	Hrichenstämme	Hrichenstämme	Hrichenstamme	Hrichenstäme	Hrichenstämmer	Hrichenstämmen	5.750314712524414
Gestriefen	Gestriefen	Gestriefen	Gestriefene	Gestriefenje	Gestriefenr	GestriefenG	4.945215225219727
Blosem	Bloseme	Bloseme	Blöseme	Blosems	Blösems	Blosemen	4.073244571685791
Prodotanikition	Prodotanikitionen	Prodotanikitionen	ProdotanikitionenT	ProdotanikitionenÜ	ProdotanikitionenG	Prorotanikitionen	7.107904434204102
Puld	Pulde	Pulde	Pulder	Pulden	Pülder	PulderPulde	3.1818926334381104
Elernasarant	Elernasaranten	Elernasaranten	Elernasarante	ElernasarantenEn	Elernasarantenß	ElernasaranteEn	5.779177188873291
Bluggelei	Bluggeleien	Bluggeleien	Bluggeleier	BluggeleienQgeleien	BluggeleieZn	BluggeleienB	5.252648830413818
Hälkan	Hälkane	Hälkane	Hälkanen	Hälkannen	Hälkäne	Hälkans	3.02702260017395
Spromatormer	Spromatormer	Spromatormer	Spromatormern	Spromatormere	SpromatormerS	SpromatormerU	5.091592788696289
Arkonersinger	Arkonersinger	Arkonersinger	Arkonersingerve	Arkonersingern	ArkonersingerA	ArkonersingerU	5.7679619789123535
Kreitenkander	Kreitenkander	Kreitenkander	Kreitenkandern	KreitenkanderKe	Kreitenkanderke	Kreitenkaniere	5.912052154541016
Särnerien	Särnerien	Särnerien	Särneriene	Särnerienen	Särneriennen	Särnerienäe	4.325490474700928
Eckbnurd	Eckbnurde	Eckbnurde	Eckbnürder	Eckbnurden	Eckbnurder	Eckbnurrde	3.9414479732513428
Puchereit	Puchereiten	Puchereiten	Puchereite	PuchereitenÜ	PuchereitenÖ	PuchereitenG	4.990453720092773
Mormwürmen	Mormwürmen	Mormwürmen	Mormwürmente	Mormwürmene	Mormwüärmen	Mormwürmenr	4.184326648712158
Serkinne	Serkinnen	Serkinnen	SerkinnenS	Serkàinnen	SerkinnenT	Serkinnenk	4.179260730743408
Kralbaten	Kralbaten	Kralbaten	Kralbatene	Kralbäten	Kralbatenve	Kralbatten	4.144132137298584
Mosse	Mossen	Mossen	Mossens	MossenM	Mossten	MossRen	3.0179049968719482
Akertre	Akertren	Akertren	Akertres	Akertrenven	Akertreen	AkertrenT	3.612809658050537
Kopfturm	Kopftürme	Kopftürme	Kopftürmer	Kopfturme	KopftürmeX	KopftürmeQ	3.8292653560638428
Geworg	Gewörge	Gewörge	Gewörger	GewörgeG	Gewörgen	Gewörgek	3.208319664001465
Körmer	Körmer	Körmer	Körmern	KörmerÄen	KörmerKö	Körmerr	2.9952239990234375
Bemeise	Bemeisen	Bemeisen	Bemeises	Bemeisten	BemeisenB	BKemeisen	3.689955711364746
Ertid	Ertide	Ertide	Ertiden	Ertider	Ertides	ErtideE	3.027601480484009
Abkrasser	Abkrasser	Abkrasser	Abkrassern	Abkrassere	Abkrassers	AbkrasserA	4.100772857666016
Hortelständlicht	Hortelständlichten	Hortelständlichten	Hortelständlichter	Hortelständlichte	HortelständlichtenÖlichter	HortelständlichteG	8.182428359985352
Pinorit	Pinorite	Pinorite	Pinoriten	Pinorites	PinoriteÖ	PinoriteP	3.7690207958221436
Hinserin	Hinserinnen	Hinserinnen	HinserinnenÜin	HinserinnenÖin	HTinserinnen	HinserinnenT	4.147506237030029
Humaltations	Humaltationsse	Humaltationsse	Humaltationse	Humaltations	Humaltationsnen	Humaltationten	6.2162652015686035
Beinen	Beinen	Beinen	Beinene	BeinenBe	Beinens	Beinäne	3.1480586528778076
Partropfe	Partropfen	Partropfen	PartropfRen	PartropfenM	PartropfenP	PartropfenÖ	4.381580352783203
Spichtel	Spichtel	Spichtel	Spichteln	Spichtelke	Spichtelr	SpichtelS	4.318904399871826
Ardere	Arderen	Arderen	Ardereen	Ärderen	Arderes	ArderenA	3.242854118347168
Apfermacker	Apfermacker	Apfermacker	Apfermäcker	Apfermackern	ApfermackerÄen	Apfermackeker	4.720755577087402
