src	greedy	beam_1	beam_2	beam_3	beam_4	beam_5	entropy
Schläuten	Schläuten	Schläuten	Schläutecn	Schläutenc	Schläutenz	SchläutenÖ	4.08074426651001
Hauft	Hauft	Hauft	HauftH	Hauft-	Hauftd	HauftQ	2.140502691268921
Stinstion	Stinstion	Stinstion	StinstionH	Stinstionr	Stinstionf	StinstionK	4.043432712554932
Anspeil	Anspeil	Anspeil	Anspeilf	AnspeilH	Anspeilj	Anspeil-	2.943610429763794
Schlichker	Schlichker	Schlichker	Schlichkert	Schlichkerc	Schlichkerè	SchlichkerQ	4.834012985229492
Strindungsgeifar	Strindungsgeifar	Strindungsgeifar	Strindungsgeifär	Strindungsgeifard	StrindungsgeifarQ	Strindungsgeifarè	6.553267478942871
Hrichenstamm	Hrichenstamm	Hrichenstamm	Hrichenstammf	Hrichenstammj	Hrichenstamm-	HrichenstammA	4.839090824127197
Gestriefen	Gestriefen	Gestriefen	Gestrèiefen	GKestriefen	Gestriefenc	Gestriefenj	4.612763404846191
Blosem	Blosem	Blosem	BlosBem	Blosmem	Blösem	Blosemj	2.587338924407959
Prodotanikition	Prodotanikition	Prodotanikition	Prodotanikitikon	Prodotanikitionr	Prodotanikitionf	ProdotanikitionH	6.440597057342529
Puld	Puld	Puld	PPuld	Pulrd	Pulde	Puldd	1.9271560907363892
Elernasarant	Elernasarant	Elernasarant	Elernasaranten	Elernasakrant	Elernasarantu	ElernasarantW	5.154449939727783
Bluggelei	Bluggelei	Bluggelei	BluggeleIi	Bluggeleif	BluggeleiH	Bluggeleic	4.072116374969482
Hälkan	Hälkan	Hälkan	Hälkanj	HälkanH	HälkanW	HälkanP	2.8807013034820557
Spromatormer	Spromatormer	Spromatormer	SpromatormerH	Spromatormerè	Spromatormeru	SpromatormerQ	4.830907344818115
Arkonersinger	Arkonersinger	Arkonersinger	Arkonersingerè	ArkonersingerH	Arkonersingeru	ArkonersingerQ	5.384932994842529
Kreitenkander	Kreitenkander	Kreitenkander	Kreitenkanderè	Kreitenkandert	Kreitenkanderu	Kreitenkanderc	5.504283428192139
Särnerien	Särnerien	Särnerien	SärnerienH	Särnerien-	SärnerienW	SärnerienÖ	3.699821710586548
Eckbnurd	Eckbnurd	Eckbnurd	Eckbnurrd	Eckbnurdf	Eckbnurdc	Eckbnurdd	3.5921125411987305
Puchereit	Puchereit	Puchereit	Puchereitr	PuchereitK	Puchereitf	PuchereitH	4.164311408996582
Mormwürmen	Mormwürmen	Mormwürmen	Mormwüärmen	Mormwürmenc	MormwürmenL	MormwürmenB	4.0668439865112305
Serkinne	Serkinne	Serkinne	Serkàinne	Serkinnße	Serkinnec	Serkinnen	3.407949924468994
Kralbaten	Kralbaten	Kralbaten	Kralbatten	Kralbatecn	KKralbaten	Kralbatenc	3.6799628734588623
Mosse	Mosse	Mosse	Mossen	Mossze	Mossße	Mossec	2.1859841346740723
Akertre	Akertre	Akertre	Akertren	Akertrec	Akertred	AkertreH	3.279207229614258
Kopfturm	Kopfturm	Kopfturm	Kopfturmf	Kopfturmd	KopfturmH	Kopfturmp	3.6794567108154297
Geworg	Geworg	Geworg	Geworgr	GeworgH	Geworgf	GeworgY	2.486745595932007
Körmer	Körmer	Körmer	Körmerè	Körmerz	KörmerH	KörmerQ	2.5134592056274414
Bemeise	Bemeise	Bemeise	BKemeise	Bemeisec	Bemeiseu	BemeiseH	3.0086710453033447
Ertid	Ertid	Ertid	Ertdid	ELrtid	Ertidu	ErtidE	2.444002151489258
Abkrasser	Abkrasser	Abkrasser	Abkrasserè	AbkrasserQ	AbkrasserA	AbkrasserH	3.953951835632324
Hortelständlicht	Hortelständlicht	Hortelständlicht	Hortelständlicqht	HortelständlicVht	Hortelständlichtf	Hortelständlichtr	6.729135036468506
