src	greedy	beam_1	beam_2	beam_3	beam_4	beam_5	entropy
verlehlen	verlehlt	verlehlt	verlehltKt	verlehltÖt	verlehltvt	verliehlt	3.5003249645233154
forcken	forckt	forckt	forcktKt	forcktet	forcktZt	forcktot	3.015087604522705
prondieren	prondiert	prondiert	prondiertvt	prondiertÖt	prondiertPt	pkrondiert	3.858924388885498
spurzen	spurzt	spurzt	spurztZt	spurztQt	spurztKt	spuärzt	2.9325015544891357
schrießen<UNK>ab	schrießeniabt	schrießeniabt	schrießensabt	schrießenhabt	schrießenäbt	schrießenabt	6.801523208618164
ebstürten	ebstürtet	ebstürtet	ebstürtetKt	ebstürtetvt	ebstürtetSt	ebstürtetYt	3.6121809482574463
krontaletieren	krontaletiert	krontaletiert	krontaletiertvt	krontaletiertKt	krontaletiertFt	krontaletiertNt	5.854220867156982
denallten	denalltet	denalltet	denalltetat	denalltetKt	denalltetvt	denalltetàt	3.5289735794067383
ergrättern	ergrättert	ergrättert	ergrättertvt	ergrättertÖt	ergrättertPt	ergrättertEt	4.270495414733887
erfranken	erfrankt	erfrankt	erfranktFt	erfranktKt	erfranktSt	Ferfrankt	3.2864081859588623
erwieden	erwiedet	erwiedet	erwiedetKt	erwiedetvt	erwiedetSt	erwiedet-t	3.754852294921875
freutigen	freutigt	freutigt	freutigtKt	freutigtÖt	freutigtvt	freutigtZt	3.8685555458068848
degatisieren	degatisiert	degatisiert	degatisiertvt	degatisiertKt	degatisiertZt	degatisiertNt	5.103216171264648
verfrüschen	verfrüscht	verfrüscht	verfrüschtKt	verfrüschtvt	verfrüsscht	verfrüscYht	4.2361674308776855
vermarnen	vermarnt	vermarnt	vermarntet	vermarntut	Fvermarnt	Ävermarnt	3.5819895267486572
entkopremen	entkopremt	entkopremt	entkopremtat	entkopremtKt	Fentkopremt	Kentkopremt	4.167354106903076
verfunnen	verfunnt	verfunnt	verfunntut	verfunntvt	verfunntnt	Fverfunnt	3.374741792678833
berässen	berässt	berässt	berässtvt	berässtKt	berässtZt	berässtAt	3.1491594314575195
drappen	drappt	drappt	drapptvt	drapptZt	drapptKt	drapptèt	2.4714231491088867
kreigen	kreigt	kreigt	kreigtvt	kreigtKt	Pkreigt	Hkreigt	2.8328423500061035
pulgen	pulgt	pulgt	pulgtKt	pulgtZt	pulgtvt	pulgtÖ	2.5699830055236816
frodionieren	frodioniert	frodioniert	frodioniertvt	frodioniertNt	frodioniertKt	frodioniertDt	3.9204976558685303
erfucken	erfuckt	erfuckt	erfucktet	erfucktKt	erfucktSt	erfucktZt	3.1494781970977783
speulen	speult	speult	speultvt	speultZt	speultSt	speultKt	2.614602565765381
