src	greedy	beam_1	beam_2	beam_3	beam_4	beam_5	entropy
verlehlen	verlehl	verlehl	verliehl	verlàehl	verlehlM	verlehln	3.324193239212036
forcken	forck	forck	forcke	forckF	forckM	forckn	2.4550397396087646
prondieren	prondier	prondier	pkrondier	prondierj	prondierM	prondierk	4.102668285369873
spurzen	spurz	spurz	spuarz	spurze	spurzn	spurzj	2.28413987159729
schrießen<UNK>ab	schrießeniab	schrießeniab	schrießensab	schrießenhab	schrießennab	schrießenäb	6.4541778564453125
ebstürten	ebstürte	ebstürte	ebstürten	ebstürtei	Bebstürte	Eebstürte	3.4492299556732178
krontaletieren	krontaletier	krontaletier	krontaletkier	krontalletier	krontaletierF	krontaletierR	4.905451774597168
denallten	denallte	denallte	denallten	denalltee	denalltei	denallteM	3.257960557937622
ergrättern	ergrättre	ergrättre	ergrättrexe	ergrättle	ergrättreDe	ergrättreP	4.158891677856445
erfranken	erfrank	erfrank	erfranke	Ferfrank	erfrankn	erfrankt	3.24424147605896
erwieden	erwiede	erwiede	erwieden	erwiedec	erwiedeM	erwiedAe	3.599574327468872
freutigen	freutig	freutig	freutide	freutigk	freutigM	freutigj	2.986264705657959
degatisieren	degatisier	degatisier	degatisierM	degatisierj	degatisierF	degatisiery	4.18037748336792
verfrüschen	verfrüsch	verfrüsch	verfrüschM	verfrüschR	verfrüschj	verfrüschk	3.785830497741699
vermarnen	vermarn	vermarn	vermarne	vßermarn	Ävermarn	vermarch	3.1247644424438477
entkopremen	entkoprem	entkoprem	entkopremM	entkopremj	entkopremk	entkopremR	3.9290597438812256
verfunnen	verfunn	verfunn	vßerfunn	Fverfunn	vVerfunn	verfunnt	2.859968662261963
berässen	beräss	beräss	biräss	berässt	berässM	berässi	2.764295816421509
drappen	drapp	drapp	drappne	dkrapp	drappj	drappA	2.5180938243865967
kreigen	kreig	kreig	Pkreig	Fkreig	kreige	kreign	2.344592809677124
pulgen	pulg	pulg	pulgn	pulgF	pulgM	pulgj	1.9924805164337158
frodionieren	frodionier	frodionier	fkrodionier	frodionierj	frodionierM	frodioniery	4.009459972381592
erfucken	erfuck	erfuck	erfuckne	erfucke	erfuckt	erfuckA	2.9536900520324707
speulen	speul	speul	speulF	speulj	speuln	speulM	2.3411812782287598
ergreigen	ergreig	ergreig	ergrieg	ergreign	ergreige	ergreigk	3.385434150695801
verschlöntigen	verschlöntig	verschlöntig	verschlöntigk	verschlöntigM	verschlöntigF	verschlöntigR	5.289275646209717
riffern	riffre	riffre	riffrexe	riffle	riffere	riffreP	2.644278049468994
spränten	spränte	spränte	spräntei	spränteM	spräntex	spränten	2.3945188522338867
verlenken	verlenk	verlenk	verlenke	verlkenk	verlenkn	verlenkt	3.182403326034546
gefingen	gefing	gefing	Egefing	gefingn	gefingj	gefingM	2.99835467338562
belenden	belende	belende	Fbelende	belenden	belendec	belendeM	3.1647777557373047
verwörten	verwörte	verwörte	verwörtex	verwörter	vßerwörte	Äverwörte	3.0918662548065186
staufieren	staufier	staufier	stauffier	staufFier	staufierM	staufierj	3.827601432800293
pritorieren	pritorier	pritorier	pkritorier	pritorierM	pritorierj	pritorierY	3.8225436210632324
gurrchen	gurrch	gurrch	gurrich	gurrchne	gurrcLe	gurrche	2.948824167251587
fringen<UNK>finger	fringengfingre	fringengfingre	fringenefingre	fringengingre	fringenifingre	fringenrfingre	8.825023651123047
flaustichen	flaustich	flaustich	flaustichj	flaustichk	flaustichM	flaustichR	3.9689865112304688
verschirmen	verschirm	verschirm	verschfirm	verschirmM	verschirmR	verschirmi	4.148133277893066
erstinkern	erstinkre	erstinkre	erstinkrexe	erstinkle	ersteinkre	erstinkere	3.5791730880737305
erspitzen	erspitz	erspitz	erspitze	erspitzn	erspitzi	erspitAz	3.3030240535736084
frösen	frös	frös	fbrös	fröst	frösM	frösj	1.7137327194213867
verlüttigen	verlüttig	verlüttig	verlüttide	verlüttigk	verlüttigM	verlüttigR	3.7389676570892334
extollaginieren	extollaginier	extollaginier	extollagkinier	Uextollaginier	extollaginierF	extollaginierj	5.127928733825684
steinieren	steinier	steinier	steeinier	steinierj	steinierM	steinierk	3.706777572631836
daueln	daule	daule	daulele	dauleQe	dauleO	dauleP	2.6609323024749756
bestingen	besting	besting	bestNing	bestingk	bestingM	bestingj	3.220933198928833
sarsselen	sarssel	sarssel	sarssil	sarssll	sarssle	sarssiel	4.166244983673096
verzwürfen	verzwürf	verzwürf	Äverzwürf	véerzwürf	vwerzwürf	verzwürft	3.571131944656372
serleln	serlle	serlle	serllexe	serllre	serlleO	serlleP	2.443657875061035
fluedigen	fluedig	fluedig	fluedigM	fluedige	fluedigj	fluedigk	3.086029291152954
erwangen	erwang	erwang	erwangn	werwang	Berwang	erwange	2.9795563220977783
verblüssen	verblüss	verblüss	Äverblüss	verblüsst	verblüssM	verblüssk	3.6387276649475098
expärten	expärte	expärte	Vexpärte	Äexpärte	expärten	expärtex	2.842447519302368
gestuchen	gestuch	gestuch	gestuchne	Egestuch	gestuchj	gestuchR	2.850252628326416
erwastern	erwastre	erwastre	erwästre	erwastrexe	erwastreP	erwastreQ	3.461226224899292
schiffeln	schiffle	schiffle	schifflexe	schiffre	schiffele	schiffleP	3.3053345680236816
breißen	breiß	breiß	briss	Fbreiß	breißt	breiße	2.234095811843872
stindern	stindre	stindre	stindrexe	stindreQe	stindle	stindare	2.857557773590088
raufteln	rauftle	rauftle	rauftele	rauftre	rauftble	Urauftle	3.0610039234161377
bewacken	bewack	bewack	bewackne	bewkack	bewacke	bewackt	2.745633363723755
stüßen	stüß	stüß	Gstüß	Mstüß	Zstüß	Pstüß	1.5171209573745728
verziegen	verzieg	verzieg	verziegM	verziegj	verziegk	verziegn	3.177997350692749
brurstern	brurstre	brurstre	brurstrexe	brurstare	brurstere	brurstreP	3.781482219696045
degeen	deg	deg	dege	degie	degne	degZ	1.8118853569030762
stetzen<UNK>ein	stetzengei	stetzengei	stetzeng	stetzengie	stetzenie	stetzensei	6.425989151000977
ersponieren	ersponier	ersponier	ersponvier	ersponierM	ersponierj	ersponierY	3.8947925567626953
exomplikieren	exomplikier	exomplikier	Bexomplikier	exomplikierj	exomplikierF	exomplikierM	4.665322303771973
bekröffen	bekröff	bekröff	bekröfft	Fbekröff	bekröffx	bekröffM	3.2530415058135986
vertrecken	vertreck	vertreck	vertrick	vertrecke	vertrWeck	vertreckn	3.5186445713043213
verkrecken	verkreck	verkreck	verkrecke	verkkreck	verkreckne	verkreckt	3.6299281120300293
bekilgen	bekilg	bekilg	bekilgM	bekilgj	bekilgk	bekilgx	2.706042528152466
besopben	besopb	besopb	besopbne	Fbesopb	besopbj	besopbe	2.6992709636688232
verklaten	verklate	verklate	veklate	verklaten	verklatte	verklateM	3.5113918781280518
kunsen	kuns	kuns	Pkuns	Gkuns	Fkuns	kunsM	2.0665674209594727
grutchen	grutch	grutch	grutchne	Egrutch	grutche	grutchM	3.0266270637512207
suchtigen	suchtig	suchtig	suchtigk	suchtigM	suchtigj	suchtigr	3.548621892929077
suttallisieren	suttallisier	suttallisier	suttallfisier	suttallisierF	suttallisierj	suttallisierR	5.1149444580078125
kreinern	kreinre	kreinre	kreinare	kreinere	Pkreinre	kreinreP	3.3487892150878906
degen<UNK>um	degengum	degengum	degenaum	degenäum	degeneum	degenmum	4.937232494354248
prienstollen	prienstoll	prienstoll	pkrienstoll	prienstollM	prienstollF	prienstollk	4.132668972015381
bustrunden	bustrunde	bustrunde	bustrundei	bustrundeM	bustrundec	bustrundeß	3.4339146614074707
protern	protre	protre	protreQe	protare	protreP	protrre	2.319239377975464
entschlaften	entschlafte	entschlafte	entschlaftei	entschlafteM	entschlaften	entschlafteß	4.481120586395264
klinsen	klins	klins	Pklins	Gklins	Eklins	klinsM	2.165487766265869
stlapen	stlap	stlap	stlape	Gstlap	Kstlap	Mstlap	1.9664959907531738
spürzen	spürz	spürz	spürze	spürzn	spürzj	spürzt	2.4648425579071045
darbotieren	darbotier	darbotier	darbotierM	darbotierj	darbotierR	darbotierk	3.720602512359619
spuschen	spusch	spusch	spuschne	spuscLe	spuschM	spuschj	2.828544855117798
bewünsten	bewünste	bewünste	bewünsten	Fbewünste	bewünstei	bewünsteM	3.5555145740509033
sagen<UNK>aus	sagengaus	sagengaus	sageneaus	sagenmaus	sagenaus	sagenvaus	5.391962051391602
versprechsen	versprechs	versprechs	versprichs	versprechst	versprechsM	versprechsn	4.616200923919678
ernungen	ernung	ernung	Fernung	Bernung	ernunge	ernungn	2.7522132396698
vermauen	vermau	vermau	Ävermau	vßermau	vermauj	vermaut	2.921893835067749
