src	greedy	beam_1	beam_2	beam_3	beam_4	beam_5	entropy
verlehlen	verlehlen	verlehlen	verlehlenven	verlehlenKn	verlehlenM	verlehlenI	4.0406012535095215
forcken	forcken	forcken	forckend	forckenI	forckenÖ	forckenf	3.4872374534606934
prondieren	prondieren	prondieren	prondierenEn	prondierendi	pkrondieren	prondierenI	4.43682861328125
spurzen	spurzen	spurzen	spurzenden	spurzenI	spurzten	spurzenÖ	3.278062105178833
schrießen<UNK>ab	schrießeniaben	schrießeniaben	schrießenhaben	schrießencaben	schrießennaben	schrießensaben	7.846198081970215
ebstürten	ebstürten	ebstürten	Kebstürten	ebstürtenI	Bebstürten	ebstürtenÖ	3.646927833557129
krontaletieren	krontaletieren	krontaletieren	Pkrontaletieren	Gkrontaletieren	krontaletierenI	krontaletierenß	5.989656448364258
denallten	denallten	denallten	denalltenden	denalltern	denalltenI	denalltten	4.25075101852417
ergrättern	ergrättern	ergrättern	ergrätteren	ergrätternon	ergrätternèn	ergrätternPn	4.2763447761535645
erfranken	erfranken	erfranken	erfrankenden	erfkranken	erfrankenI	erfrankenÖ	3.882413864135742
erwieden	erwieden	erwieden	erwiedern	erwiedenè	erwiedenm	erwiedenK	3.432495355606079
freutigen	freutigen	freutigen	freutigenden	freutigenI	freutigenK	freutigenx	4.323378562927246
degatisieren	degatisieren	degatisieren	degatisierenß	degatisierenv	degatisierenI	degatisierend	5.162045478820801
verfrüschen	verfrüschen	verfrüschen	verfrüsschen	verfrüscYhen	verfrüschenv	verfrüschenI	4.89408016204834
vermarnen	vermarnen	vermarnen	vermarnenLn	vermarnenvn	vermarnten	vermarnenI	3.7783780097961426
entkopremen	entkopremen	entkopremen	entkopremenUn	ntkoprememen	entkopremenI	entkopremenK	4.454059600830078
verfunnen	verfunnen	verfunnen	verfunnenKn	verfunnenvn	verfunnenÖ	verfunnern	4.023879528045654
berässen	berässen	berässen	berässenI	berässenb	berässenK	berässern	3.396174430847168
drappen	drappen	drappen	drappenden	drappenIn	dkrappen	drappenm	2.9802603721618652
kreigen	kreigen	kreigen	kreigenrn	Pkreigen	Gkreigen	Mkreigen	3.151965379714966
pulgen	pulgen	pulgen	pulgenOn	pulgenI	pulgenp	pulgenÖ	2.7143707275390625
frodionieren	frodionieren	frodionieren	frodionierenEn	fkrodionieren	frodionierenß	frodionierenI	5.044119834899902
erfucken	erfucken	erfucken	erfuckten	erfuckend	erfuckenÖ	erfuckenK	3.808905839920044
speulen	speulen	speulen	speulenden	speulenI	speulenÖ	speulenp	3.560621738433838
ergreigen	ergreigen	ergreigen	ergreigenden	errgreigen	ergreigenI	ergreigenÖ	4.167202472686768
verschlöntigen	verschlöntigen	verschlöntigen	verschlöntigenßen	verscvhlöntigen	verschlöntigenI	verschlöntigenv	6.015137672424316
riffern	riffern	riffern	riffernrn	riffernIn	rifferen	rfiffern	3.274447202682495
spränten	spränten	spränten	spräntenOn	spräntenmn	spräntenI	spräntenÖ	3.6450562477111816
verlenken	verlenken	verlenken	verlenkenden	verlenkenI	verlenkenK	verlenkenv	4.409875392913818
gefingen	gefingen	gefingen	gefingenden	gefingengen	gefingenOn	gefingenIn	3.7245800495147705
belenden	belenden	belenden	belendenden	belendenmn	belendenKn	belendern	3.752368211746216
verwörten	verwörten	verwörten	verwörtern	verwörtenI	verwörtenK	verwörtenv	4.0336689949035645
staufieren	staufieren	staufieren	staufierenden	stauffieren	staufQferen	staufierenI	4.501197814941406
pritorieren	pritorieren	pritorieren	pritorierenEn	pkritorieren	pritorierenß	pritorierenI	4.684584140777588
gurrchen	gurrchen	gurrchen	gurrchenIn	gurrchenOn	gurrechen	gurrchend	3.71049427986145
fringen<UNK>finger	fringenrfingern	fringenrfingern	fringenefingern	fringen-fingern	fringennifingern	fringengfingern	9.322722434997559
flaustichen	flaustichen	flaustichen	flausticPhen	flaustichend	flaustichenß	flaustichenf	5.1903839111328125
verschirmen	verschirmen	verschirmen	verschirmenv	verschirmenN	verschirmenI	verschirmenKven	5.416519641876221
erstinkern	erstinkern	erstinkern	erstinkernßen	erstinkeren	erstinkekern	erstinkernPn	4.285548210144043
erspitzen	erspitzen	erspitzen	erspitzenden	erspitzenKen	erspfitzen	erspàitzen	4.163286209106445
frösen	frösen	frösen	frösenI	frösten	frösenv	frösenO	2.8451318740844727
verlüttigen	verlüttigen	verlüttigen	verlüttiogen	verlüttigenv	verlüttigenI	verlüttigenß	4.296727657318115
extollaginieren	extollaginieren	extollaginieren	extollagkinieren	extollaginierenI	extollaginierenß	extollaginierenM	6.249127388000488
steinieren	steinieren	steinieren	steinierenden	steeinieren	steinierenI	steinieären	4.642818450927734
daueln	daueln	daueln	dauelndauen	dauelnIn	dauelnOn	dauelen	3.04817533493042
bestingen	bestingen	bestingen	bestingenden	bestingenKen	bestingenOn	bestingenI	4.1407012939453125
sarsselen	sarsselen	sarsselen	sarsselenI	sarsselenÖ	sarssGelen	sarsselenKn	4.087759971618652
verzwürfen	verzwürfen	verzwürfen	verzwürfenI	verzwürfenq	verzwürfenv	verzwürfern	4.527998447418213
serleln	serleln	serleln	serlelen	serlelnon	serlelnIn	serlelnDn	3.2188212871551514
fluedigen	fluedigen	fluedigen	fluedigenKn	fluedigenÖ	fluedigenf	fluedigenI	4.192020893096924
erwangen	erwangen	erwangen	erwangenden	erwangenLn	Berwangen	erwangenIn	3.791957139968872
verblüssen	verblüssen	verblüssen	verblüssenI	verblüssenv	verblüssern	verblüssend	4.186559677124023
expärten	expärten	expärten	expärtenOn	hxpärten	Bexpärten	expärtenI	3.830941677093506
gestuchen	gestuchen	gestuchen	gestuchenden	gestuchenLn	gestuchenOn	gestuchern	4.642098903656006
erwastern	erwastern	erwastern	erwasteren	erwasternon	Berwastern	erwasternP	4.444207191467285
schiffeln	schiffeln	schiffeln	schiffelnden	schiffelnDn	schiffelnIn	schiffelen	3.9442787170410156
breißen	breißen	breißen	breißenI	bkreißen	breißend	breißenÖ	3.257852554321289
stindern	stindern	stindern	stindernIn	stindernèn	stindernDn	stinderen	3.543422222137451
raufteln	raufteln	raufteln	rauftelnden	rauftelen	rauftelnIn	rauftèeln	3.30863618850708
bewacken	bewacken	bewacken	bewackten	bwewacken	bewackenK	bewackenI	3.7709884643554688
stüßen	stüßen	stüßen	stüßenI	stüßenÖ	stüßend	stüßenO	2.6724517345428467
verziegen	verziegen	verziegen	verziegenden	verziegenven	verziegenI	verziegecn	3.8822872638702393
brurstern	brurstern	brurstern	brursteren	brursternon	brursternèn	bkrurstern	3.8405489921569824
degeen	degeen	degeen	degeenden	degen	degeesn	degeenmn	3.068922758102417
stetzen<UNK>ein	stetzengein	stetzengein	stetzennien	stetzennein	stetzeniein	stetzensein	7.615936279296875
