src	greedy	beam_1	beam_2	beam_3	beam_4	beam_5	entropy
verlehlen	verlehlten	verlehlten	verlahlen	verlehltenQlen	verlehltenven	verliehlen	4.686941623687744
forcken	forckten	forckten	forcktenEn	forcktenS	forcktenI	forcktenÖ	3.8161840438842773
prondieren	prondierten	prondierten	pkrondierten	prondiertenß	prondiertenS	prondiertenv	4.88278341293335
spurzen	spurzten	spurzten	spurztenS	spuorzten	spurztenÖ	spurztenM	3.5657167434692383
schrießen<UNK>ab	schrießenieben	schrießenieben	schrießencabten	schrießensabten	schrießenbabten	schrießennabten	8.883598327636719
ebstürten	ebstürteten	ebstürteten	ebstürtetenQten	ebstürtteten	Kebstürteten	ebstürtetenS	4.516600608825684
krontaletieren	krontaletierten	krontaletierten	Pkrontaletierten	Gkrontaletierten	kkrontaletierten	krontaletiertenß	6.346144676208496
denallten	denallteten	denallteten	denalltetenQlden	denalltetenden	denalltteten	denalltetenß	4.836126327514648
ergrättern	ergrätterten	ergrätterten	ergrättertenGn	ergrättertenß	ergrättertenS	ergrättertenI	4.749109745025635
erfranken	erfrankten	erfrankten	erfranktenQran	erfranktenÖ	erfranktenS	erfranktenM	4.35407829284668
erwieden	erwaden	erwaden	erwanden	erwoden	erwagen	erwadenden	4.288881778717041
freutigen	freutigten	freutigten	freutigtenQuten	freutideten	freutigtenI	freutigtenÖ	4.251138687133789
degatisieren	degatisierten	degatisierten	degatisiertenß	degatisiertenS	degatisiertend	degatisiertenI	5.182374000549316
verfrüschen	verfrüschten	verfrüschten	verfrüsschten	verfrüschtenQn	verfrüscdeten	verfrüschtenv	5.0879387855529785
vermarnen	vermarnten	vermarnten	vermarntenQmarn	vermaarnten	vermarntenS	vermarntenv	4.366261005401611
entkopremen	entkopremten	entkopremten	entkapremten	entkoprmemten	entkopremtenß	entkopremtenK	5.541553974151611
verfunnen	verfunnten	verfunnten	verfunntenQun	verfunchten	verfunntenv	verfunntenS	4.416881561279297
berässen	berässten	berässten	berässtenQst	berässteQst	berässtenS	berässtenK	3.329223394393921
drappen	drappten	drappten	drapptenden	dkrappten	drapptenI	drapptenM	3.7695202827453613
kreigen	kreigten	kreigten	kriegen	Mkreigten	kreigtenQt	Pkreigten	3.6165812015533447
pulgen	pulgten	pulgten	pulLgten	pulgtenI	pulgtenÖ	pulgtenp	3.1012613773345947
frodionieren	frodionierten	frodionierten	fkrodionierten	frodioniertenß	frodioniertenS	frodioniertenI	5.898463249206543
erfucken	erfuckten	erfuckten	erfucktenS	erfucktenM	erfucktenÖ	erfucktenI	3.883591413497925
speulen	speulten	speulten	speultenS	speultenÖ	speultenI	speultenM	3.944985866546631
ergreigen	ergriegen	ergriegen	ergritten	ergritgen	ergreigten	ergrichen	4.606446743011475
verschlöntigen	verschlöntigten	verschlöntigten	verschlontigten	verschlöntingten	verschlöntigtenÜ	verschlöntigtenS	5.92047119140625
riffern	rifferten	rifferten	riffertenQen	riffertenEn	riffGerten	riffertenS	4.324246406555176
spränten	spränteten	spränteten	spräntetenMen	spräntetenQn	spräntetenÖn	sprächteten	3.9827544689178467
verlenken	verlenkten	verlenkten	verlenktenQn	verlankten	verlenktenv	verlenktenM	4.621241569519043
gefingen	gefangen	gefangen	gefängen	gefangenÖen	gefingten	gefangenSn	3.3940253257751465
belenden	belendeten	belendeten	belandeten	belendetenQen	belendetenEn	belundeten	4.463359355926514
verwörten	verwörteten	verwörteten	verworteten	verwörtetenQwörten	verwörtteten	verwörterten	4.537918567657471
staufieren	staufierten	staufierten	stauffierten	staufQferten	staufieorten	staufiertenß	4.38360071182251
pritorieren	pritorierten	pritorierten	pkritorierten	pritoriertenß	pritoriertenS	pritoriertenv	5.122650623321533
gurrchen	gurrchten	gurrchten	gurrchtenQchen	gurrchtenEn	gurrchtenQrchen	gurrechten	4.033867835998535
fringen<UNK>finger	fringenefingerten	fringenefingerten	fringenrfingerten	fringen-fingerten	fringengfingerten	fringenafingerten	10.212785720825195
flaustichen	flaustichten	flaustichten	flaustichtenQn	flaustichtenß	flaustichtenS	flaustichtenÜ	5.406296730041504
verschirmen	verschirmten	verschirmten	verschirmtenß	verschirmtenv	verschirmtenÜ	verschirmtenS	5.427125930786133
erstinkern	erstinkerten	erstinkerten	erstinkekerten	erstinkertenß	erstinkertenS	erstinkertenI	5.032375335693359
erspitzen	erspitzten	erspitzten	erspitztenQp	erspitztenS	erspitztenM	erspitztenÖ	3.9953839778900146
frösen	frösten	frösten	fröstenS	fröstenv	fröstenI	fröstenQ	2.5430238246917725
verlüttigen	verlüttigten	verlüttigten	verlüttiogten	verlüttigtenß	verlüttigtenv	verlüttigtenÜ	5.385153293609619
extollaginieren	extollaginierten	extollaginierten	extollagkinierten	extollaginiertenI	extollaginiertenS	extollaginiertenß	6.93107795715332
steinieren	steinierten	steinierten	steiniertenß	steiniertenS	steiniertenÖ	steiniertenv	5.10611629486084
daueln	dauelten	dauelten	daueltendauen	dauRelten	daueltenS	daugelten	3.525174140930176
bestingen	bestangen	bestangen	bestachten	bestangenden	bestingten	bestängen	3.890427827835083
sarsselen	sarsselten	sarsselten	sarssGelten	sarsseltenS	sarsseltenM	sarsseltenÖ	4.237475872039795
verzwürfen	verzwürften	verzwürften	verzwürftenQwürften	verzwürftenUven	verzwürftenQwürft	verzwürftenv	4.924759864807129
serleln	serlelten	serlelten	serltelten	serleltenS	serleltenß	serleltenI	4.200394153594971
fluedigen	fluedigten	fluedigten	fluedigtenQen	fluediügten	fluedigtenI	fluedigtenÖ	4.734971046447754
erwangen	erwangten	erwangten	erwangtenÖn	erwangtenQn	erwangtenI	erwangtenK	4.082711219787598
verblüssen	verblüssten	verblüssten	verblüsstenQn	verblüsstenon	verblüsstenv	verblüsstenS	4.690781593322754
expärten	expärteten	expärteten	expärtetenQärten	hxpärteten	expärtetenMen	Vexpärteten	3.815732002258301
gestuchen	gestuchten	gestuchten	gestuchtenQt	gestuchtenOn	gestuchtenS	gestuchtenM	4.301110744476318
erwastern	erwasterten	erwasterten	erwastertenEn	erwastertenQs	erwastearten	erwastertenß	4.931634902954102
schiffeln	schiffelten	schiffelten	schiffeltenÖ	schiffeltenH	schiffeltenS	schiffeltenß	4.701196670532227
breißen	brissen	brissen	brissenQen	breißten	brissenden	brissenS	2.681729793548584
stindern	stinderten	stinderten	stindertenQn	stindertenS	stindertenÖ	stindertenß	4.260558128356934
raufteln	rauftelten	rauftelten	rauftGelten	raufteltenÖ	raufteltenß	raufteltenM	4.2758378982543945
bewacken	bewackten	bewackten	bewacktenÖcken	bwewackten	bewacktenS	bewacktenK	4.309887409210205
