src	greedy	beam_1	beam_2	beam_3	beam_4	beam_5	entropy
verlehlen	verlehltest	verlehltest	verlahlst	verlehltestQest	verlehltestCt	verlehltestQlst	4.876303195953369
forcken	forcktest	forcktest	forcktestQckst	forcktestft	forcktestLst	forcktestd	4.253773212432861
prondieren	prondiertest	prondiertest	prondiertestRt	prondiertestQn	pkrondiertest	prondieärtest	5.161504745483398
spurzen	spurztest	spurztest	spuorztest	spuarztest	spukrztest	spurztestd	3.590280055999756
schrießen<UNK>ab	schrießeniebst	schrießeniebst	schrießensabtest	schrießencabtest	schrießenbabtest	schrießennabtest	8.695779800415039
ebstürten	ebstürtetest	ebstürtetest	ebstürtetestat	ebstürtetestort	ebstürtetestQt	ebstürtetestCt	4.855483531951904
krontaletieren	krontaletiertest	krontaletiertest	krontaletiertestQn	Pkrontaletiertest	Gkrontaletiertest	Ekrontaletiertest	6.627148628234863
denallten	denalltetest	denalltetest	denalltetestost	denalltetestQld	denalltetestat	denalltetestdest	4.581167697906494
ergrättern	ergrättertest	ergrättertest	ergrättertestRt	ergrättertestJt	ergrättertestQt	ergrättertestd	5.275120735168457
erfranken	erfranktest	erfranktest	erfranktestQrat	erfranktestost	erfranktestCt	erfranktestFt	5.129316329956055
erwieden	erwadest	erwadest	erwandest	erwodest	erwiedetest	erwadestost	3.9773902893066406
freutigen	freutigtest	freutigtest	freutigtestost	freutigtestFt	freutigtestft	freutigtestQt	4.915396690368652
degatisieren	degatisiertest	degatisiertest	degatisiertestSt	degatisiertestJt	degatisiertestRt	degatisiertestd	5.995133876800537
verfrüschen	verfrüschtest	verfrüschtest	verfrüschtestost	verfrüsschtest	verfrüschtestQt	verfrüscdetest	5.402871131896973
vermarnen	vermarntest	vermarntest	vermaarntest	vermarntestFt	vermarchtest	vermarntestQ	4.600810527801514
entkopremen	entkopremtest	entkopremtest	entkopremtestQt	entkopremtestJt	entkopremtestCt	entkapremst	5.720828533172607
verfunnen	verfunntest	verfunntest	verfunntestQunt	verfunntestCt	verfunntestFt	verfunntestQunst	4.7509541511535645
berässen	berässtest	berässtest	berässtestQst	berässtestd	berässtestb	berässtestF	4.160855770111084
drappen	drapptest	drapptest	drapptestQpst	drapptestLst	drapptestCt	dkrapptest	3.473949909210205
kreigen	kreigtest	kreigtest	kriegst	Mkreigtest	Pkreigtest	kreigtestLt	4.339650630950928
pulgen	pulgtest	pulgtest	pulgtestIst	pulgtestQt	pulgtestPt	pulLgtest	3.4036495685577393
frodionieren	frodioniertest	frodioniertest	frodioniertestSt	frodioniertestJt	fkrodioniertest	frodioniertestd	5.4790167808532715
erfucken	erfucktest	erfucktest	erfucktestQuckst	erfucktestLst	erfucktestFt	ekrfucktest	4.283647060394287
speulen	speultest	speultest	speultestQulst	speultestLst	speultestd	speultestà	3.817105293273926
