src	greedy	beam_1	beam_2	beam_3	beam_4	beam_5	entropy
verlehlen	verlehlt	verlehlt	verliehlt	verlimlt	verlitlt	verlehltEt	4.4546332359313965
forcken	forckt	forckt	forcktzt	forcktFt	forcktZt	forcktEt	2.986175298690796
prondieren	prondiert	prondiert	prondiertÖt	prondiertvt	pkrondiert	prondieDrt	3.8002448081970215
spurzen	spurzt	spurzt	spurztQt	spurztZt	spuärzt	spukrzt	2.653419017791748
schrießen<UNK>ab	schrießeniabt	schrießeniabt	schrießensabt	schrießencabt	schrießenhabt	schrießennabt	7.4119696617126465
ebstürten	ebstürtet	ebstürtet	ebstürtetEt	ebstürtetKt	ebstürttet	Kebstürtet	3.9816267490386963
krontaletieren	krontaletiert	krontaletiert	krontaletiertFt	krontaletiertvt	krontaletiertKt	Gkrontaletiert	5.4717230796813965
denallten	denalltet	denalltet	denalltetEt	denalltetFt	denalltetYt	denallttet	3.3646116256713867
ergrättern	ergrättert	ergrättert	ergrättertEt	ergrättertvt	ergrättertÖt	ergrättertKt	4.639636993408203
erfranken	erfrankt	erfrankt	erfranktFt	erfranktzt	erfranktKt	erfrankst	3.4134678840637207
erwieden	erwiedet	erwiedet	erwiedetKt	erwiedetEt	erwiedetFt	erwiedet-t	3.892639398574829
freutigen	freutigt	freutigt	freutigtFt	freutigtKt	freutidet	freutfigt	3.4108424186706543
degatisieren	degatisiert	degatisiert	degatisiertFt	degatisiertvt	degatisiertEt	degatisiertd	5.262406826019287
verfrüschen	verfrüscht	verfrüscht	verfrüschtKt	verfrüschtZt	verfrüschtFt	verfrüsscht	4.5074381828308105
vermarnen	vermarnt	vermarnt	vermarntöt	vermarntEt	vermarntFt	vermärnt	3.882197141647339
entkopremen	entkopremt	entkopremt	entkopremtKt	entkopremtßt	entkopremtFt	entkopremtat	3.857508420944214
verfunnen	verfunnt	verfunnt	verfunntFt	verfunntnt	verfunntzt	verfunntKt	3.522827386856079
berässen	berässt	berässt	berässtQst	berässtöst	berässtFt	berässtd	3.05995774269104
drappen	drappt	drappt	drapptzt	drapptvt	dkrappt	drappst	2.7504522800445557
kreigen	kreigt	kreigt	kreigtFt	kreigtzt	kreigtEt	Gkreigt	2.9370405673980713
pulgen	pulgt	pulgt	pulgtZt	pulgtKt	pulgtFt	pulgtÖt	2.507741928100586
frodionieren	frodioniert	frodioniert	frodioniertFt	frodioniertvt	frodioniertEt	fkrodioniert	4.10443639755249
erfucken	erfuckt	erfuckt	erfucktzt	erfucktKt	erfucktEt	erfucktet	3.143815517425537
speulen	speult	speult	speultzt	speultKt	speultEt	speulst	2.534931182861328
ergreigen	ergreigt	ergreigt	ergreigtFt	ergreigtKt	ergreigtZt	ergreigtEt	3.594292163848877
verschlöntigen	verschlöntigt	verschlöntigt	verschlöntigtFt	verschlöntigtvt	verschlöntigtßt	verschlöntigtKt	5.666067600250244
riffern	riffert	riffert	riffertEt	riffertÖt	riffertvt	riffertIt	2.8077220916748047
spränten	spräntet	spräntet	spräntetEt	spräntetÖt	spräntetàt	spräntetd	3.4887497425079346
verlenken	verlenkt	verlenkt	verlenktFt	verlenktZt	verlenktmt	verlenktKt	3.5754849910736084
gefingen	gefingt	gefingt	gefingtFt	gefingtZt	gefingtKt	Egefingt	3.3898351192474365
belenden	belendet	belendet	belendetKt	belendetEt	belendetFt	belendetd	3.5412538051605225
verwörten	verwörtet	verwörtet	verwörtetKt	verwörtetEt	verwörtetYt	verwörtert	3.7306928634643555
staufieren	staufiert	staufiert	staufiertÖt	stauffiert	staufQfert	staufieDrt	3.711555242538452
pritorieren	pritoriert	pritoriert	pritoriertÖt	pritoriertvt	pritoriertEt	pkritoriert	4.160153388977051
gurrchen	gurrcht	gurrcht	gurricht	gurrchtEt	gurrchtZt	gurrecht	3.182685375213623
fringen<UNK>finger	fringenefingert	fringenefingert	fringen-fingert	fringenrfingert	fringengfingert	fringennifingert	8.663488388061523
flaustichen	flausticht	flausticht	flaustichtKt	flaustichtEt	flaustichtFt	flaustichtd	4.548914909362793
verschirmen	verschirmt	verschirmt	verschirmtßt	verschirmtEt	verschirmtFt	verschirmtKt	4.295658588409424
erstinkern	erstinkert	erstinkert	erstinkertEt	erstinkertÖt	erstinkertKt	erstinkertvt	4.364755153656006
erspitzen	erspitzt	erspitzt	erspitztKt	erspitztZt	erspitztEt	erspitztQp	3.57535457611084
frösen	fröst	fröst	fröstQt	fröstFt	fröstZt	fröstKt	2.0107457637786865
verlüttigen	verlüttigt	verlüttigt	verlüttigtFt	verlüttigtKt	verlüttigtßt	verlüttiogt	4.223633766174316
extollaginieren	extollaginiert	extollaginiert	extollaginiertFt	extollaginiertKt	extollaginiertRt	extollagkiniert	5.41854190826416
steinieren	steiniert	steiniert	steiniertÖt	steiniertEt	steinieDrt	steiniertvt	3.832894802093506
daueln	dauelt	dauelt	daueltEt	daueltzt	daulelt	dauRelt	2.7804858684539795
bestingen	bestingt	bestingt	bestingtFt	bestingtKt	bestingtZt	besteingt	3.2660939693450928
sarsselen	sarsselt	sarsselt	sarsseltEt	sarsseltzt	sarsseltKt	sarsseltd	3.9213685989379883
verzwürfen	verzwürft	verzwürft	verzwürftöt	verzwürftKt	verzwürftZt	verzwürftd	3.4863815307617188
serleln	serlelt	serlelt	serleltEt	serleltKt	serleltzt	serleltÖt	3.425420045852661
fluedigen	fluedigt	fluedigt	fluedigtFt	fluedigtKt	fluedßigt	fluediügt	3.7279248237609863
erwangen	erwangt	erwangt	erwängt	erwangtFt	erwangtzt	erwangtKt	3.8787477016448975
verblüssen	verblüsst	verblüsst	verblüsstöt	verblüsstFt	verblüsstKt	verblüsstd	3.559586763381958
expärten	expärtet	expärtet	expärtetàt	expärtetEt	expärtqet	hxpärtet	3.2182457447052
gestuchen	gestucht	gestucht	gestücht	gestuchtFt	gestuchtEt	Egestucht	3.880688190460205
erwastern	erwastert	erwastert	erwastertKt	erwastertEt	erwastertvt	erwastertzt	3.818486452102661
schiffeln	schiffelt	schiffelt	schiffeltKt	schiffeltEt	schiffeltÖt	schiffelEt	3.920433759689331
breißen	breißt	breißt	breißtQt	breißtZt	breißtKt	breißtFt	2.6625583171844482
stindern	stindert	stindert	stindertEt	stindertÖt	stindertvt	stindeIrt	3.551790475845337
raufteln	rauftelt	rauftelt	raufteltEt	raufteltKt	rauftGelt	Erauftelt	3.8296360969543457
bewacken	bewackt	bewackt	bewacktKt	bewacktzt	bewacktEt	bwewackt	3.208968162536621
stüßen	stüßt	stüßt	stüßtößt	stüßtZt	stüßtKt	sttüßt	2.4035885334014893
verziegen	verziegt	verziegt	verziegtKt	verziegtFt	verziegtZt	verziegtd	3.725926160812378
brurstern	brurstert	brurstert	brurstertEt	brurstertKt	brurstertvt	bkrurstert	4.188477993011475
degeen	degt	degt	deget	degtZt	degtFt	degtd	2.3810653686523438
stetzen<UNK>ein	stetzengeit	stetzengeit	stetzenniet	stetzenseit	stetzenieit	stetzenzeit	6.979926109313965
ersponieren	ersponiert	ersponiert	ersponiertÖt	ersponiertvt	ersponiertFt	ersponiertd	4.289401531219482
exomplikieren	exomplikiert	exomplikiert	exomplikiertFt	exomplikiertvt	exomplikiertEt	exomplikiertDt	5.05748987197876
bekröffen	bekröfft	bekröfft	bekröfftöt	bekröfftbt	bkekröfft	bwekröfft	3.0134241580963135
vertrecken	vertreckt	vertreckt	vertrickt	vertrecktKt	vertrecktFt	vertrecktEt	4.007928371429443
verkrecken	verkreckt	verkreckt	verkrecktKt	verkrecktFt	verkrecktEt	verkrecktßt	4.382717609405518
