src	greedy	beam_1	beam_2	beam_3	beam_4	beam_5	entropy
verlehlen	verlehlen	verlehlen	verlehlenMen	verlehlenven	verlehlenÖen	verlehlten	4.044961929321289
forcken	forcken	forcken	forckenMorcken	forcken-Torcken	forckenIn	forckten	3.636482000350952
prondieren	prondieren	prondieren	prondierenUn	pkrondieren	prondierenO	prondierenÖ	4.456450939178467
spurzen	spurzen	spurzen	spurzenIn	spurzen-n	spurzten	spurzenMen	3.228205680847168
schrießen<UNK>ab	schrießeniab	schrießeniab	schrießenäben	schrießenkab	schrießenhab	schrießenäb	7.077111721038818
ebstürten	ebstürten	ebstürten	ebstürtenQben	Bebstürten	ebstürtenM	ebstürtenQt	4.030559062957764
krontaletieren	krontaletieren	krontaletieren	krontaletierenMrn	krontaletierenMrieren	krontaletierenß	krontaletierenk	6.12390661239624
denallten	denallten	denallten	denalltenden	denalltenMen	denalltenÖn	denalltenk	4.030545711517334
ergrättern	ergrättern	ergrättern	ergrätternMen	ergrätteren	ergrätternon	ergrätternP	4.0869832038879395
erfranken	erfranken	erfranken	erfrankenMen	erfrankten	erfranken-en	erfrankenÖn	3.8445143699645996
erwieden	erwieden	erwieden	erwieden-en	erwiedenèn	erwiedenén	ekrwieden	3.542322874069214
freutigen	freutigen	freutigen	freutigenOn	fkreutigen	freutigten	freutigenx	4.29837703704834
degatisieren	degatisieren	degatisieren	degatisierenMisieren	degatisierenUen	degatisierenden	degatisierenMisien	5.290441513061523
verfrüschen	verfrüschen	verfrüschen	verfrüschenMen	verfrüschen-	verfrüschenv	verfrüschenO	4.724233627319336
vermarnen	vermarnen	vermarnen	vermarnenven	vermarnenMen	vermarnenÖen	vermarnten	3.8510544300079346
entkopremen	entkopremen	entkopremen	entkopremenMen	entkopremenUn	entkopremen-	Kntkopremen	4.799539089202881
verfunnen	verfunnen	verfunnen	verfunnenven	verfunnenMen	verfunnenÖun	verfunnten	4.1855268478393555
berässen	berässen	berässen	berässenén	berässten	berässenè	berässenIen	3.515749216079712
drappen	drappen	drappen	drappenMrappen	drappendrn	drappenèn	drappenMrappenMrapen	2.828915596008301
kreigen	kreigen	kreigen	kreigen-krei	kreigenMrei	kreigenOn	kreigen-kreien	3.2883670330047607
pulgen	pulgen	pulgen	pulgenMpulgen	pulgenMpulgenMulgen	pulgenOn	pulgecn	2.7335426807403564
frodionieren	frodionieren	frodionieren	frodionierenon	fkrodionieren	frodionierenf	frodionierenx	5.078490734100342
erfucken	erfucken	erfucken	erfuckenMen	erfuckenIn	erfucken-en	erfuckten	3.7757716178894043
speulen	speulen	speulen	speulenMpeulen	speulenIn	speulten	speulenMispen	3.398524045944214
ergreigen	ergreigen	ergreigen	ergreigenMen	ergreigenven	ergreigenÖen	errgreigen	4.236448287963867
verschlöntigen	verschlöntigen	verschlöntigen	verschlöntigenMen	verschlöntigenOn	verschlöntigten	verschlöntigenx	6.24466609954834
riffern	riffern	riffern	riffernPirifen	riffernTrifen	riffern-rifen	riffernTirifen	3.3163962364196777
spränten	spränten	spränten	spräntenén	spränten-s	spräntenMprän	spräntenÖ	3.337160348892212
verlenken	verlenken	verlenken	verlenkenMen	verlenkenÖen	verlenkenven	verlenkten	4.317183017730713
gefingen	gefingen	gefingen	gefingenMen	gefingenven	gefingen-gen	gefingenOn	3.743699073791504
belenden	belenden	belenden	belendenèn	belendenÖn	belendenén	belendenOn	3.8088650703430176
verwörten	verwörten	verwörten	verwörtern	verwörtenén	verwörtenv	verwörtenM	4.062014579772949
staufieren	staufieren	staufieren	staufierenOn	staufierenMa	stauffieren	staufdieren	4.219287872314453
pritorieren	pritorieren	pritorieren	pritorierenMrieren	pkritorieren	pritorierenH	pritorieren-	5.092353343963623
gurrchen	gurrchen	gurrchen	gurrchenMurchen	gurrchenOn	gurrchenÖn	gurrchen-Lurchen	4.146783351898193
fringen<UNK>finger	fringenefinger	fringenefinger	fringenifinger	fringenginger	fringenefingern	fringenrfinger	6.896775722503662
flaustichen	flaustichen	flaustichen	flaustichenMla	flaustichen-f	flaustichenH	flausticken	5.082973957061768
verschirmen	verschirmen	verschirmen	verschirmenMhirmen	verscChirmen	verschirmenOn	verschirmen-	4.550467491149902
erstinkern	erstinkern	erstinkern	erstinkeren	erstinkernMen	erstinkernon	erstinkernRen	4.596553802490234
erspitzen	erspitzen	erspitzen	erspitzenQpitzen	erspitzenMen	erspitzten	ekrspitzen	4.118778228759766
frösen	frösen	frösen	frösenfrös	frösen-frösen	frösen-Trösen	frösenIn	2.8477768898010254
verlüttigen	verlüttigen	verlüttigen	verlüttigenMen	verlüttigenven	verlüttigenx	Kerlüttigen	4.980973243713379
extollaginieren	extollaginieren	extollaginieren	extollaginierenMien	extollaginierten	extollaginierenOn	extollaginieren-Tieren	5.617866039276123
steinieren	steinieren	steinieren	steinierenMen	steinierenÖn	steinieren-	Kteinieren	4.620553493499756
daueln	daueln	daueln	daueln-daueln	dauelnTauen	dauelndaudauen	daueln-dauelndaueln	3.0764272212982178
bestingen	bestingen	bestingen	bestingenMen	bestingenven	bestingenÖien	bestingenOn	4.4868879318237305
sarsselen	sarsselen	sarsselen	sarsselenQrselen	sarsselenQrsen	sarsselenMa	sarsselenÖs	4.097330093383789
verzwürfen	verzwürfen	verzwürfen	verzwürfenMen	verzwürften	verzwürfern	verzwürfenÖ	4.543138027191162
serleln	serleln	serleln	serlelnTerlen	serlelnMen	serlelen	serleln-s	3.055447816848755
fluedigen	fluedigen	fluedigen	fluedigenOn	fluedigen-f	fluedcigen	fluedigken	4.299198627471924
erwangen	erwangen	erwangen	erwangenMen	erwangen-en	erwangenOn	erwangenÖ	3.599447727203369
verblüssen	verblüssen	verblüssen	verblüssenMen	verblüssenven	verblüssten	verblüssern	4.193002223968506
expärten	expärten	expärten	expärtenMen	expärtenéen	Bexpärten	expärtenÖ	3.5809881687164307
gestuchen	gestuchen	gestuchen	gestuchenMen	gestuchenven	gestuchenOn	gestuchenÖun	4.065492630004883
erwastern	erwastern	erwastern	erwasteren	erwasternMen	erwasternon	ekrwastern	3.9490578174591064
schiffeln	schiffeln	schiffeln	schiffelen	schiffelnMchien	schiffelnMchifen	schiffelnMchin	3.841601848602295
breißen	breißen	breißen	breißenèn	bkreißen	breißten	breBißen	3.1085329055786133
stindern	stindern	stindern	stindernMtin	stinderen	stindernèn	stindernÖn	3.8811490535736084
raufteln	raufteln	raufteln	rauftelnTauften	rauftelnPauften	rauftelen	rauftelnPrauft	3.483137369155884
bewacken	bewacken	bewacken	bewackenén	bewackten	bwewacken	bewackenOn	3.780792236328125
stüßen	stüßen	stüßen	stüßenMistüßen	stüßenMstüßen	stüßenMtüßen	stüßenIn	2.7699155807495117
verziegen	verziegen	verziegen	verziegenMen	verziegenven	verziegenÖi	verziegecn	3.8099400997161865
brurstern	brurstern	brurstern	brursteren	brursternon	bkrurstern	brurstpern	3.9209697246551514
degeen	degeen	degeen	degeenden	degeenMen	degeen-den	degeenOn	2.7118706703186035
stetzen<UNK>ein	stetzeniein	stetzeniein	stetzentein	stetzengein	stetzenien	stetzenkein	5.705559730529785
ersponieren	ersponieren	ersponieren	ersponierenMen	ersponierenUen	Krsponieren	Arsponieren	4.687032222747803
exomplikieren	exomplikieren	exomplikieren	exomplikierenMlieren	exomplikierenxieren	exomplikierenUn	exomplikieren-	5.111372470855713
bekröffen	bekröffen	bekröffen	bekröfften	bkekröffen	beÜkröffen	bekröffenven	3.7953264713287354
vertrecken	vertrecken	vertrecken	vertreckenMen	vertreckenQen	vertreckenven	vertreckten	4.588005542755127
verkrecken	verkrecken	verkrecken	verkreckenMen	verkreckten	verkreckenven	verkreckenI	4.677438259124756
bekilgen	bekilgen	bekilgen	bekilgenIn	bkekilgen	bekilgten	bekilgenOn	3.883448839187622
besopben	besopben	besopben	besopbenpen	besopbendb	besopbenÖ	besopbenpin	3.7634658813476562
verklaten	verklaten	verklaten	verklatten	verklatenven	verklatern	verklatenÖ	3.55808424949646
kunsen	kunsen	kunsen	kunsenQen	kunsenMun	kunsen-kun	kunsenken	2.745943784713745
grutchen	grutchen	grutchen	grutchenMrutchen	grutchenOn	grutchenÖn	grutchenMrutchenMchen	4.178432464599609
suchtigen	suchtigen	suchtigen	suchtigenMun	suchtigenOn	suchtigenÖn	suchtigen-s	4.563381671905518
suttallisieren	suttallisieren	suttallisieren	suttallisierenMutalisututalin	suttallisierenMutalisututtalin	suttallisierenMutien	suttallisierenMutalisututen	6.067314624786377
kreinern	kreinern	kreinern	kreineren	kreinernTrein	kreinernPren	kreinernèn	3.904648780822754
degen<UNK>um	degenrum	degenrum	degengum	degenaum	degenrumen	degenlum	6.5310893058776855
prienstollen	prienstollen	prienstollen	prienstollenMrielen	pkrienstollen	prienstollenMrien	prienstollenI	5.255964279174805
bustrunden	bustrunden	bustrunden	bustrundenven	bustrundenén	bustrundenÖn	bustrundenOn	4.381549835205078
protern	protern	protern	proternTroten	proteren	proternèn	pkrotern	3.0475616455078125
entschlaften	entschlaften	entschlaften	entschlaftenMhlaften	entschlaftenMhlaftenOentschlen	entscChlaften	entschlaftenOn	5.201812267303467
klinsen	klinsen	klinsen	klinsen-klin	klinsenèn	klinsenk	klinsenÖ	3.619884490966797
stlapen	stlapen	stlapen	stlapen-stlapen	stlapenMistla	stlapenèn	stlappen	3.595393180847168
spürzen	spürzen	spürzen	spürzenOpürzen	spürzenMpürzen	spürzenMispürn	spürzenOpürzenMürzen	3.0976452827453613
darbotieren	darbotieren	darbotieren	darbotierenMa	darbotierenOn	darbotieren-	Iarbotieren	5.0902814865112305
spuschen	spuschen	spuschen	spuschenOpus	spuschenMpus	spuschenÖn	spuscvhen	3.546839714050293
bewünsten	bewünsten	bewünsten	bewünstenQen	bewünstenÖün	bewünstenOn	bewünstern	3.780623197555542
sagen<UNK>aus	sagenraus	sagenraus	sagenrausen	sagengausen	sagengaus	sagenhausen	6.39415168762207
versprechsen	versprechsen	versprechsen	versprechsenMrechsen	versprechsenQen	versprechsten	versprechsenv	5.414782524108887
ernungen	ernungen	ernungen	ernungenMen	ernungen-en	ernungenIn	ernungenOn	3.268732786178589
vermauen	vermauen	vermauen	vermauenMen	vermauenven	vermauenIn	vermaueXn	3.848921060562134
bohrleife	bohrleifen	bohrleifen	bohrleifenQleifen	bohrleifenv	bohrleifenO	bohrleifenM	4.422084331512451
besitigen	besitigen	besitigen	besitigenven	besitigenOn	besitigenÖen	besitiigen	4.402744293212891
brächsseln<UNK>her	brächsselnher	brächsselnher	brächsselnnher	brächsselneher	brächsselnäher	brächsselniher	8.691926002502441
detetten	detetten	detetten	detettenden	detettenMen	dettetten	detettenÖ	3.506138801574707
vertrachen	vertrachen	vertrachen	vertrachenMen	vertrachenven	vertrachern	vertrachen-	4.52399206161499
kabilisieren	kabilisieren	kabilisieren	kabilisierenMa	kabilisierenk	kabilisieren-	kabilisierenUisieren	5.3576130867004395
remonieren	remonieren	remonieren	remonierenMren	remonierenUn	remonieren-	remonierenO	4.419282913208008
rintern	rintern	rintern	rinternTrinten	rinternMirin	rinternPirin	rinternTirin	3.493454933166504
klützeln	klützeln	klützeln	klützelen	klützelnPklüt	klützelnPklützen	klützelnTlützen	3.5970470905303955
verstern	verstern	verstern	versteren	versternTen	versternMen	versternon	4.123672962188721
erfiffern	erfiffern	erfiffern	erfifferen	erfiffernMen	erfiffernon	erffiffern	4.052369117736816
deplizieren	deplizieren	deplizieren	deplizierenMen	deplizierenUn	deplizierenH	Ieplizieren	4.947407245635986
kosteln	kosteln	kosteln	kostelnTosten	kostelnPosten	kostelen	kostelnèn	3.1079370975494385
konnerinieren	konnerinieren	konnerinieren	konnerinierenMon	konnerinierenUon	konnerinnieren	konnerinierenx	5.449147701263428
