src	greedy	beam_1	beam_2	beam_3	beam_4	beam_5	entropy
verlehlen	verlehlen	verlehlen	verlehlenven	verlehlenKn	verlehlenI	verlehlenM	4.038881778717041
forcken	forcken	forcken	forckenI	forckend	forckenÖ	forckenL	3.5335700511932373
prondieren	prondieren	prondieren	prondierendi	pkrondieren	prondierenI	prondierenß	4.388859748840332
spurzen	spurzen	spurzen	spurzenI	spurzenÖ	spurzenM	spuèrzen	3.285903215408325
schrießen<UNK>ab	schrießeniaben	schrießeniaben	schrießencaben	schrießenhaben	schrießennaben	schrießensaben	7.527088642120361
ebstürten	ebstürten	ebstürten	ebstürtenI	Kebstürten	ebstüärten	ebstürtenÖ	3.672089099884033
krontaletieren	krontaletieren	krontaletieren	Gkrontaletieren	krontaletierenI	krontaletierenN	krontaletierenv	6.056521892547607
denallten	denallten	denallten	denalltenden	denalltern	denalltenI	denalltenÖ	4.492520809173584
ergrättern	ergrättern	ergrättern	ergrätteren	ergrätternèn	ergkättern	ergrätternßen	4.270681858062744
erfranken	erfranken	erfranken	erfrankenI	erfrankenK	erfrankend	erfrankeIn	3.841003179550171
erwieden	erwieden	erwieden	erwiedern	erwiedenm	erwiedenè	erwiedenK	3.4566116333007812
freutigen	freutigen	freutigen	freutigenden	freutigenI	freutigenx	freutigenK	4.328967094421387
degatisieren	degatisieren	degatisieren	degatisierend	degatisierenß	degatisierenv	degatisierenI	5.179006099700928
verfrüschen	verfrüschen	verfrüschen	verfrüsschen	verfrüscYhen	verfrüschenv	verfrüschenI	4.885880470275879
vermarnen	vermarnen	vermarnen	vermarnenLn	vermarnten	vermarnenI	vermarnenK	3.740131139755249
entkopremen	entkopremen	entkopremen	entkopremenUn	entkopremenI	entkoprmemen	entkopremeny	4.412204265594482
verfunnen	verfunnen	verfunnen	verfunnenLn	verfunnenKn	verfunnenI	verfunnern	3.8595006465911865
berässen	berässen	berässen	berässenI	berässenK	berässern	berässenv	3.6127829551696777
drappen	drappen	drappen	drappenLn	drappenden	dkrappen	drappenm	3.323399066925049
kreigen	kreigen	kreigen	kreigenrn	Gkreigen	Pkreigen	kreigenÖ	2.872514247894287
pulgen	pulgen	pulgen	pulgenI	pulgenp	pulgenÖ	pulgenP	2.813760757446289
frodionieren	frodionieren	frodionieren	fkrodionieren	frodionnieren	frodionierenI	frodionierenß	5.1397199630737305
erfucken	erfucken	erfucken	erfuckten	erfuckend	erfuckenK	erfuckenI	3.575079917907715
speulen	speulen	speulen	speulenden	speulenI	speulenÖ	speulenp	3.248103141784668
ergreigen	ergreigen	ergreigen	ergreigenden	ergreigenI	ergreigenÖ	ergreigenK	3.938706874847412
verschlöntigen	verschlöntigen	verschlöntigen	verschlöntigenßen	verscvhlöntigen	verschlöntigenI	verschlöntigenv	6.461921215057373
riffern	riffern	riffern	riffernIn	rifferen	rfiffern	riffernP	3.5876872539520264
spränten	spränten	spränten	spräntenI	spräntenÖ	spräntern	spränteny	3.5494070053100586
verlenken	verlenken	verlenken	verlenkenI	verlenkenv	verlenkenK	verlenkenden	4.186474323272705
gefingen	gefingen	gefingen	gefingenLn	gefingenP	gefingenI	gefingeng	3.699214458465576
belenden	belenden	belenden	belendenden	belendenmn	belendenKn	belendern	3.7532999515533447
verwörten	verwörten	verwörten	verwörtern	verwörtenI	verwörtenK	verwörtenv	3.9824445247650146
staufieren	staufieren	staufieren	staufierenden	stauffieren	staufierenI	staufQferen	4.4333624839782715
pritorieren	pritorieren	pritorieren	pkritorieren	pritorierenß	pritorierenI	pritorierenv	4.9784674644470215
gurrchen	gurrchen	gurrchen	gurrchenIn	gurrchenOn	gurrchenLn	gurrechen	4.055272579193115
fringen<UNK>finger	fringenrfingern	fringenrfingern	fringenefingern	fringen-fingern	fringengfingern	fringennfingern	9.125089645385742
flaustichen	flaustichen	flaustichen	flausticheren	flaustichend	flaustichenß	flaustichenf	4.934056758880615
verschirmen	verschirmen	verschirmen	verschirmenUven	verschirmenv	verschirmenI	verschirmenN	5.321163177490234
erstinkern	erstinkern	erstinkern	erstinkeren	erstinkernßen	erstinkekern	erstinkernPn	4.227408409118652
erspitzen	erspitzen	erspitzen	erspitzenden	erspitzenKen	erspfitzen	erspàitzen	4.185386657714844
frösen	frösen	frösen	frösenI	frösenT	frösenv	frösenL	2.5535922050476074
verlüttigen	verlüttigen	verlüttigen	verlüttiogen	verlüttiügen	verlüttigenv	verlüttigenI	4.8712921142578125
extollaginieren	extollaginieren	extollaginieren	extollagkinieren	extollaginierenI	extollaginierenß	extollaginierenM	6.193868637084961
steinieren	steinieren	steinieren	steinierenden	steinierenUn	steinierenI	steinieären	4.054891109466553
daueln	daueln	daueln	dauelndauen	dauelnIn	dauelen	dauelnyn	3.1017532348632812
bestingen	bestingen	bestingen	bestingenden	bestingenOn	bestingenI	bestingenKen	4.494860649108887
sarsselen	sarsselen	sarsselen	sarsselenden	sarsselenI	sarsselenÖ	sarssGelen	4.406749725341797
verzwürfen	verzwürfen	verzwürfen	verzwürfenI	verzwüärfen	verzwürfenq	verzwürfenv	4.271589279174805
serleln	serleln	serleln	serlelen	serlelnIn	serlelnon	serlelnDn	3.4779767990112305
fluedigen	fluedigen	fluedigen	fluedigenÖ	fluedigenKn	fluedigenI	fluedigenx	4.041889667510986
erwangen	erwangen	erwangen	erwangenLn	erwangenm	erwangenK	erwangenIn	3.4603476524353027
verblüssen	verblüssen	verblüssen	verblüssenI	verblüssenv	verblüssend	verblüssenK	4.247517108917236
expärten	expärten	expärten	Bexpärten	hxpärten	expärtenI	expärtenÖ	3.2146995067596436
gestuchen	gestuchen	gestuchen	gestuchenLn	gestuchenIn	gestuchern	gestuchenden	4.017586708068848
erwastern	erwastern	erwastern	erwasteren	erwasternon	erwasternèn	erwasternP	3.85007381439209
schiffeln	schiffeln	schiffeln	schiffelnden	schiffelen	schiffelnDn	schiffelnIn	4.496199607849121
breißen	breißen	breißen	breißeQen	breißenI	breißend	breißenv	3.1331067085266113
stindern	stindern	stindern	stindernIn	stindernän	stindernèn	stinderen	3.7306289672851562
raufteln	raufteln	raufteln	rauftelnden	rauftelen	rauftelnèn	rauftelnIn	3.393864393234253
bewacken	bewacken	bewacken	bewackten	bwewacken	bewackenK	bewackend	3.549166202545166
stüßen	stüßen	stüßen	stüßenI	stüßenO	stüßend	stüßten	2.4996700286865234
verziegen	verziegen	verziegen	verziegenLn	verziegenI	verziegenK	verziegeIn	4.150924205780029
brurstern	brurstern	brurstern	brursteren	brursternèn	bkrurstern	brursternP	4.0032958984375
degeen	degeen	degeen	degen	degeenden	degeenI	degeens	2.8843908309936523
stetzen<UNK>ein	stetzengein	stetzengein	stetzennien	stetzennein	stetzeniein	stetzenzein	8.004517555236816
ersponieren	ersponieren	ersponieren	ersponierenUn	ersponierenI	ersponierenß	ersponierenv	4.975833415985107
exomplikieren	exomplikieren	exomplikieren	exomplikierenI	exomplikierenv	exomplikierenß	exomplizieren	5.460415840148926
bekröffen	bekröffen	bekröffen	bekröfften	bkekröffen	bekröffenI	bekröffenq	4.166044235229492
vertrecken	vertrecken	vertrecken	vertreckten	vertreckenI	vertreckend	vertreckenv	4.444878101348877
verkrecken	verkrecken	verkrecken	verkreckten	verkreckenI	verkreckend	verkreckenv	4.408547878265381
bekilgen	bekilgen	bekilgen	bekilgenden	bekilgenKen	bekilgenÖ	bekilgenIn	3.93157958984375
besopben	besopben	besopben	besopbenden	besopbenIn	besopbenLn	besopbenKn	3.567988395690918
verklaten	verklaten	verklaten	veklaten	verklatenden	verklatenI	verklatenv	4.2103118896484375
kunsen	kunsen	kunsen	kunsenI	kunsenÖ	kunsend	kunsenLn	2.922180652618408
grutchen	grutchen	grutchen	grutchenIn	grutchenLn	grutchend	grutchenè	3.922962188720703
suchtigen	suchtigen	suchtigen	suchtigenden	suchtigenÖ	suchtigenK	suchtigken	4.157601833343506
suttallisieren	suttallisieren	suttallisieren	suttallisierenI	suttallisierenv	suttallisiereny	suttallisierenß	5.939623832702637
kreinern	kreinern	kreinern	kreineren	kreinernIn	Gkreinern	Ekreinern	3.850813150405884
degen<UNK>um	degenäumen	degenäumen	degengumen	degengumum	degeniumen	degenäumenden	5.660632133483887
prienstollen	prienstollen	prienstollen	pkrienstollen	prienstollenv	prienstollenI	prienstollten	5.040808200836182
bustrunden	bustrunden	bustrunden	bustrundenden	bustrundenI	bustrundenK	bustrundenè	4.6171956062316895
