src	greedy	beam_1	beam_2	beam_3	beam_4	beam_5	entropy
verlehlen	verlählen	verlählen	verlehlten	verlühlen	verlöhlen	verlhehlten	4.936983585357666
forcken	forckten	forckten	forcktenEn	forcktenI	forcktenS	forcktenK	3.7710134983062744
prondieren	prondierten	prondierten	pkrondierten	prondiertenß	prondiertenv	prondiertenS	4.847838401794434
spurzen	spurzten	spurzten	spurztenS	spurztenI	spurztenÖ	spurztenM	3.6313869953155518
schrießen<UNK>ab	schrießenieben	schrießenieben	schrießensabten	schrießencabten	schrießenhabten	schrießennabten	8.33590316772461
ebstürten	ebstürteten	ebstürteten	ebstürtetenQten	ebstürtetenQt	Kebstürteten	ebstürtetenH	4.313697338104248
krontaletieren	krontaletierten	krontaletierten	Ekrontaletierten	Gkrontaletierten	kkrontaletierten	krontaletiertenß	6.3448638916015625
denallten	denallteten	denallteten	denalltetenQlten	denalltetenden	denalltetenß	denalltetenI	4.663483619689941
ergrättern	ergrätterten	ergrätterten	ergrättertenGn	ergrättertenß	ergrättertenv	ergrätterteUn	4.712737560272217
erfranken	erfrankten	erfrankten	erfranktenß	erfranktenM	erfranktenÖ	erfranktenI	4.3987884521484375
erwieden	erwäden	erwäden	erwöden	erwänden	erwächen	erwägen	4.6218976974487305
freutigen	freutigten	freutigten	freutigtenQut	freutigtenEn	freutideten	freutigtenI	4.264544486999512
degatisieren	degatisierten	degatisierten	degatisiertenß	degatisiertend	degatisiertenI	degatisiertenv	5.931453227996826
verfrüschen	verfrüschten	verfrüschten	verfrüsschten	verfrüscdeten	verfrüscYhten	verfrüschtenv	5.0360002517700195
vermarnen	vermarnten	vermarnten	vermarntenv	vermarchten	vermarntenß	vermarntenq	4.161515712738037
entkopremen	entkopremten	entkopremten	entkäpremen	entköpremten	entkäpremten	entkapremten	5.3813557624816895
verfunnen	verfunnten	verfunnten	verfunchten	verfunntenv	verfunntenK	verfunntenß	4.468879699707031
berässen	berässten	berässten	berässtenQst	berässteQst	berässtenI	berässtenP	3.485431432723999
drappen	drappten	drappten	drapptenQp	dkrappten	drapptend	drapptenI	3.3859479427337646
kreigen	kreigten	kreigten	kriegen	Gkreigten	Ekreigten	kreigtenÖ	3.605487585067749
pulgen	pulgten	pulgten	pulLgten	pulgtenI	pulgtenp	pulgtenÖ	2.9414591789245605
frodionieren	frodionierten	frodionierten	fkrodionierten	frodioniertenß	frodioniertenI	frodioniertenS	5.597342014312744
erfucken	erfuckten	erfuckten	erfucktenEn	erfuöckten	erfucktenI	erfucktenÖ	3.8211724758148193
speulen	speulten	speulten	speultenI	speultenÖ	speultenS	speultenq	3.6626086235046387
ergreigen	ergriegen	ergriegen	ergritten	ergreigten	ergrisgen	ergrichen	5.040104866027832
verschlöntigen	verschlöntigten	verschlöntigten	verschlöntigtenI	verschlöntigtenÜ	verschlöntigtenS	verschlöntigtenßt	5.877068519592285
riffern	rifferten	rifferten	riffertenEn	riffGerten	riffertenI	riffertenS	4.121440410614014
spränten	spränteten	spränteten	sprächteten	spräntetenI	spräntetenS	spräntetenÖ	4.212646007537842
verlenken	verlenkten	verlenkten	verlenktenQlen	verlkenkten	verlenktenv	verlenktenI	4.4019904136657715
gefingen	gefängen	gefängen	gefängenÖen	gefächten	gefängenGn	gefängten	3.2316343784332275
belenden	belendeten	belendeten	belendetenQen	belendetenEn	belendetenK	belendetenÖ	4.411651134490967
verwörten	verwörteten	verwörteten	verwörtetenQwörten	verwörtteten	verwörterten	verwörtetenv	4.724148750305176
staufieren	staufierten	staufierten	stauffierten	staufQferten	staufiertenß	staufiertenv	4.9497575759887695
pritorieren	pritorierten	pritorierten	pritoriertenß	pkritorierten	pritoriertenv	pritoriertenS	5.22872257232666
gurrchen	gurrchten	gurrchten	gurrchtenQchen	gurrchtenEn	gurrächten	gurrechten	4.284678936004639
fringen<UNK>finger	fringenefingerten	fringenefingerten	fringenrfingerten	fringengfingerten	fringen-fingerten	fringennfingerten	10.638935089111328
flaustichen	flaustichten	flaustichten	flaustichtenQn	flaustichtenß	flaustichtenS	flaustichtenv	5.00700044631958
verschirmen	verschirmten	verschirmten	verschirmtenUven	verschirmtenv	verschirmtenß	verschirmtenö	5.3392133712768555
erstinkern	erstinkerten	erstinkerten	erstinkekerten	erstinkertenEn	erstinkertenß	erstinkertenI	5.26217794418335
erspitzen	erspitzten	erspitzten	erspitztenQp	erspitztenS	erspitztenK	erspitztenÖ	4.274979591369629
frösen	frösten	frösten	fröstenI	fröstenv	fröstenf	fröstenS	2.959439277648926
verlüttigen	verlüttigten	verlüttigten	verlüttiogten	verlüttiügten	verlüttigtenv	verlüttigtenß	5.510756969451904
extollaginieren	extollaginierten	extollaginierten	extollagkinierten	extollaginiertenI	extollaginiertenS	extollaginiertenß	7.073083877563477
steinieren	steinierten	steinierten	steiniertenß	steiniertenv	steiniertenI	steiniertenS	5.291203498840332
daueln	dauelten	dauelten	daueltendauen	daueltenI	daulelten	daueltenß	3.5624876022338867
bestingen	bestängen	bestängen	bestächten	bestängenden	bestängenKen	bestängten	4.0050272941589355
sarsselen	sarsselten	sarsselten	sarsseltenß	sarsseltenI	sarsseltenM	sarsseltenÖ	4.277037620544434
verzwürfen	verzwürften	verzwürften	verzwürftenQwürft	verzwürftenUven	verzwürftenö	verzwürftenv	4.527999401092529
serleln	serlelten	serlelten	serltelten	serleltenI	serleltenß	serleltenÖ	4.3787946701049805
fluedigen	fluedigten	fluedigten	fluedigtenEn	fluedigtenI	fluedigtenÖ	fluedigtenQ	4.381542205810547
erwangen	erwangten	erwangten	erwangtenI	erwangtenK	erwangtenÖ	erwangtenL	3.871070623397827
verblüssen	verblüssten	verblüssten	verblüsstenösst	verblüsstenv	verblüsstenß	verüblüssten	4.547176361083984
expärten	expärteten	expärteten	expärtetenqärten	hxpärteten	Bexpärteten	expärtetenS	4.326170921325684
gestuchen	gestuchten	gestuchten	gestüchten	gestuchtenQt	gestuöchten	gestuchtenv	4.33212423324585
erwastern	erwasterten	erwasterten	erwastertenEn	erwastertenß	erwastertenI	erwastertenÖ	4.694737911224365
schiffeln	schiffelten	schiffelten	schiffeltenEn	schiffeltenH	schiffeltenß	schiffeltenÖ	5.019221782684326
breißen	brissen	brissen	brissenQen	breißten	brissenI	brissten	2.5804829597473145
stindern	stinderten	stinderten	stindertenEn	stindertenI	stindertenß	stindertenÖ	4.60561990737915
raufteln	rauftelten	rauftelten	raufteltenEn	rauftGelten	raufteltenß	raufteltenI	4.301886081695557
bewacken	bewackten	bewackten	bewacktenEn	bwewackten	bewacktenK	bewacktenI	4.529815673828125
stüßen	stüßten	stüßten	stüßtenI	stüßtenM	stüßtenv	stüßtenO	2.8350603580474854
verziegen	verzögen	verzögen	verziegten	verzögenxen	verzögenIn	verzögten	3.7074546813964844
brurstern	brursterten	brursterten	brurstertenEn	bkrursterten	brurstearten	brurstertenß	4.6260576248168945
degeen	degten	degten	degtenden	degäten	degtenQt	degtenI	2.955944538116455
stetzen<UNK>ein	stetzengeiten	stetzengeiten	stetzenniten	stetzenseiten	stetzenieiten	stetzenäien	7.788547039031982
ersponieren	ersponierten	ersponierten	ersponiertenß	ersponiertenv	ersponiertenI	ersponiertenS	4.985665321350098
exomplikieren	exomplikierten	exomplikierten	exomplikiertenß	exomplikiertenI	exomplfikierten	exomplikiertenS	5.9233012199401855
bekröffen	bekröfften	bekröfften	bekröfftenQröften	bekröfftenQröft	bekröfftenK	bekröfftenö	4.191635608673096
vertrecken	vertreckten	vertreckten	verträcken	vertrecketen	vertrecktenqt	vertrecktenß	5.055856704711914
verkrecken	verkreckten	verkreckten	verkrecketen	verkrecktenß	verkrecktenv	verkrecktenI	4.813490867614746
bekilgen	bekilgten	bekilgten	bekilgtenQi	bekilgtenÖl	bekilgtenI	bekilgtenP	4.434706687927246
besopben	besopbten	besopbten	besopbtenK	besopbtenI	besopbtenÖ	besopbtenQ	3.894353151321411
verklaten	verklateten	verklateten	veklateten	verklatetenqlat	verklatetenqlaten	verklatetenv	4.731204509735107
kunsen	kunsten	kunsten	kunstenQ	kunstenI	kunstenS	kunstenL	3.205547332763672
grutchen	grutchten	grutchten	grutchtenQt	grutächten	grutchtenv	grutchtenI	4.260663986206055
suchtigen	suchtigten	suchtigten	suchtiügten	suchtigtenÖ	suchtigtenI	suchtigtenS	4.721956253051758
suttallisieren	suttallisierten	suttallisierten	suttallisiertenß	suttallisiertenI	suttallisiertenS	suttallisiertenÜ	6.451359748840332
kreinern	kreinerten	kreinerten	kreinertenEn	kreinertenQi	Ekreinerten	Pkreinerten	4.824126243591309
degen<UNK>um	degenäumten	degenäumten	degenäumen	degengumten	degenaumten	degenäumiten	5.573314666748047
prienstollen	prienstollten	prienstollten	prienstolltenß	pkrienstollten	prienstolltenS	prienstolltenv	5.879217624664307
bustrunden	bustrundeten	bustrundeten	bustründeten	bustrundetenv	bustrundetenS	bustrundetenI	4.803066730499268
protern	proterten	proterten	protertenEn	pkroterten	protertenI	protertenS	3.971803903579712
entschlaften	entschlafteten	entschlafteten	entschlieften	entschlDafteten	entschlaftetenöft	entschlüften	5.587392330169678
klinsen	klänsen	klänsen	klinsten	klönsen	klensten	klansen	4.039677143096924
stlapen	stlapten	stlapten	stlaptenEn	stlaptenI	stlaptenÖ	stlaptenL	3.6146979331970215
spürzen	spürzten	spürzten	spürztenI	spürztenM	spürztenS	spürztenÖ	3.168631076812744
darbotieren	darbotierten	darbotierten	darbotiertenß	darbotiertenv	darbotiertend	darbotiertenI	5.11138391494751
spuschen	spuschten	spuschten	spuschtenQs	spuschtenK	spuschtenÖ	spuschtenI	4.276307582855225
bewünsten	bewünsteten	bewünsteten	bewünstetenQün	bewünstteten	bewünständen	bewünstetenv	3.9566760063171387
sagen<UNK>aus	sagengausten	sagengausten	sagenäuserten	sagenäusten	sageneausten	sagenaausten	6.015398025512695
versprechsen	versprächsen	versprächsen	verspröchsen	versprechsten	versprächsenßen	versprächst	5.52846097946167
ernungen	ernungten	ernungten	ernungtenQn	ernungtenI	ernungtenÖ	ernungtenK	3.972724199295044
vermauen	vermauten	vermauten	vermautenI	vermautenv	vermautenK	vermautenÖ	3.9617373943328857
bohrleife	bohrleiften	bohrleiften	bohrliffen	bohrleiftenQl	bohrleiftenß	bohrleiftenv	5.21489143371582
besitigen	besitigten	besitigten	besitigtenQi	besitideten	besitigtenI	besitiügten	4.1566877365112305
brächsseln<UNK>her	brächsselnieherten	brächsselnieherten	brächsselniherten	brächsselnierten	brächsselnsherten	brächsselncherten	9.029231071472168
detetten	detetteten	detetteten	detettetenden	detettteten	detettetenä	detettetenM	4.662751197814941
vertrachen	vertrüchen	vertrüchen	vertrachten	vertrüchenUn	vertrüchten	vertruchen	4.893179893493652
kabilisieren	kabilisierten	kabilisierten	kabilisiertenß	Ekabilisierten	kabilisiertenv	kabilisiertenk	5.711826801300049
remonieren	remonierten	remonierten	remoniertenUn	remoniertenß	remoniertenI	remoniertenS	4.793332576751709
rintern	rinterten	rinterten	rintertenQten	rintertenEn	rintertenI	rintertenS	4.462352275848389
klützeln	klützelten	klützelten	klützeltenqlten	Gklützelten	Eklützelten	Pklützelten	4.471218109130859
verstern	versterten	versterten	verstertenQs	verstertenv	verstertenß	versteIrten	4.679214000701904
erfiffern	erfifferten	erfifferten	erfiffertenEn	erfiffertenßen	erffifferten	ekrfifferten	5.2093586921691895
deplizieren	deplizierten	deplizierten	depliziertenß	depliziertend	depliziertenv	depliziertenI	5.353827953338623
kosteln	kostelten	kostelten	Ekostelten	kostGelten	kosteltenk	kosteltenI	3.761713981628418
