src	greedy	beam_1	beam_2	beam_3	beam_4	beam_5	entropy
verlehlen	verlehlest	verlehlest	verlehlestIst	verlehlestLst	verlehlestd	verlehlestP	4.661951541900635
forcken	forckest	forckest	forckestLst	forckestIst	forckestft	forckestd	4.096066951751709
prondieren	prondierest	prondierest	prondierestIst	prondierestQn	pkrondierest	prondierestd	4.780844211578369
spurzen	spurzest	spurzest	spurzestLst	spurzestIst	spurzesLst	spurzestd	3.309575080871582
schrießen<UNK>ab	schrießeniabest	schrießeniabest	schrießensabest	schrießenhabest	schrießencabest	schrießennabest	8.283401489257812
ebstürten	ebstürtest	ebstürtest	ebstürtestQt	Kebstürtest	ebstüärtest	ebstürtestd	3.9708046913146973
krontaletieren	krontaletierest	krontaletierest	krontaletierestIst	krontaletierestQn	Gkrontaletierest	krontaletierestd	5.696671962738037
denallten	denalltest	denalltest	denalltestQldest	denalltestIst	denalltestd	denalltrest	4.321130752563477
ergrättern	ergrätterest	ergrätterest	ergrätterestIst	ergrätterestPt	ergrätterestQt	ergrätterestd	5.260687828063965
erfranken	erfrankest	erfrankest	erfrankestLst	erfrankestIst	erfrankestd	erfrankestP	4.5183939933776855
erwieden	erwiedest	erwiedest	erwiedestLst	erwiedestIst	erwiedestd	erwiedestP	4.38131856918335
freutigen	freutigest	freutigest	freutigestLst	freutigestft	freutigestd	freutigestP	3.977069616317749
degatisieren	degatisierest	degatisierest	degatisierestIst	degatisierestQt	degatisierestd	degatisierestL	5.581537246704102
verfrüschen	verfrüschest	verfrüschest	verfrüschestLst	verfrüsschest	verfrüscYhest	verfrüschestd	5.24600887298584
vermarnen	vermarnest	vermarnest	vermarnestLst	vermarnestIst	vermarnestd	vermarnestP	4.732824325561523
entkopremen	entkopremest	entkopremest	entkopremestLst	entkopremestIst	entkoprmemest	entkopremestd	5.127479553222656
verfunnen	verfunnest	verfunnest	verfunnestIst	verfunnestLst	verfunnesLest	verfunnestd	4.255218505859375
berässen	berässest	berässest	berässestIst	berässestLst	berässesAst	berässestd	3.6405458450317383
drappen	drappest	drappest	drappestIst	drappestLst	drappestQp	dkrappest	3.535400152206421
kreigen	kreigest	kreigest	kreigestLst	Gkreigest	Pkreigest	Ekreigest	3.342881441116333
pulgen	pulgest	pulgest	pulgestIst	pulgestLst	pulgestd	pulgestÖ	3.3114819526672363
frodionieren	frodionierest	frodionierest	frodionierestIst	fkrodionierest	frodionierestd	frodionierestf	5.505462169647217
erfucken	erfuckest	erfuckest	erfuckestLst	erfuckestIst	erfuckestd	erfuckestP	3.991929292678833
speulen	speulest	speulest	speulestIst	speulestLst	speulestd	speulesxt	3.365138292312622
ergreigen	ergreigest	ergreigest	ergreigestLst	ergreigestZst	ergreigestd	ergreigestP	4.6597442626953125
verschlöntigen	verschlöntigest	verschlöntigest	verschlöntigestIst	verscvhlöntigest	verschlöntigestd	verschlöntigestL	6.158408164978027
riffern	rifferest	rifferest	rifferestIst	rifferestLst	rfifferest	rifferestP	3.662463665008545
spränten	spräntest	spräntest	spräntestIst	spräntestÖst	spräntestd	spräntestP	3.9440932273864746
verlenken	verlenkest	verlenkest	verlenkestLst	verlenkestIst	verlkenkest	verlenkestd	4.3869428634643555
gefingen	gefingest	gefingest	gefingestLst	gefingestd	gefingestg	gefingestP	4.544212341308594
belenden	belendest	belendest	belendestLst	belendestIst	belendestd	belendestP	4.324224948883057
verwörten	verwörtest	verwörtest	verwörtestQw	verwörtestd	verwörtestP	verwörtestQwört	3.608381986618042
staufieren	staufierest	staufierest	stauffierest	staufQferest	staufLierest	staufierestd	4.907318115234375
pritorieren	pritorierest	pritorierest	pritorierestIst	pkritorierest	pritorierestd	pritorierestP	5.507971286773682
gurrchen	gurrchest	gurrchest	gurrchestLst	gurrechest	gurrchestd	gurrchestg	3.9293665885925293
fringen<UNK>finger	fringenefingerest	fringenefingerest	fringenrfingerest	fringen-fingerest	fringengfingerest	fringennfingerest	10.190140724182129
flaustichen	flaustichest	flaustichest	flaustichestIst	flaustichestLst	flaustichestd	flaustickest	4.90581750869751
verschirmen	verschirmest	verschirmest	verschirmestIst	verschirmestLst	verschirmestd	verschirmestP	5.819457054138184
erstinkern	erstinkerest	erstinkerest	erstinkerestIst	erstinkerestQt	erstinkerestPt	erstinkerestd	5.537010192871094
erspitzen	erspitzest	erspitzest	erspitzestLst	erspfitzest	erspàitzest	erspitzestd	4.763355731964111
frösen	frösest	frösest	frösestLst	frösestIst	frösestd	frösestf	3.1846797466278076
verlüttigen	verlüttigest	verlüttigest	verlüttigestIst	verlüttigestLst	verlüttiogest	verlüttiügest	5.370118618011475
extollaginieren	extollaginierest	extollaginierest	extollaginierestIst	extollaginierestQt	extollagkinierest	extollaginierestd	6.545109748840332
steinieren	steinierest	steinierest	steinierestIst	steinierestLst	steinierestd	steinierestP	4.483185768127441
daueln	dauelest	dauelest	dauelestIst	dauelestLst	daugelest	dauelestd	3.820420026779175
