src	greedy	beam_1	beam_2	beam_3	beam_4	beam_5	entropy
verlehlen	verlähle	verlähle	verlehlte	verlühle	verlöhle	verlhlähe	4.574378490447998
forcken	forckte	forckte	forcktep	forckteB	forckteP	forckteI	3.4112637042999268
prondieren	prondierte	prondierte	pkrondierte	prondierteM	prondierteB	prondierteÄ	4.405824661254883
spurzen	spurzte	spurzte	spuärzte	spuörzte	spuürzte	spurztep	3.0376524925231934
schrießen<UNK>ab	schrießeniebe	schrießeniebe	schrießensabte	schrießencabte	schrießennabte	schrießenlabte	7.57908821105957
ebstürten	ebstürtete	ebstürtete	ebstürteteU	ebstürteteè	ebstürtetMe	ebstürteteB	3.769085168838501
krontaletieren	krontaletierte	krontaletierte	krontaletierteLte	Ekrontaletierte	Gkrontaletierte	kkrontaletierte	6.004884719848633
denallten	denalltete	denalltete	denalltette	denallteteU	denallteteZ	denallteteB	4.105884552001953
ergrättern	ergrätterte	ergrätterte	ergrätterteXte	ergrätterteU	ergrätterteè	ergrätterteP	4.580469608306885
erfranken	erfrankte	erfrankte	erfranktep	erfrankteB	erfrankteP	erfrankteL	3.780916452407837
erwieden	erwäde	erwäde	erwände	erwöde	erwäche	erwäge	4.078920841217041
freutigen	freutigte	freutigte	freutidete	freutigtep	freutigteB	freutigteP	3.8267009258270264
degatisieren	degatisierte	degatisierte	degatisierteM	degatisierteÄ	degatisierteU	degatisierteB	5.404951095581055
verfrüschen	verfrüschte	verfrüschte	verfrüsschte	verfrüscYhte	verfrüscdete	verfrüschteB	4.519123554229736
vermarnen	vermarnte	vermarnte	vermarchte	vermarntÄe	vermarnteB	vermarnteL	3.9166154861450195
entkopremen	entkopremte	entkopremte	entkäpreme	entköpremte	entkapremte	entkopremtzte	4.509950637817383
verfunnen	verfunnte	verfunnte	verfunchte	verfunnteB	verfunntep	verfunnteL	3.7890067100524902
berässen	berässte	berässte	berässteB	berässtep	berässteè	berässtej	3.492583751678467
drappen	drappte	drappte	dkrappte	drapptep	drappteB	drappteè	3.2320098876953125
kreigen	kreigte	kreigte	kriege	Gkreigte	Pkreigte	kreigtep	2.870690107345581
pulgen	pulgte	pulgte	pulLgte	pulgtep	pulgteB	pulgteI	2.77067494392395
frodionieren	frodionierte	frodionierte	fkrodionierte	frodionierteB	frodionierteM	frodionierteU	4.862149715423584
erfucken	erfuckte	erfuckte	erfuöckte	erfucktep	erfuckteB	erfuckteè	3.875443696975708
speulen	speulte	speulte	speultep	speulteB	speulteI	speulteM	2.9623146057128906
ergreigen	ergriege	ergriege	ergritte	ergreigte	ergritge	ergrifge	4.382741928100586
verschlöntigen	verschlöntigte	verschlöntigte	verschlöntigteBte	verschlöntigteZ	verschlöntigteL	verscHlöntigte	5.788099765777588
riffern	rifferte	rifferte	riffGerte	riffertep	rifferteè	rifferteP	3.36711049079895
spränten	spräntete	spräntete	sprächtete	spränteteè	spränteteG	spräntetep	3.8397605419158936
verlenken	verlenkte	verlenkte	verlkenkte	verlenktep	verlenkteB	verlenkteZ	4.248520851135254
gefingen	gefänge	gefänge	gefächte	gefängte	gefängeB	gefängep	2.7542247772216797
belenden	belendete	belendete	belendeteB	belendeteZ	belendette	belendeteU	3.9042952060699463
