src	prediction	entropy
estitorate	estitorates	5.740478992462158
emprotify	emprotifies	5.453719139099121
murd-rese	murd-reses	5.07466983795166
preclid	preclids	4.607403755187988
saclest	saclests	4.123394012451172
forthurn	forthurns	4.271847724914551
scowsted	scowsteds	4.14505672454834
miscombabe	miscombabes	5.422248363494873
befuckser	befucksers	5.408248424530029
forecriminate	forecriminates	6.855363368988037
discalestalize	discalestalizes	7.0189104080200195
desenetate	desenetates	5.846532344818115
compitalate	compitalates	6.173302173614502
domenate	domenates	4.743984699249268
polturitate	polturitates	5.529332637786865
commisexidate	commisexidates	6.510961055755615
furstrain	furstrains	5.1743059158325195
rechock	rechocks	4.637490272521973
underforsee	underforsees	6.3403520584106445
enderblack	enderblacks	5.0120849609375
pristhost	pristhosts	4.933048248291016
sureenthan	sureenthans	4.939586162567139
exsear	exsears	3.862375259399414
disenteristrow	disenteristrows	7.221424102783203
umbain	umbains	3.560464859008789
stipialize	stipializes	5.816862106323242
signize	signizes	4.1010589599609375
rebulise	rebulises	4.316240310668945
bepelicalize	bepelicalizes	6.602063179016113
umprit	umprits	3.5805890560150146
ensteel	ensteels	3.749582290649414
repoose	repooses	4.104997158050537
coreperch	coreperches	5.663127899169922
deshard	deshards	4.024812698364258
preporise	preporises	5.227160453796387
forestate	forestates	5.004119396209717
fostrip	fostrips	3.7928366661071777
reponselture	reponseltures	6.573441982269287
pridail	pridails	4.140314102172852
debrate	debrates	4.25782585144043
extect	extects	3.0989203453063965
fackpat	fackpats	4.171964168548584
beanicate	beanicates	4.794765949249268
mesect-compresenserate	mesect-compreserates	10.120535850524902
desthar	desthars	4.538716793060303
shelphar	shelphars	4.74407958984375
misbowshuse	misbowshuses	5.810713768005371
unputch	unputches	4.24501371383667
manshott	manshotts	4.587690830230713
disimblacalise	disimblacalises	7.580625534057617
exhillain	exhillains	4.721306800842285
resembiast	resembiasts	5.3081464767456055
beswaine	beswaines	4.809127330780029
foredumate	foredumates	5.642536163330078
fonderstin	fonderstins	5.676223278045654
secct	seccts	3.280088424682617
reposterstrock	reposterstrocks	7.404144763946533
dishidl	dishidls	3.9195148944854736
deprate	deprates	4.229952812194824
preprostene	preprostenes	6.20139217376709
farklick	farklicks	4.6295599937438965
preclottinate	preclottinates	6.57828426361084
recomembolop	recomembolops	6.380834579467773
demoilsate	demoilsates	5.194151401519775
coreart	corearts	4.142032146453857
bebondle	bebondles	4.4966959953308105
sampume	sampumes	3.990036964416504
decarentate	decarentates	5.95548152923584
cidiarize	cidiarizes	5.05897855758667
beardrain	beardrains	4.734832286834717
pusseclote	pusseclotes	5.85933780670166
rassion	rassions	3.976431369781494
underfudger	underfudgers	5.93095064163208
deporitize	deporitizes	5.220814228057861
corpend	corpends	4.228892803192139
chominate	chominates	5.136531352996826
underbock	underbocks	4.835071086883545
bebench	bebenches	4.399050235748291
embrothise	embrothises	5.55088472366333
reamber	reambers	4.339972019195557
retracch	retracches	5.537156581878662
beroumer	beroumers	4.364654541015625
recarclomize	recarclomizes	6.483397483825684
combolicate	combolicates	6.358850955963135
enscrate	enscrates	4.713897705078125
camboal	camboals	4.29135274887085
fordutter	fordutters	4.994098663330078
dishet	dishets	3.5733554363250732
sprecate	sprecates	4.871993541717529
uncharrint	uncharrints	5.482535362243652
defick	deficks	3.3785109519958496
unrascaize	unrascaizes	5.7918806076049805
fordethoth	fordethoths	4.9729132652282715
coisexe	coisexes	4.10474967956543
malarise	malarises	4.679908752441406
disconteritionize	disconteritionizes	8.438067436218262
stroapen	stroapens	4.366791248321533
polominalize	polominalizes	6.297157287597656
foretonize	foretonizes	5.69568395614624
elogulate	elogulates	5.2074055671691895
subfourine	subfourines	5.362765789031982
befilke	befilkes	3.75238037109375
fecese	feceses	3.8874881267547607
deproon	deproons	3.7744944095611572
entonessimize	entonessimizes	7.175601482391357
sposetotate	sposetotates	5.660078525543213
scervel	scervels	4.154638767242432
exteer	exteers	3.9166836738586426
resinstrive	resinstrives	6.425576686859131
prechut	prechuts	4.006402492523193
parmute	parmutes	3.9641361236572266
exaster	exasters	4.146808624267578
exirise	exiroses	5.665396690368652
purmle	purmles	3.7886321544647217
candub	candubs	3.683445930480957
retraid	retraids	4.421147346496582
conceet	conceets	3.9536261558532715
corneect	corneects	4.631579399108887
rupine	rupines	3.727787494659424
sargenate	sargenates	4.944983959197998
pampaciate	pampaciates	5.607244491577148
counterlate	counterlates	5.9771647453308105
crompalalise	crompalalises	5.656563758850098
condoly	condolies	4.399496555328369
pitropialize	pitropializes	6.697508811950684
fordwenshot	fordwenshots	5.583933353424072
underforshingle	underforshingles	8.089399337768555
mokensalize	mokensalizes	5.666118621826172
beconter	beconters	3.9188320636749268
sickete	sicketes	4.418851852416992
dischor	dischors	4.293496131896973
defanele	defaneles	4.4936676025390625
repill	repills	4.072547435760498
restromize	restromizes	5.695642471313477
underprict	underpricts	5.297353744506836
extound	extounds	3.625339984893799
desponialize	desponializes	6.903681755065918
priffulder	priffulders	5.505669116973877
morrist	morrists	4.169835090637207
compail	compails	3.9761745929718018
uncorscille	uncorscilles	6.219315528869629
consemment	consemments	5.667430877685547
coadflag	coadflags	4.682004928588867
cromotate	cromotates	4.912744998931885
enteave	enteaves	4.117059707641602
prepeath	prepeaths	4.574526786804199
mandle-domble	mandle-dombles	6.2341485023498535
empactestalize	empactestalizes	7.4344682693481445
sumperturise	sumperturises	6.72355318069458
slitkle-protall	slitkle-protalls	7.515700340270996
unbatch	unbatches	4.583016872406006
crople	croples	3.8809266090393066
besennser	besennsers	5.238819599151611
properarize	properarizes	5.92407751083374
unplac	unplacs	4.2264580726623535
depill	depills	3.450096845626831
encranssiliate	encranssiliates	7.506650447845459
panderalize	panderalizes	5.5985870361328125
unspamber	unspambers	4.989741325378418
marderate	marderates	5.491040229797363
redisimate	redisimates	5.4183573722839355
redroms	redromses	5.0318098068237305
risheat	risheats	4.25359582901001
misendele	misendeles	5.037741661071777
unpounthon	unpounthons	5.712126731872559
coordalise	coordalises	5.501803874969482
unrail	unrails	3.560133695602417
bluddel	bluddels	4.234444618225098
pitify	pitifies	3.991288185119629
reveld	revelds	3.7602181434631348
recounterpander	recounterpanders	8.200342178344727
unbolder	unbolders	4.326739311218262
mistroupone	mistroupones	6.155296802520752
cisturalise	cisturalises	6.045078277587891
dorgate	dorgates	4.182757377624512
revandify	revandifies	5.579216957092285
mistercomper	mistercompers	6.6536993980407715
enhansheek	enhansheeks	5.451108455657959
perply	perplies	4.022449493408203
unducker	unduckers	4.822805881500244
commistinize	commistinizes	6.392008304595947
rechuse	rechuses	4.370403289794922
muminify	muminifies	5.116058349609375
misescork	misescorks	5.459230899810791
slitinop	slitinops	4.98068380355835
remisten	remistens	4.604896545410156
misrank	misranks	4.166258811950684
surchour	surchours	4.6608099937438965
foresead	foreseads	4.660305023193359
rebese	rebeses	3.891265392303467
deconditut	decondituts	5.648653507232666
coremerise	coremerises	5.816884994506836
reasser	reassers	3.9436087608337402
stisionise	stisionises	6.977139949798584
faborise	faborises	4.445611000061035
cheristet	cheristets	5.418494701385498
subiclate	subiclates	5.224437713623047
refigenize	refigenizes	5.043492317199707
corpure	corpures	4.566664218902588
courseshend	courseshends	5.935216903686523
belathe	belathes	4.270970821380615
understrund	understrunds	5.653564453125
depromer	depromers	4.980437278747559
predecrify	predecrifies	5.530155658721924
scomminise	scomminises	5.174773216247559
soccold-ramp	soccold-ramps	6.349294662475586
pittranise	pittranises	5.354867458343506
stivylurise	stivylurises	5.672908782958984
cortomise	cortomises	4.840709209442139
remencate	remencates	5.2125163078308105
counderdrout	counderdrouts	6.651827335357666
desonchescate	desonchescates	6.805334568023682
exprostitate	exprostitates	6.370696544647217
forthoreed	forthoreeds	5.096707344055176
retritize	retritizes	5.335005283355713
somash	somashes	3.9723029136657715
respinch	respinches	5.372037410736084
defacker	defackers	4.154608726501465
entreid	entreids	4.356363296508789
detath	detaths	3.1947505474090576
stensitate	stensitates	5.294067859649658
fereresete	fereresetes	5.348901271820068
comash	comashes	4.060290813446045
furtitate	furtitates	5.047520160675049
miselagonise	miselagonises	6.000001907348633
conglife	conglifes	4.535555839538574
preticit	preticits	4.402533054351807
subiast	subiasts	3.885801076889038
unconfute	unconfutes	5.3220062255859375
micovoll	micovolls	4.165896892547607
cortact	cortacts	4.0069966316223145
redicalise	redicalises	6.209547519683838
exediate	exediates	4.79133415222168
eplender	eplenders	4.3578314781188965
crounder	crounders	4.81285285949707
brontle	brontles	3.58746600151062
deannedect	deannedects	5.349795818328857
cellemorate	cellemorates	6.227619171142578
pudrossinate	pudrossinates	6.594141960144043
mechoinamize	mechoinamizes	6.1884379386901855
reforsione	reforsiones	5.536859512329102
bycard	bycards	3.50146746635437
forestrait	forestraits	5.851145267486572
molliate	molliates	4.637964248657227
birnobuck	birnobucks	4.871790409088135
fonallate	fonallates	4.75822114944458
cincyer	cincyers	4.312915325164795
shotcherize	shotcherizes	6.005580902099609
combrad	combrads	3.950409412384033
prophoinise	prophoinises	5.877862453460693
decatch	decatches	4.781501293182373
perprofecuer	perprofecuers	6.261940956115723
unflowrify	unflowrifies	5.695226669311523
mispirrate	mispirrates	5.466052055358887
pocilalise	pocilalises	5.796382904052734
fistrush	fistrushes	5.221344947814941
sumort	sumorts	3.4403810501098633
sheasphon	sheasphons	4.887452602386475
presit	presits	3.9007177352905273
courtiate	courtiates	5.120950222015381
finchude	finchudes	4.260379314422607
unconflace	unconflaces	5.092597007751465
umbrower	umbrowers	4.546140670776367
patheshize	patheshizes	5.509335041046143
chalvel	chalvels	4.370285511016846
discolader	discoladers	5.765812397003174
formeed	formeeds	4.140042304992676
poospaly	poospalies	4.780064582824707
encublate	encublates	5.143664836883545
refriss	refrisses	5.2454938888549805
conpench	conpenches	5.369378089904785
panichate	panichates	5.006328582763672
sincross	sincrosses	5.235633850097656
politograte	politogrates	5.755241394042969
undercraint	undercraints	5.969645023345947
unhark	unharks	3.7902441024780273
deanchate	deanchates	5.257457256317139
prisexconvone	prisexconvones	7.0584821701049805
despignize	despignizes	5.297222137451172
unsute	unsutes	3.6715824604034424
reclyster	reclysters	5.001049041748047
rechitch	rechitches	4.92663049697876
mumboul	mumbouls	3.5951032638549805
demyluscate	demyluscates	5.95431661605835
ensiscide	ensiscides	5.091888904571533
dissenge	dissenges	4.044862270355225
mitraminate	mitraminates	5.79763126373291
becompulate	becompulates	5.756601333618164
encess	encesses	3.9116194248199463
fatherize	fatherizes	4.757629871368408
unhour	unhours	3.982917070388794
provetilate	provetilates	5.796448707580566
caludiate	caludiates	5.289575099945068
feckshock	feckshocks	4.784550189971924
dispricilate	dispricilates	6.508536338806152
disfrondinate	disfrondinates	6.5828118324279785
repondle	repondles	5.1581220626831055
unstungle	unstungles	4.6976118087768555
culfrit	culfrits	4.2840657234191895
deanterize	deanterizes	5.641780376434326
exterter	exterters	4.980527400970459
scoloog	scoloogs	3.709373712539673
sarruter	sarruters	4.497904300689697
forewons	forewonses	4.659509181976318
undwulleat	undwulleats	5.219650745391846
mesurise	mesurises	4.340727806091309
chither	chithers	4.921959400177002
somphard	somphards	4.647518157958984
misreem	misreems	3.994039535522461
underpease	underpeases	5.170891761779785
repulend	repulends	4.150406360626221
beclowe	beclowes	3.7536003589630127
decounstelper	decounstelpers	7.043039321899414
reconvect	reconvects	4.8298420906066895
upchumb	upchumbs	4.088216304779053
bedrass	bedrasses	4.4231181144714355
fitiontuate	fitiontuates	6.058878421783447
remedrate	remedrates	4.871614933013916
decirtoone	decirtoones	5.412496089935303
ribalise	ribalises	4.696689605712891
convoor	convoors	3.931929349899292
underperve	underperves	5.874726295471191
prefectionalise	prefectionalises	7.982542514801025
roumenne	roumennes	4.480167388916016
couther	couthers	4.268563270568848
unhust	unhusts	3.4844422340393066
updelate	updelates	4.826657295227051
pineer-brack	pineer-bracks	6.899198055267334
cardleat	cardleats	4.553282260894775
sumertion	sumertions	4.88279914855957
subsheit	subsheits	4.3285346031188965
proparage	proparages	5.285611629486084
crand-pilk	crand-pilks	5.754911422729492
pembrish	pembrishes	5.085704326629639
munate	munates	3.599468231201172
ducrumate	ducrumates	4.928155422210693
unroud	unrouds	3.5432329177856445
dericast	dericasts	4.725385665893555
unsimpure	unsimpures	5.1513800621032715
poluctodate	poluctodates	5.815662860870361
bebulk	bebulks	3.656914710998535
misfame	misfames	4.322758197784424
unploot	unploots	3.8366308212280273
misplow	misplows	3.880295991897583
fanderie	fanderies	4.707615375518799
mispolify	mispolifies	5.5569987297058105
demourter	demourters	5.307999134063721
demorin	demorins	4.007662773132324
donsult	donsults	4.361211776733398
mansartate	mansartates	5.510959148406982
detuer	detuers	4.067420482635498
misexcheerate	misexcheerates	6.5764007568359375
uncell	uncells	3.8556559085845947
uncarendulard	uncarendulards	6.997781276702881
unbell	unbells	4.097726345062256
commuteriate	commuteriates	6.009144306182861
emaraine	emaroines	4.991158962249756
underprotully	underprotullies	7.220670223236084
unshanicise	unshanicises	5.729031562805176
reactrourize	reactrourizes	6.5610432624816895
silenther	silenthers	5.1897053718566895
porgish	porgishes	4.275874137878418
pentshated	pentshateds	5.302971839904785
decommack	decommacks	5.330042362213135
scease	sceases	4.1974077224731445
discorbardhe	discorbardhes	6.693210124969482
serchel	serchels	4.129093170166016
disforshand	disforshands	6.33723783493042
untelarder	untelarders	5.6182732582092285
refaber	refabers	3.8353350162506104
combumalise	combumalises	5.802989482879639
millenize	millenizes	4.705266952514648
forcomplien	forcompliens	5.99444055557251
