src	prediction	entropy
estitorate	estitorates	5.805581092834473
emprotify	emprotifies	5.49116325378418
murd-rese	murd-reses	5.016547679901123
preclid	preclids	4.535913467407227
saclest	saclests	4.17087459564209
forthurn	forthurns	4.246761798858643
scowsted	scowsteds	4.059845447540283
miscombabe	miscombabes	5.501293659210205
befuckser	befucksers	5.40571403503418
forecriminate	forecriminates	6.902294158935547
discalestalize	discalestalizes	7.040844917297363
desenetate	desenetates	5.895415306091309
compitalate	compitalates	6.236257076263428
domenate	domenates	4.664119243621826
polturitate	polturitates	5.5293049812316895
commisexidate	commisexidates	6.454616069793701
furstrain	furstrains	5.112441062927246
rechock	rechocks	4.595548152923584
underforsee	underforsees	6.342685699462891
enderblack	enderblacks	5.090856552124023
pristhost	pristhosts	4.968849182128906
sureenthan	sureenthans	5.077246189117432
exsear	exsears	3.8334743976593018
disenteristrow	disenteristrows	7.8201680183410645
umbain	umbains	4.114410877227783
stipialize	stipializes	6.007045269012451
signize	signizes	4.312731742858887
rebulise	rebulises	4.5782551765441895
bepelicalize	bepelicalizes	6.661337375640869
umprit	umprits	3.5010085105895996
ensteel	ensteels	4.446732521057129
repoose	repooses	4.193906307220459
coreperch	coreperches	5.438056945800781
deshard	deshards	4.143908500671387
preporise	preporises	5.137310028076172
forestate	forestates	4.8890862464904785
fostrip	fostrips	4.272481441497803
reponselture	reponseltures	6.396839618682861
pridail	pridails	4.4757561683654785
debrate	debrates	3.6384904384613037
extect	extects	3.799022674560547
fackpat	fackpats	3.9402730464935303
beanicate	beanicates	4.887255668640137
mesect-compresenserate	mesect-compreserates	10.540092468261719
desthar	desthars	3.956028938293457
shelphar	shelphars	4.922027587890625
misbowshuse	misbowshuses	6.432277679443359
unputch	unputches	4.372635841369629
manshott	manshotts	4.434264183044434
disimblacalise	disimblacalises	7.238311767578125
exhillain	exhillains	5.019986629486084
resembiast	resembiasts	5.274164199829102
beswaine	beswaines	4.295124053955078
foredumate	foredumates	5.781075477600098
fonderstin	fonderstins	5.907766819000244
secct	seccts	3.5393166542053223
reposterstrock	reposterstrocks	7.299921035766602
dishidl	dishidls	3.909233331680298
deprate	deprates	4.052562713623047
preprostene	preprostenes	5.8241143226623535
farklick	farklicks	4.687681674957275
preclottinate	preclottinates	6.635196685791016
recomembolop	recomembolops	6.0503997802734375
demoilsate	demoilsates	5.64967155456543
coreart	corearts	4.189418315887451
bebondle	bebondles	4.520280361175537
sampume	sampumes	4.097044944763184
decarentate	decarentates	6.376198768615723
cidiarize	cidiarizes	5.278712749481201
beardrain	beardrains	5.047697067260742
pusseclote	pusseclotes	5.110726833343506
rassion	rassions	4.422316551208496
underfudger	underfudgers	5.941168308258057
deporitize	deporitizes	5.491071701049805
corpend	corpends	4.1151652336120605
chominate	chominates	5.004769802093506
underbock	underbocks	4.74494743347168
bebench	bebenches	4.762673377990723
embrothise	embrothises	5.417988300323486
reamber	reambers	4.183737277984619
retracch	retracches	5.669924736022949
beroumer	beroumers	4.856424808502197
recarclomize	recarclomizes	6.535328388214111
combolicate	combolicates	6.260227203369141
enscrate	enscrates	4.8542866706848145
camboal	camboals	4.416865825653076
fordutter	fordutters	5.0278472900390625
dishet	dishets	3.394712448120117
sprecate	sprecates	4.804176330566406
uncharrint	oncharrints	8.54747200012207
defick	deficks	3.593435049057007
unrascaize	unrascaizes	5.404338836669922
fordethoth	fordethoths	5.359992980957031
coisexe	coisexes	3.967725992202759
malarise	malarises	4.462095260620117
disconteritionize	disconteritionizes	9.116121292114258
stroapen	stroapens	4.150150775909424
polominalize	polominalizes	6.8786940574646
foretonize	foretonizes	5.244750022888184
elogulate	elogulates	4.779898643493652
subfourine	subfourines	5.633505344390869
befilke	befilkes	3.953747272491455
fecese	feceses	3.9907479286193848
deproon	deproons	3.870934247970581
entonessimize	entonessimizes	6.9781389236450195
sposetotate	sposetotates	5.815958499908447
scervel	scervels	4.263205051422119
exteer	exteers	3.8960983753204346
resinstrive	resinstrives	6.245337009429932
prechut	prechuts	4.059107780456543
parmute	parmutes	4.191643238067627
exaster	exasters	4.089729309082031
exirise	exirises	4.065184593200684
purmle	purmles	3.856978416442871
candub	candubs	4.005937576293945
retraid	retraids	4.46031379699707
conceet	conceets	4.204306602478027
