src	greedy	beam_1	beam_2	beam_3	beam_4	beam_5	entropy
estitorate	estitorating	estitorating	estitoratingng	estitoorating	estitoratingt	estitoratingR	6.05373477935791
emprotify	emprotifying	emprotifying	emprotifyingéng	emprotifyingt	emprotifyingo	emprotifyingO	6.377310276031494
murd-rese	murd-resing	murd-resing	murd-resingéng	murd-resing-	murd-oresing	murd-resingT	5.391041278839111
preclid	preclidding	preclidding	precliding	precliddingng	precliddingf	precliddingR	5.499760150909424
saclest	saclesting	saclesting	saclestingRg	saclestting	saclestingt	saclestingQ	4.897244453430176
forthurn	forthurning	forthurning	forthurningng	*forthurning	forthurningf	forthurningh	5.00700569152832
scowsted	scowstedding	scowstedding	scowsteding	scowsteddingt	scowsteddingf	scowsteddingj	6.214137077331543
miscombabe	miscombabing	miscombabing	miscombabingR	miscombabingf	miscombabingh	miscombabingm	6.064058780670166
befuckser	befucksering	befucksering	befuckserring	befuckserling	befuckseringc	befuckseringf	6.31276798248291
forecriminate	forecriminating	forecriminating	forecriminatingtg	*forecriminating	forcrimiminating	forecriminatingo	7.868365287780762
discalestalize	discalestalizing	discalestalizing	discalestalizingMg	discalestalizinglg	discalestalizingy	discalestalizined	8.337584495544434
desenetate	desenetating	desenetating	desenetatingng	desenetatingt	desenetatingR	desenetatingö	5.68865442276001
compitalate	compitalating	compitalating	compitalatingRg	compitalatingt	*compitalating	compitalatingI	6.378228664398193
domenate	domenating	domenating	domenatingng	domenatingt	domenatingV	dpomenating	4.707065105438232
polturitate	polturitating	polturitating	polturitatingRg	polturitatingM	polturitatingI	polturitatingW	6.2479352951049805
commisexidate	commisexidating	commisexidating	commisexidatingting	commisixidating	commisexidatingo	commisexidatingW	7.459553241729736
furstrain	furstraining	furstraining	*furstraining	furstoraining	furstrainingf	furstrainingR	5.9383931159973145
rechock	rechocking	rechocking	*rechocking	rechockingc	rechockingf	rechockingh	4.529166221618652
underforsee	underforseeing	underforseeing	underforsing	underforseed	underforsving	underforseeingRg	7.885373592376709
enderblack	enderblacking	enderblacking	enderblackingW	enderblackingj	enderblackingö	enderblackingM	6.410266399383545
pristhost	pristhosting	pristhosting	pristhostingt	poristhosting	pPristhosting	pristhostingf	5.944147109985352
sureenthan	sureenthanning	sureenthanning	sureenthaning	sureenthanningng	sureenthanring	sureenthanming	7.2382965087890625
exsear	exsearing	exsearing	exsearring	exseaaring	exsearingx	exsearingQ	5.045899868011475
disenteristrow	disenteristrowing	disenteristrowing	disenteristrowingwing	disenteristrowowing	disenteristrowingtg	disenteristrowring	8.735172271728516
umbain	umbaining	umbaining	umbainning	umbainingu	uumbaining	umbainingf	4.54096794128418
stipialize	stipializing	stipializing	stipializingf	stipializingM	stipializingI	stippializing	6.427042007446289
signize	signizing	signizing	signizingng	signizingRg	signizingf	signizingZ	4.538237571716309
rebulise	rebulising	rebulising	rebulisingng	*rebulising	rebulisingf	rebulisingZ	5.164445400238037
bepelicalize	bepelicalizing	bepelicalizing	bepelicalizingRg	bepelicalizingW	bepelicalizingI	bepelicalizingy	6.92296028137207
umprit	umpritting	umpritting	umpriting	umprittingu	umprittingt	umpritming	5.449134826660156
ensteel	ensteeling	ensteeling	ensteelling	ensteelingng	ensteelingRg	ensteelingt	5.632111549377441
repoose	repoosing	repoosing	repoosingng	repooseing	repoosingo	repoosingQ	4.343844890594482
coreperch	coreperching	coreperching	cooreperching	coreperchingf	coreperchingR	coreperchingc	6.077371597290039
deshard	desharding	desharding	deshardingng	deshardingRg	deshaZrding	deshardingf	5.003909587860107
preporise	preporising	preporising	preporisingng	prepoorising	ppreporising	preporisingf	6.019489288330078
forestate	forestating	forestating	forestatingng	*forestating	forestatingt	forestatingf	5.518883228302002
fostrip	fostripping	fostripping	fostrippingng	*fostripping	fostrippingf	fostrippingR	5.299269676208496
reponselture	reponselturing	reponselturing	reponselturingrg	reponseltuoring	*reponselturing	reponselturingW	6.859066963195801
pridail	pridailing	pridailing	pridailling	pridailingRg	pridaiiling	poridailing	4.949686527252197
debrate	debrating	debrating	debrateing	debratingng	debratingt	debratingy	4.355469703674316
extect	extecting	extecting	extectting	extectingt	extectingc	extectingx	4.259993076324463
fackpat	fackpatting	fackpatting	*fackpatting	fackpattingp	fackpattingf	fackpattingt	5.450350284576416
beanicate	beanicating	beanicating	beanicatingng	beanicatingf	beanicatingR	beanicatingV	6.106934070587158
mesect-compresenserate	mesect-compresensed	mesect-compresensed	mesect-compresing	mesect-compresensing	mesect-compresensrating	mesect-compresenseating	10.27874755859375
desthar	destharring	destharring	destharing	destharling	destharringh	destharringf	5.91750955581665
shelphar	shelpharing	shelpharing	shelpharring	shelpharling	shelphaZring	shelpharingh	5.700843334197998
misbowshuse	misbowshusing	misbowshusing	misbowshusingw	misbowshusingh	misbowshusingI	misbowshusingR	6.364313125610352
unputch	unputching	unputching	unputchingng	unpuutching	unputchingu	unputchingh	5.247537136077881
manshott	manshotting	manshotting	manshottingng	manshottingt	manshottingh	manshottingR	5.236497402191162
disimblacalise	disimblacalising	disimblacalising	disimblacalisingMg	disimblacalisinghg	disimblacalisingy	disimblacalVising	8.195250511169434
exhillain	exhillaining	exhillaining	exhillainingR	exhillainingw	exhillainingZ	exhillainingö	5.828181743621826
resembiast	resembiasting	resembiasting	*resembiasting	resembiastingt	resembiastingW	resembiastingR	5.951836109161377
beswaine	beswaining	beswaining	beswainingng	beswaineing	beswainingV	beswainingf	4.840400695800781
foredumate	foredumating	foredumating	foredumatingng	*foredumating	fooredumating	foredumatingf	6.07275915145874
fonderstin	fonderstinning	fonderstinning	fonderstining	fonderstinningo	fonderstinningf	fonderstinningR	6.758834362030029
secct	seccting	seccting	secctting	secctingxg	secctingt	secctingW	4.266568183898926
reposterstrock	reposterstrocking	reposterstrocking	reposterstrockingtg	*reposterstrocking	reposterstrockingj	reposterstrockingh	8.272799491882324
dishidl	dishidling	dishidling	dishidlling	dishidlingRg	dishidlingf	dishidlingV	4.991060733795166
deprate	deprating	deprating	deprateing	depratingng	depratingt	depratingy	4.885659217834473
preprostene	preprostening	preprostening	preprosteningRg	ppreprostening	preprosteningM	preprosteningW	6.658722877502441
farklick	farklicking	farklicking	farklickingng	*farklicking	farklickingf	farklickingR	5.275018692016602
preclottinate	preclottinating	preclottinating	preclottinatingtg	preclottinatingW	preclottinatingM	preclottinatingo	7.818274021148682
recomembolop	recomemboloping	recomemboloping	recomembolopping	recomembolopling	recomembolopingGg	recomembolopting	7.336538791656494
demoilsate	demoilsating	demoilsating	demoilsatingng	demoilsatingR	demoilsatingf	demoilsatingS	6.277257442474365
coreart	corearting	corearting	coreartingRg	coreartting	coreartingt	coreartingc	5.054309844970703
bebondle	bebondling	bebondling	bebondlingng	bbebondling	bebondlingS	bebondlingV	4.887657165527344
sampume	sampuming	sampuming	sampumingng	sampumeing	sampumingQ	sampumingB	4.627845287322998
decarentate	decarentating	decarentating	decarentatingRg	decarentatingng	decarentatingM	decarentatingI	6.743515968322754
cidiarize	cidiarizing	cidiarizing	cidiaorizing	cidiarizingf	cidiarizingc	cidiarizingV	5.353244304656982
beardrain	beardraining	beardraining	beardoraining	beardrainingR	beardrainingf	beardrainingj	5.65029239654541
pusseclote	pussecloting	pussecloting	pusseclotingng	pusseclotingR	pusseclotting	pusseclotingc	6.338399887084961
rassion	rassioning	rassioning	rassioningng	*rassioning	ryassioning	rassioningf	5.620501518249512
underfudger	underfudgering	underfudgering	underfudgeringRg	underfudgeringf	underfudgeringW	underfudgeringö	6.900712013244629
deporitize	deporitizing	deporitizing	deporitizingng	depooritizing	deporitizingf	deporitizingR	5.745004177093506
