src	greedy	beam_1	beam_2	beam_3	beam_4	beam_5	entropy
estitorate	estitorated	estitorated	estitorateed	estitoorated	estitoratted	estitoratedP	5.500895023345947
emprotify	emprotified	emprotified	emprotifiedw	emprotifiedh	emprotifiedë	emprotifiedA	5.489750385284424
murd-rese	murd-resed	murd-resed	murd-ressed	murd-reseed	murd-resed-	murd-rsesed	5.177778720855713
preclid	preclidded	preclidded	preclid	preclided	preclidden	preclodden	5.5894904136657715
saclest	saclested	saclested	saclesten	saclesteds	saclestedF	saclestedY	4.523696422576904
forthurn	forthurned	forthurned	forthurnt	*forthurned	forthurnedh	forthurnedf	5.101343154907227
scowsted	scowstedded	scowstedded	scowsteded	scowstedden	scowstedded6t	scowsted	5.177524089813232
miscombabe	miscombabed	miscombabed	miscombabedë	miscombabedJ	miscombabedC	miscombabedY	5.506765842437744
befuckser	befucksered	befucksered	befuckserred	befuckseredë	befuckseredc	befuckseredH	6.04025411605835
forecriminate	forecriminated	forecriminated	forecriminating	forecrominaten	forecriminatedG	forecriminatedP	7.157604694366455
discalestalize	discalestalized	discalestalized	discalestalizing	discalestalizedA	discalestalizedG	discalestalizedD	7.709028720855713
desenetate	desenetated	desenetated	desenettated	desenetateed	desenetatedn	desenetatedq	5.315552234649658
compitalate	compitalated	compitalated	compitalatted	compitalatedC	compitalatedq	compitalatedD	6.068915367126465
domenate	domenated	domenated	domenateed	domenating	domenatedn	domenatedy	4.315769195556641
polturitate	polturitated	polturitated	polturitating	polturitaten	polturitatedq	polturitatedP	5.774188041687012
commisexidate	commisexidated	commisexidated	commisexidating	commisexiddated	commisexidatedG	commisexidatedg	6.964344024658203
furstrain	furstrained	furstrained	*furstrained	furstraining	furstrainfed	furstrainedA	5.784724712371826
rechock	rechocked	rechocked	rechocken	*rechocked	rechockedh	rechockedg	5.056914329528809
underforsee	underforseed	underforseed	underforseen	underforsed	underforseeed	underforseeded	5.909826278686523
enderblack	enderblacked	enderblacked	enderblackedë	enderblackedh	enderblackedq	enderblackedA	5.852335453033447
pristhost	pristhosted	pristhosted	pristhosten	pristhrosted	pristhost	poristhosted	5.577268600463867
sureenthan	sureenthanned	sureenthanned	sureenthaned	sureenthaning	sureenthanning	sureenthant	7.225260257720947
exsear	exseared	exseared	exseard	exsorn	exsearred	exseart	4.389554500579834
disenteristrow	disenteristrowed	disenteristrowed	disenteristrown	disenteristrowred	disenteristrowowed	disenteristroweds	8.43000316619873
umbain	umbained	umbained	umbainned	umbaining	umbainfed	umbainedq	4.391827583312988
stipialize	stipialized	stipialized	stipializedA	stipializedë	stipializedD	stipializedG	5.6594038009643555
signize	signized	signized	signizing	signizeed	signizedh	signizedA	4.256556987762451
rebulise	rebulised	rebulised	rebuliseed	*rebulised	rebulisedA	rebulisedy	4.816601276397705
bepelicalize	bepelicalized	bepelicalized	bepelicalizing	bepelicalizedI	bepelicalizedG	bepelicalizedD	6.591257095336914
umprit	umpritted	umpritted	umprited	umprit	umpritten	umpritmed	5.002836227416992
ensteel	ensteeled	ensteeled	ensteelled	enstolen	ensteelt	ensteeledB	4.22975492477417
repoose	repoosed	repoosed	repooseed	repoosing	repoosedn	repoosedU	4.2162933349609375
coreperch	coreperched	coreperched	coreperchsed	coreperchedh	coreperchedë	coreperchedc	5.629605293273926
deshard	desharded	desharded	desharden	deshardedB	deshardedf	deshardedV	4.189091682434082
preporise	preporised	preporised	preporisedUd	prepoorised	ppreporised	preporisedA	5.302370071411133
forestate	forestated	forestated	forestoten	forestaten	*forestated	forestatedD	5.496541500091553
fostrip	fostripped	fostripped	fostrippen	fostriped	fostript	fostrippedf	5.085577487945557
reponselture	reponseltured	reponseltured	*reponseltured	reponselturedw	reponselturedC	reponseltured1	6.025719165802002
pridail	pridailed	pridailed	pridailt	pridailled	poridailed	pridailedB	4.5102972984313965
debrate	debrated	debrated	debrateed	debrating	debratedn	debratedy	4.676997184753418
extect	extected	extected	extectted	exttected	extectedY	extectedF	4.364358425140381
fackpat	fackpatted	fackpatted	fackpatten	fackpat	fackpatting	*fackpatted	4.802973747253418
beanicate	beanicated	beanicated	beanicateed	beanicaught	beanicatedn	beanicatedP	5.399322986602783
mesect-compresenserate	mesect-compresensed	mesect-compresensed	mesect-compresed	mesect-compreserated	mesect-compresensrated	mesect-compreseated	9.678071022033691
desthar	desthared	desthared	destharred	destharing	destharsed	destharredAd	5.1660003662109375
shelphar	shelphared	shelphared	shelpharred	shorpharn	sholpharen	shelphured	5.13494348526001
misbowshuse	misbowshused	misbowshused	misbowshusedw	misbowshussed	misbowshuseds	misbowshusedë	6.078743934631348
unputch	unputched	unputched	unpuutched	unputchedY	unputchedB	unputchedë	4.886575698852539
manshott	manshotted	manshotted	manshotten	manshrotted	manshottedh	manshottedq	4.980792999267578
disimblacalise	disimblacalised	disimblacalised	disimblacalising	disimblacalisedA	disimblacalisedG	disimblacalisedD	7.365725040435791
exhillain	exhillained	exhillained	exhillaining	exhillained*	exhillainedG	exhillainedA	5.2235236167907715
resembiast	resembiasted	resembiasted	*resembiasted	resembiastedq	resembiastedF	resembiastedY	5.689201831817627
beswaine	beswained	beswained	beswaineed	beswaining	beswainedV	beswainedA	4.530771255493164
foredumate	foredumated	foredumated	*foredumated	foredumaten	foredumatedD	foredumatedY	5.459155559539795
fonderstin	fonderstinned	fonderstinned	fonderstun	fonderstined	fonderstinning	*fonderstinned	6.561277389526367
secct	seccted	seccted	secctted	seccteed	secctedY	secctedR	3.723785400390625
reposterstrock	reposterstrocked	reposterstrocked	reposterstrockted	*reposterstrocked	reposterstrocken	reposterstrockedT	8.053159713745117
