src	greedy	beam_1	beam_2	beam_3	beam_4	beam_5	entropy
estitorate	estitorate	estitorate	estitoorate	estitoratef	estitoratex	estitorateS	4.977108001708984
emprotify	emprotify	emprotify	emprotFify	emprotifyw	emprotifyé	emprotifyO	4.6683878898620605
murd-rese	murd-rese	murd-rese	murd-orese	murd-rese-	murd-reseU	murd-reseM	4.563109397888184
preclid	preclid	preclid	ppreclid	preclidf	preclida	preclidh	3.687593460083008
saclest	saclest	saclest	saclesthoclesacaclacacacacacaclacaclacaclaclacacl	saclesthoclessacaclacaclacaclaclaclaclaclaclacla	saclesthoclessacaclacaclacaclaclaclaclaclaclacl	saclestD	3.5702052116394043
forthurn	forthurn	forthurn	*forthurn	forthurnZ	forthurnV	forthurnh	4.382103443145752
scowsted	scowsted	scowsted	scowstedl	scowsteds	scowstedf	scowstedh	3.5447230339050293
miscombabe	miscombabe	miscombabe	miscombabve	miscombabeë	miscombabeR	miscombabeJ	4.40847110748291
befuckser	befuckser	befuckser	befuckseræ	befucksera	befuckserV	befuckserJ	4.933871269226074
forecriminate	forecriminate	forecriminate	*forecriminate	forecoriminate	forcrimiminate	forecriminated	6.504867076873779
discalestalize	discalestalize	discalestalize	discalestalized	discalestalizeM	discalestalizeG	discalestalizeW	6.77366828918457
desenetate	desenetate	desenetate	desenetatve	desenetateS	desenetatex	desenetatef	5.48555850982666
compitalate	compitalate	compitalate	compitalatve	*compitalate	compitalatex	compitalateM	5.151987075805664
domenate	domenate	domenate	dpomenate	domenateN	domenateD	domenatef	4.2678327560424805
polturitate	polturitate	polturitate	polturitatex	polturitateM	polturitateH	polturitateR	5.366446495056152
commisexidate	commisexidate	commisexidate	commisexiddate	commisexidated	commisexidatex	commisexidatef	6.351104736328125
furstrain	furstrain	furstrain	*furstrain	furstorain	furstrainv	furstrainæ	4.207245349884033
rechock	rechock	rechock	*rechock	rechockh	rechockB	rechocks	3.6782801151275635
underforsee	underforsee	underforsee	underforseev	underforseel	underforseet	underforseex	5.657186985015869
enderblack	enderblack	enderblack	enderblackZ	enderblackJ	enderblackh	enderblackB	4.965495586395264
pristhost	pristhost	pristhost	poristhost	pPristhost	pristhostv	pristhoste	4.302150726318359
sureenthan	sureenthan	sureenthan	sureenthanv	sureenthanf	sureenthanl	sureenthanM	5.243563175201416
exsear	exsear	exsear	exseaar	exseaor	exsearA	exsearP	3.0451440811157227
disenteristrow	disenteristrow	disenteristrow	disenteristrowow	disenteristërow	disenteristrow*	disenteristrowM	7.0771164894104
umbain	umbain	umbain	uumbain	umbaink	umbainæ	umbainf	3.218302011489868
stipialize	stipialize	stipialize	stipializve	stipializex	stipializef	stipializeI	5.0430169105529785
signize	signize	signize	signizeW	signizeI	signizeM	signizeR	3.833773136138916
rebulise	rebulise	rebulise	*rebulise	rebuliseM	rebuliseI	rebulise-	4.362368106842041
bepelicalize	bepelicalize	bepelicalize	bepelicalvize	bepelicalizeM	bepelicalizex	bepelicalized	5.976869106292725
umprit	umprit	umprit	umpïrit	umpritt	umpritl	umprith	3.3077077865600586
ensteel	ensteel	ensteel	ensteell	ensteeel	ensteelD	ensteelæ	3.653151750564575
repoose	repoose	repoose	repooseW	repooseA	repooseM	repooseC	3.8902809619903564
coreperch	coreperch	coreperch	cooreperch	coreperchA	coreperchæ	coreperchZ	4.407042980194092
deshard	deshard	deshard	deshard-d	deshaZrd	deshardh	deshard6	3.5235438346862793
preporise	preporise	preporise	prepoorise	ppreporise	preporiseM	preporisex	4.331273555755615
forestate	forestate	forestate	*forestate	forestatve	forestatef	forestateN	4.408843040466309
fostrip	fostrip	fostrip	*fostrip	fostripp	fostorip	fostripf	3.651334762573242
reponselture	reponselture	reponselture	reponseltuore	*reponselture	reponselturex	reponseltured	5.7506818771362305
pridail	pridail	pridail	pridaill	poridail	pridaila	pridailG	3.8577067852020264
debrate	debrate	debrate	debrateN	debrateW	debrateD	debratef	3.9750161170959473
extect	extect	extect	extvect	extectR	extectD	extectJ	3.3144450187683105
fackpat	fackpat	fackpat	*fackpat	fackpatt	fackpatl	fackpatn	3.594167709350586
beanicate	beanicate	beanicate	beanickate	beanicatef	beanicateN	beanicateï	4.358130931854248
mesect-compresenserate	mesect-compresense	mesect-compresense	mesect-compreserate	mesect-compresensrate	mesect-compresenserate	mesect-compresenate	8.523346900939941
desthar	desthar	desthar	desthaZr	desthaFr	desthaor	destharl	2.9720890522003174
shelphar	shelphar	shelphar	shelphaZr	shelpharl	shelpharP	shelpharv	4.149513244628906
misbowshuse	misbowshuse	misbowshuse	misbowshusve	misbowshusex	misbowshuseM	misbowshusec	5.386934280395508
unputch	unputch	unputch	unpuutch	unputchh	unputchM	unputchA	3.5326807498931885
manshott	manshott	manshott	manshotth	manshotto	manshottD	manshottl	3.6866514682769775
disimblacalise	disimblacalise	disimblacalise	disimblacalVise	disimblacalised	disimblacaliseM	disimblacalisex	6.835517883300781
exhillain	exhillain	exhillain	exhillainæ	exhillainv	exhillainA	exhillainZ	4.468845844268799
resembiast	resembiast	resembiast	*resembiast	resembiastv	resembiastM	resembiastæ	5.302488327026367
beswaine	beswaine	beswaine	beswainne	bveswaine	b@eswaine	beswainef	4.053192138671875
