src	greedy	beam_1	beam_2	beam_3	beam_4	beam_5	entropy
estitorate	estitorated	estitorated	estitoorated	estitorateed	estitoratted	estitoratedP	5.523184299468994
emprotify	emprotified	emprotified	emprotifyed	emprotifiedw	emprotifiedh	emprotifiedë	5.509321689605713
murd-rese	murd-resed	murd-resed	murd-ressed	murd-resed-	murd-reseed	murd-resedT	5.0977396965026855
preclid	preclidded	preclidded	preclid	preclided	preclad	preclud	5.4027323722839355
saclest	saclested	saclested	saclesteds	saclestedF	saclestedY	saclestedB	4.520179748535156
forthurn	forthurned	forthurned	forthurnt	*forthurned	forthurnedf	forthurnedr	5.087522983551025
scowsted	scowstedded	scowstedded	scowsteded	scowsted	scowsteddedj	scowsteddedc	5.2186760902404785
miscombabe	miscombabed	miscombabed	miscombabedJ	miscombabedë	miscombabedC	miscombabedN	5.52801513671875
befuckser	befucksered	befucksered	befuckserred	befuckseredë	befuckseredH	befuckseredc	6.023641109466553
forecriminate	forecriminated	forecriminated	forecriminating	forecrominated	forecriminatedG	forecriminatedJ	7.221897602081299
discalestalize	discalestalized	discalestalized	discalestalizing	discalestalizedA	discalestalizedG	discalestalizedI	7.9965500831604
desenetate	desenetated	desenetated	desenettated	desenetatedJ	desenetatedq	desenetatedP	5.560800075531006
compitalate	compitalated	compitalated	compitalatted	compitalatedC	compitalatedJ	*compitalated	6.250993251800537
domenate	domenated	domenated	domenateed	domenatedy	domenatedd	domenatedJ	4.343776226043701
polturitate	polturitated	polturitated	polturitatedC	polturitatedJ	polturitatedI	polturitatedG	5.729416370391846
commisexidate	commisexidated	commisexidated	commisexidating	commisexiddated	commisexidatedG	commisexidatedI	6.860969543457031
furstrain	furstrained	furstrained	*furstrained	furstraining	furstrainfed	furstrainedA	5.478667259216309
rechock	rechocked	rechocked	*rechocked	rechockedh	rechockedc	rechockedg	4.599191188812256
underforsee	underforseed	underforseed	underforsed	underforseeed	underforseen	underforsest	5.950364112854004
enderblack	enderblacked	enderblacked	enderblackedœd	enderblackedë	enderblackedj	enderblackeed	5.898111820220947
pristhost	pristhosted	pristhosted	pristhost	pristhrosted	poristhosted	pristhostedp	5.5650458335876465
sureenthan	sureenthanned	sureenthanned	sureenthaned	sureenthaning	sureenthanning	sureenthant	7.246973991394043
exsear	exseared	exseared	exseard	exsore	exsearred	exseareed	4.374571323394775
disenteristrow	disenteristrowed	disenteristrowed	disenteristrown	disenteristrowred	disenteristrowedIs	disenteristroweds	7.911501407623291
umbain	umbained	umbained	umbainned	umbainfed	umbaining	umbainedR	4.463741779327393
stipialize	stipialized	stipialized	stipializedA	stipializedë	stipializedH	stipializedG	5.67362117767334
signize	signized	signized	signizing	signizeed	signizedy	signizedA	4.2346272468566895
rebulise	rebulised	rebulised	*rebulised	rebulisedA	rebulisedy	rebulisedT	4.8026123046875
bepelicalize	bepelicalized	bepelicalized	bepelicalizedI	bepelicalizedG	bepelicalizedC	bepelicalizedA	6.568227291107178
umprit	umpritted	umpritted	umprited	umprit	umpritmed	umpriting	4.9350152015686035
ensteel	ensteeled	ensteeled	ensteelled	enstole	ensteelt	ensteeledB	4.210768699645996
repoose	repoosed	repoosed	repooseed	repoosedy	repoosing	repoosedA	4.204022407531738
