src	greedy	beam_1	beam_2	beam_3	beam_4	beam_5	entropy
estitorate	estitorates	estitorates	estitoorates	estitoratesz	estitoratesh	estitoratesS	5.66141414642334
emprotify	emprotifies	emprotifies	emprotifiesh	emprotifiesz	emprotifiesN	emprotifiest	5.435904502868652
murd-rese	murd-reses	murd-reses	murds-reses	murd-resses	murd-reses-	murd-resesT	4.986510753631592
preclid	preclids	preclids	preclidses	preclidsz	preclidsT	preclids6	4.592817783355713
saclest	saclests	saclests	saclestsf	saclestsS	saclestsY	saclestsFs	4.168501853942871
forthurn	forthurns	forthurns	*forthurns	forthurnsh	forthurnsf	forthurnsz	4.297453880310059
scowsted	scowsteds	scowsteds	scowstedses	scowstteds	scowstedsz	scowstedsS	4.089352130889893
miscombabe	miscombabes	miscombabes	miscombabesh	miscombabesN	miscombabesz	miscombabesl	5.392302989959717
befuckser	befucksers	befucksers	befucksexes	befuckssers	befuckseers	befucksersS	5.377601623535156
forecriminate	forecriminates	forecriminates	*forecriminates	forecriminating	forecoriminates	forecriminatesh	6.922373294830322
discalestalize	discalestalizes	discalestalizes	discalestalizesls	discalestalizing	discalestalizesh	discalestalizesw	7.013391971588135
desenetate	desenetates	desenetates	desenetatesz	desenetatesh	desenetatesS	desenetatesN	5.816653728485107
compitalate	compitalates	compitalates	compitallates	compitalatesh	compitalatesg	compitalatesC	6.207389831542969
domenate	domenates	domenates	domenatesl	domenatesh	domenatesz	domenatesY	4.655959606170654
polturitate	polturitates	polturitates	polturitatesh	polturitatesC	polturitatesg	polturitateso	5.4833526611328125
commisexidate	commisexidates	commisexidates	commisexidating	commisexidatesh	commisexidatesY	commisexidatesD	6.454928398132324
furstrain	furstrains	furstrains	furstrainsNs	*furstrains	furstorains	furstrainsz	5.197311878204346
rechock	rechocks	rechocks	*rechocks	rechocksh	rechocksl	rechocksS	4.635307788848877
underforsee	underforsees	underforsees	underforses	underforseesh	underforseesC	underforseesf	5.61964750289917
enderblack	enderblacks	enderblacks	enderblacksS	enderblacksb	enderblacksl	enderblacksN	4.847935676574707
pristhost	pristhosts	pristhosts	pristhostsf	pristhostsj	pristhostsS	pristhostsU	5.29047966003418
sureenthan	sureenthans	sureenthans	sureenthans6ns	sureenthansNs	sureenthansz	sureenthansh	5.233129978179932
exsear	exsears	exsears	exsearsXs	exsearsQs	exsearsZs	exseaxes	3.6199722290039062
disenteristrow	disenteristrows	disenteristrows	disenteristrowslis	disenteristrowsRs	disenteeristrows	disenteristrowsh	7.676541328430176
umbain	umbains	umbains	umbainsZs	umbainsfs	umbainsh	umbainsz	4.1290812492370605
stipialize	stipializes	stipializes	stipializesh	stipializesz	stipializesN	stipializesë	5.810324668884277
signize	signizes	signizes	signizesh	signizesl	signizess	signizesw	4.169041633605957
rebulise	rebulises	rebulises	*rebulises	rebulisesh	rebulisesl	rebulisesf	4.741321563720703
bepelicalize	bepelicalizes	bepelicalizes	bepelicalizesh	bepelicalizesD	bepelicalizesC	bepelicalizesw	6.395019054412842
umprit	umprits	umprits	umpritts	umpïrits	umpritsf	umprits6	3.710763692855835
ensteel	ensteels	ensteels	ensteelsXs	ensteeels	ensteells	ensteelsS	3.909393548965454
repoose	repooses	repooses	repoosesl	repoosesh	repoosess	repoosesU	3.9641358852386475
coreperch	coreperches	coreperches	coreperchs	corbeperches	coreperchesc	coreperchesf	5.62125301361084
deshard	deshards	deshards	deshardsh	deshardsz	deshardsl	deshardso	4.335536479949951
preporise	preporises	preporises	prepoorises	preporisesh	preporisesz	preporisesU	4.958897590637207
forestate	forestates	forestates	*forestates	forestatesz	forestatesS	forestatesN	4.8244709968566895
fostrip	fostrips	fostrips	*fostrips	fostorips	fostripps	fostCrips	4.255553722381592
reponselture	reponseltures	reponseltures	reponselturesls	reponselturesJs	reponseltuores	*reponseltures	6.32769250869751
pridail	pridails	pridails	pridailsXs	pridailsz	pridailsS	pridailsf	4.371610164642334
debrate	debrates	debrates	debratesl	debratesh	debratesY	debratesK	3.6428043842315674
extect	extects	extects	extectsFs	extectsf	extectsS	extectsY	3.6761386394500732
fackpat	fackpats	fackpats	fackpatses	fackpatts	fackpauts	fackpatsz	4.012570858001709
beanicate	beanicates	beanicates	beanicatesz	beanicatesS	beanicatesY	beanicatesl	4.822804927825928
mesect-compresenserate	mesect-compreserates	mesect-compreserates	mesect-compreseerates	mesect-compreseates	mesect-compreserats	mesect-compreseraterates	10.452138900756836
desthar	desthars	desthars	destharsZs	desthaxes	desthaors	destharsz	3.8948986530303955
shelphar	shelphars	shelphars	shelphaxes	shelphaors	shelpharsz	shelpharsS	4.925261497497559
misbowshuse	misbowshuses	misbowshuses	misbowshusesws	misbowshusesls	misbowshusses	misbowshusesh	6.497425079345703
unputch	unputches	unputches	unputchs	unputchesh	unputchesl	unputchesf	4.394387722015381
manshott	manshotts	manshotts	manshottsh	manshottsS	manshottsf	manshottsl	4.425836563110352
disimblacalise	disimblacalises	disimblacalises	disimblacalisesNals	disimblacalisesls	disimblacalisesh	disimblacalisesz	7.255566596984863
exhillain	exhillains	exhillains	exhillainsNs	exhillainsZs	exhillainsz	exhillainsS	5.09608793258667
resembiast	resembiasts	resembiasts	*resembiasts	resembiastsf	resembiastsb	resembiastsj	5.243957996368408
beswaine	beswaines	beswaines	beswainesh	beswainesz	beswainesl	beswainesN	4.344921112060547
foredumate	foredumates	foredumates	*foredumates	foredumatesh	foredumatesz	foredumatesY	5.719611644744873
fonderstin	fonderstins	fonderstins	fonderstinsNs	fonderstinsXs	*fonderstins	fonderstinsz	5.857830047607422
secct	seccts	seccts	secctsQs	secctsf	secctsS	secctsl	3.507556200027466
reposterstrock	reposterstrocks	reposterstrocks	reposterstrocksls	reposterstorocks	reposterstrocksz	reposterstrocks6	7.328379154205322
dishidl	dishidls	dishidls	dishidles	dishidlsbs	dishidlls	dishidlsf	4.170709133148193
deprate	deprates	deprates	depratesl	depratesh	depratesY	depratesK	4.291186809539795
preprostene	preprostenes	preprostenes	preprostennes	preprostenesh	preprostenesz	ppreprostenes	5.841294288635254
farklick	farklicks	farklicks	*farklicks	farklicksf	farklicksh	farklicksS	4.711422443389893
preclottinate	preclottinates	preclottinates	preclottinating	preclottinatesh	preclottinatesz	preclottinatesM	7.055948734283447
recomembolop	recomembolops	recomembolops	recomembolopsJs	recomembolopsNs	recommembolops	*recomembolops	6.015772819519043
demoilsate	demoilsates	demoilsates	demoilsatesh	demoilsatesz	demoilsatesl	demoilsatesS	5.338996410369873
coreart	corearts	corearts	coreartsS	coreartsf	corearts6	coreartsY	4.322844982147217
bebondle	bebondles	bebondles	bebondlesl	bebondlesh	bebondlesz	bebondlesY	4.234013080596924
sampume	sampumes	sampumes	sampumesl	sampumesh	sampumess	sampumesz	3.772352695465088
decarentate	decarentates	decarentates	decarentatesh	decarentatesg	decarentatesC	decarentatesl	5.696044445037842
cidiarize	cidiarizes	cidiarizes	cidiarizesh	cidiaorizes	cidiaærizes	cidiarizesN	5.253966808319092
beardrain	beardrains	beardrains	beardrainsNs	beardrainsz	beardorains	beardrainsS	4.91377592086792
pusseclote	pusseclotes	pusseclotes	pusseclotesh	pusseclotesz	pusseclotesY	pusseclotesl	5.090816020965576
rassion	rassions	rassions	rassionsZs	rassionsfs	*rassions	rassionsz	4.224062919616699
underfudger	underfudgers	underfudgers	underfudgers6udg	underfudgersZs	underfudgersfs	underfudgexes	5.870699882507324
deporitize	deporitizes	deporitizes	deporitizesh	deporitizesz	deporitizesN	deporitizesw	5.456401348114014
corpend	corpends	corpends	corpendsh	corpendsz	corpendsY	corpendsS	4.005764007568359
chominate	chominates	chominates	chominatesh	chominatesz	chominatesS	chominatesY	4.973912239074707
underbock	underbocks	underbocks	underbocksh	underbocksN	underbocksf	underbocksS	5.124545097351074
bebench	bebenches	bebenches	bebenchs	bebbenches	bebenchesh	bebenchesl	4.306272506713867
embrothise	embrothises	embrothises	embVrothises	embrothisesh	embrothisesU	embrothisesN	5.902390956878662
reamber	reambers	reambers	reambersZs	*reambers	reambeers	reambersz	4.517439842224121
retracch	retracches	retracches	retracchs	retracchesh	retracchesz	retracchesf	5.311765670776367
beroumer	beroumers	beroumers	beroumexes	beroumeers	beroumersz	beroumersS	4.760860443115234
recarclomize	recarclomizes	recarclomizes	*recarclomizes	recarclomizesh	recarclomizesl	recarclomizesD	6.1262617111206055
combolicate	combolicates	combolicates	combollicates	combolicatesh	combolicatesg	combolicatesC	6.255393981933594
enscrate	enscrates	enscrates	enscratesl	enscratesY	enscratesz	enscratesh	4.932882785797119
